sysrev_id	analysis_id	duplicate_id	title	abstract	keywords	year	coder_1	coder_2	oro_branch.Mitigation	oro_branch.Nature	oro_branch.Societal	oro_any.M_Renewables	oro_any.M_Increase_efficiency	oro_any.M_CO2_removal_or_storage	oro_any.N_Human_assisted_evolution	oro_any.N_Protection	oro_any.N_Restoration	oro_any.SA_Built_infrastructure_and_technology	oro_any.SA_Socioinstitutional	biodiversity_metric	restoration	safe_fish	safe_space	oro_development_stage.Design__observeconceptpreliminary_testingside_effects	oro_development_stage.Evaluating_future_placementupscaling_potential	oro_development_stage.Implemented_continued_assessment	climate_threat.Temperature	climate_threat.Acidification	climate_threat.SLR	climate_threat.Extreme_weather	climate_threat.General_CC	climate_threat.Other	data_type.Primary	data_type.Secondary	climate_mitigation	adapt_to_threat.Human	adapt_to_threat.Natural	adapt_to_threat.Both	impact_any	oro_interaction	method_type.Experimental_exsitu	method_type.Experimental_insitu	method_type.Expert_opinion	method_type.Method_or_technology_development	method_type.Observational	method_type.Mathematical_predictionsimulation	method_type.Social_primary	m_co2_removal.Bioenergy	m_co2_removal.Openocean_PP	m_co2_removal.Macroalgae_kelp_cultivation	m_co2_removal.Microalgae_cultivation	m_co2_removal.Weathering_and_alkinalization	m_co2_removal.Coastal_blue_carbon_ecosystems	m_co2_removal.Other	m_co2_ocean_storage.Inorganic	m_co2_ocean_storage.Organic	m_co2_ocean_storage.Deep_sediments	ecosystem_type.Salt_marsh	ecosystem_type.Mangrove	ecosystem_type.Wetland__other	ecosystem_type.Oyster_reef	ecosystem_type.Coral_reef	ecosystem_type.Macroalgae	ecosystem_type.Seagrass	ecosystem_type.Other	economic_sector.Aquaculture	economic_sector.Coastal_development	economic_sector.Fisheries	economic_sector.Livelihood	economic_sector.Other	economic_sector.Port_infrastructure	economic_sector.Renewable_energy	economic_sector.Seabed_miningoil__gas	economic_sector.Shipping	economic_sector.Tourism__Recreation	impact_nature	impact_ncp.Regulating	impact_ncp.Material	impact_ncp.Nonmaterial	impact_ncp.Any	techological_scalability	technological_readiness	lead_time	duration	robustness	cost	enabling_factors	governability	marine_system.land	marine_system.coastal ocean	marine_system.open-ocean	marine_system.deep-ocean	Forecast	data_scale_spatial.Small	data_scale_spatial.Local	data_scale_spatial.Regional	data_scale_spatial.Large	data_scale_spatial.Global	scientific_discipline.Chemistry	scientific_discipline.Biogeochemistry	scientific_discipline.Biology	scientific_discipline.Economics	scientific_discipline.Engineering	scientific_discipline.Ecology	scientific_discipline.Fisheries	scientific_discipline.Physical_science	scientific_discipline.Political_science	scientific_discipline.Science__tech__other	scientific_discipline.Social_science__other	scientific_discipline.Other
91759653	19414	2018.1712	The CCS hub in Norway: some insights from 22 years of saline aquifer storage	The development of industrial-scale CCS in Norway, starting with the Sleipner project in 1996, gives a uniquely long track record of experience with CCS and provides valuable insights for the projected global growth in CCS. By the end of 2017, the Sleipner and Snohvit CCS projects had captured and stored 22 Mt of CO2 in saline aquifers offshore Norway. CO2 plume monitoring observations at Sleipner can be used to indicate an overall storage efficiency of around 5\% of the pore volume, with approximately one tenth of this volume dissolved in the brine phase. These estimates are consistent with the fluid dynamics of CO2 injection in which a gravity dominated processes are expected to give efficiencies in the range of 1-6\%. Future projects may be able to find ways of improving these efficiencies. Copyright (C) 2018 Elsevier Ltd. All rights reserved.	co2 storage; saline aquifers; ccs; storage capacity; sleipner	2018	all_combined	NA	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
91759654	261211	2016.613	Varying Inundation Regimes Differentially Affect Natural and Sand-Amended Marsh Sediments	Climate change is altering sea level rise rates and precipitation patterns worldwide. Coastal wetlands are vulnerable to these changes. System responses to stressors are important for resource managers and environmental stewards to understand in order to best manage them. Thin layer sand or sediment application to drowning and eroding marshes is one approach to build elevation and resilience. The above- and below-ground structure, soil carbon dioxide emissions, and pore water constituents in vegetated natural marsh sediments and sand-amended sediments were examined at varying inundation regimes between mean sea level and mean high water (0.82 m NAVD88 to 1.49 m NAVD88) in a field experiment at Laws Point, part of the Plum Island Sound Estuary (MA). Significantly lower salinities, pH, sulfides, phosphates, and ammonium were measured in the sand-amended sediments than in the natural sediments. In natural sediments there was a pattern of increasing salinity with increasing elevation while in the sand-amended sediments the trend was reversed, showing decreasing salinity with increasing elevation. Sulfide concentrations generally increased from low to high inundation with highest concentrations at the highest inundation (i.e., at the lowest elevations). High pore water phosphate concentrations were measured at low elevations in the natural sediments, but the sand-amended treatments had mostly low concentrations of phosphate and no consistent pattern with elevation. At the end of the experiment the lowest elevations generally had the highest measures of pore water ammonium. Soil carbon dioxide emissions were greatest in the sandamended mesocosms and at higher elevations. Differences in coarse root and rhizome abundances and volumes among the sediment treatments were detected with CT imaging, but by 20 weeks the natural and sand-amended treatments showed similar total belowground biomass at the intermediate and high elevations. Although differences in pore water nutrient concentrations, pH, salinity, and belowground root and rhizome morphology were detected between the natural and sand-amended sediments, similar belowground productivity and total biomass were measured by the end of the growing season. Since the belowground productivity supports organic matter accumulation and peat buildup in marshes, our results suggest that thin layer sand or sediment application is a viable climate adaptation action to build elevation and coastal resiliency, especially in areas with low natural sediment supplies.	ammonia;  organic matter;  pore water;  sulfide;  unclassified drug;  water, adaptation;  article;  below ground biomass;  biogeochemistry;  biomass;  carbon footprint;  climate adaptation;  comparative study;  computer assisted tomography;  concentration (parameters);  controlled study;  environmental parameters;  experimental design;  field experiment;  geographic and geological phenomena;  inundation regime;  marsh plant;  mesocosm;  morphology;  natural marsh sediment;  ph;  plant;  plant density;  plant parameters;  pore water constituent;  rhizome;  salinity;  sand amended marsh sediment;  sea level;  sediment;  shoot height;  soil analysis	2016	all_combined	NA	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
91759655	2896	2022.427	Guidelines for Analysing Coastal Flood Protection Systems after a Submersion	Storm Xynthia, which hit the French Atlantic coast on 28 February 2010, flooded vast territories despite coastal defences. This disaster highlighted the need to further study the behaviour of the coastal flood protection systems at an adapted geographical scale by considering the kinematics of the events. This objective has been achieved through a combination of conceptual input on the definition of protection systems, significant breakthroughs in the knowledge of the mechanisms governing the flooding, and via the improvement of strategies and methods dedicated to flood analysis and representation. The developed methodology was successfully tested on four sites submerged during Xynthia (Loix, Les Boucholeurs, and Boyardville, located in Charente-Maritime, and Batz-sur-Mer, located in Loire-Atlantique). This work is intended to guide the diagnosis of sites prone to marine flooding from the first investigations until the delivery of study reports. Beyond the usual focus on hydraulic structures, it provides guidelines to better analyse the interactions with the natural environment (sea, soil, dune, wetlands, etc.) and with the built environment (roads and urban networks, ponds used for fish farming, buildings, etc.). This systemic approach, which is applied to a territory considered as a complex adaptive system, is fundamental to understanding the reaction of a territory during a marine submersion event and subsequently developing adaptation or transformation strategies.	flood protection system; submersion; methodology; analysis; feedback	2022	all_combined	NA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
91759657	208252	2022.17618	Highly Adaptive Liquid-Solid Triboelectric Nanogenerator-Assisted Self-Powered Water Wave Motion Sensor	Renewable energy has huge potential, and portable electronic devices with self-powered sensing are an inevitable choice in the era of the Internet of Things (IoT). Here, we report a water wave motion sensor rooted in water wave friction, which is a combination of a liquid-solid triboelectric nanogenerator (LS-TENG) and a contact-separation TENG to form an integrated working mode. Combining these two mechanisms for sensing and collecting water wave energy, which specifically are the outermost interface friction with water waves and embedded classic TENG contained, this sensor can indicate the enhancement of water waves under gentle frequency in living environments. Under various water levels and frequencies from low to high, the voltage and current signals were systematically investigated and comparatively analyzed. They can reach about 60 V and 20 mu A, respectively, under a certain degree of a surging wave, which proves the indication ability of the device to specific water conditions, and waveform changes under extremely small water level changes were clearly observable. It is believed that, in the future, there will be dazzling performances in the areas of environmental monitoring and maritime security and navigation, which are very meaningful for people's livelihood.	self-powered sensing; water wave; contact electrification; energy harvesting; pvc	2022	all_combined	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
91759665	7142	2020.873	``We can't do it on our own!{''} - Integrating stakeholder and scientific knowledge of future flood risk to inform climate change adaptation planning in a coastal region	Decision-makers face a particular challenge in planning for climate adaptation. The complexity of climate change's likely impacts, such as increased flooding, has widened the scope of information necessary to take action. This is particularly the case in valuable low-lying coastal regions, which host many competing interests, and where there is a growing need to draw from varied fields in the risk-based management of flooding. The rising scrutiny over science's ability to match expectations of policy actors has called for the integration of stakeholder and scientific knowledge domains. Focusing on the Broads - the United Kingdom's largest protected wetland - this study looked to assess future flood risk and consider potential adaptation responses in a collaborative approach. Interviews and surveys with local stakeholders accompanied the development of a hydraulic model in an iterative participatory design, centred on a scientist-stakeholder workshop. Knowledge and perspectives were shared on processes driving risk in the Broads, as well as on the implications of adaptation measures, allowing for their prioritisation. The research outcomes highlight not only the challenges that scientist-stakeholder integrated assessments of future flood risk face, but also their potential to lead to the production of useful information for decision-making.	flood risk management; climate change adaptation; integrated assessment; scientist-stakeholder engagement; flood modelling	2020	all_combined	NA	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
91759670	307894	2013.6768	Impact of coastal defence structures (tetrapods) on a demersal hard-bottom fish community in the southern North Sea	In the coming decades, artificial defence structures will increase in importance worldwide for the protection of coasts against the impacts of global warming. However, the ecological effects of such structures on the natural surroundings remain unclear. We investigated the impact of experimentally introduced tetrapod fields on the demersal fish community in a hard-bottom area in the southern North Sea. The results indicated a significant decrease in fish abundance in the surrounding area caused by migration effects towards the artificial structures. Diversity (HB) and evenness (E) values exhibited greater variation after the introduction of the tetrapods. Additionally, a distinct increase in young-of-the-year (YOY) fish was observed near the structures within the second year after introduction. We suggest that the availability of adequate refuges in combination with additional food resources provided by the artificial structures has a highly species-specific attraction effect. However, these findings also demonstrate that our knowledge regarding the impact of artificial structures on temperate fish communities is still too limited to truly understand the ecological processes that are initiated by the introduction of artificial structures. Long-term investigations and additional experimental in situ work worldwide will be indispensable for a full understanding of the mechanisms by which coastal defence structures interact with the coastal environment. Â© 2012 Elsevier Ltd.	artificial structures;  coastal protection;  demersal fish;  north sea;  sublittoral, breakwaters;  climate change;  ecology;  global warming;  shore protection, fish, breakwater;  climate change;  coastal protection;  demersal fish;  ecological impact;  hard-bottom environment;  relative abundance;  species diversity;  species evenness, article;  construction work;  demersal fish;  environmental impact;  nonhuman;  north sea;  population abundance;  population migration;  species difference;  species diversity;  tetrapod field, analysis of variance;  animals;  biodiversity;  conservation of natural resources;  environmental monitoring;  fishes;  north sea;  population density, atlantic ocean;  north sea, tetrapoda	2013	all_combined	NA	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
91759686	251185	2021.883	Shoreline Solutions: Guiding Efficient Data Selection for Coastal Risk Modeling and the Design of Adaptation Interventions	The Caribbean is affected by climate change due to an increase in the variability, frequency, and intensity of extreme weather events. When coupled with sea level rise (SLR), poor urban development design, and loss of habitats, severe flooding often impacts the coastal zone. In order to protect citizens and adapt to a changing climate, national and local governments need to investigate their coastal vulnerability and climate change risks. To assess flood and inundation risk, some of the critical data are topography, bathymetry, and socio-economic. We review the datasets available for these parameters in Jamaica (and specifically Old Harbour Bay) and assess their pros and cons in terms of resolution and costs. We then examine how their use can affect the evaluation of the number of people and the value of infrastructure flooded in a typical sea level rise/flooding assessment. We find that there can be more than a three-fold difference in the estimate of people and property flooded under 3m SLR. We present an inventory of available environmental and economic datasets for modeling storm surge/SLR impacts and ecosystem-based coastal protection benefits at varying scales. We emphasize the importance of the careful selection of the appropriately scaled data for use in models that will inform climate adaptation planning, especially when considering sea level rise, in the coastal zone. Without a proper understanding of data needs and limitations, project developers and decision-makers overvalue investments in adaptation science which do not necessarily translate into effective adaptation implementation. Applying these datasets to estimate sea level rise and storm surge in an adaptation project in Jamaica, we found that less costly and lower resolution data and models provide up to three times lower coastal risk estimates than more expensive data and models, indicating that investments in better resolution digital elevation mapping (DEM) data are needed for targeted local-level decisions. However, we also identify that, with this general rule of thumb in mind, cost-effective, national data can be used by planners in the absence of high-resolution data to support adaptation action planning, possibly saving critical climate adaptation budgets for project implementation. Â© 2021 by the authors. Licensee MDPI, Basel, Switzerland.	budget control;  climate models;  coastal zones;  cost effectiveness;  floods;  investments;  mapping;  risk assessment;  risk perception;  sea level;  shore protection;  storms;  topography;  urban growth, climate change risks;  coastal protection;  digital elevation mappings;  extreme weather events;  high resolution data;  project developers;  project implementation;  urban development, climate change, adaptation;  climate change;  coastal protection;  coastal zone;  flooding;  local government;  risk assessment;  sea level change;  shoreline;  storm surge;  urban development, jamaica	2021	all_combined	NA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
91759692	8059	2021.1052	Marine and coastal ecosystem-based adaptation in Asia and Oceania: review of approaches and integration with marine spatial planning	There is growing interest in using ecosystem-based adaptation (EbA) to maintain or restore ecosystem services to increase human resilience to climate change. However, to date, the focus on EbA has been on conceptualising the approach and encouraging its use, rather than understanding EbA in practice. We review the EbA literature to synthesise where, why and how marine and coastal EbA projects have been implemented and examine how EbA has been integrated with marine spatial planning. We focus specifically on EbA projects in Asia and Oceania, where climate variability and dependence on marine and coastal ecosystems is high. Most projects were found in the grey literature, implemented in developing countries, and targeted extreme events and sea level rise. Mangroves, particularly mangrove restoration, was the most common ecosystem used, followed by coral reefs. EbA across ecosystems commonly targeted capacity building and livelihood enhancement, and maintenance of wildlife, alongside shoreline protection for mangroves and food security for coral reefs. Integrated EbA and marine spatial planning projects were participatory, implemented at local-regional scales, displayed adaptive management, and community-based or shared governance. Our research helps to build an understanding of EbA in practice and a knowledge base to assist coastal communities in adapting to climate change.	asia; climate change; ecosystem services; ecosystem-based adaptation; marine and coastal; marine spatial planning; oceania	2021	all_combined	NA	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1
91759693	290664	1997.598	Primary production, calcification, and air-sea CO2 fluxes of a macroalgal-dominated coral reef community (Moorea, French Polynesia)	Community metabolism and air-sea carbon dioxide (CO2) fluxes were investigated in July 1992 on a fringing reef at Moorea (French Polynesia). The benthic community was dominated by macroalgae (85% substratum cover) and comprised of Phaeophyceae Padina tenuis (Bory), Turbinaria ornata (Turner) J. Agardh, and Hydroclathrus clathratus Bory (Howe); Chlorophyta Halimeda incrassata f. ovata J. Agardh (Howe); and Ventricaria ventricosa J. Agardh (Olsen et West), as well as several Rhodophyta (Actinotrichia fragilis Forskal (Borgesen) and several species of encrusting coralline algae). Algal biomass was 171 g dry weightÂ·m-2. Community gross production (P(g)), respiration (R), and net calcification (G) were measured in an open top enclosure. P(g) and R were respectively 248 and 240 mmol CO2Â·m-2Â·d-1, and there was a slight net dissolution of CaCO3 (0.8 mmolÂ·m-2Â·d-1). This site was a sink for atmospheric CO2 (10 Â± 4 mmol CO2Â·m-2Â·d-1), and the analysis of data from the literature suggests that this is a general feature of algal-dominated reefs. Measurement of air-sea CO2 fluxes in open water close to the enclosure demonstrated that changes in small-scale hydrodynamics can lead to misleading conclusions. Net CO2 evasion to the atmosphere was measured on the fringing reef due to changes in the current pattern that drove water from the barrier reef (a CO2 source) to the study site.	air-sea flux;  algae;  calcification;  carbon dioxide;  coral reefs;  macroalage;  primary production;  reef, french polynesia;  moorea, actinotrichia;  actinotrichia fragilis;  actinotrichia fragilis;  algae;  anthozoa;  chlorophyta;  halimeda incrassata;  halimeda incrassata ovata;  hydroclathrus clathratus;  hydroclathrus clathratus;  padina tenuis;  padina tenuis;  phaeophyceae;  rhodophyta;  turbinaria ornata;  turbinaria ornata;  ventricaria ventricosa;  ventricaria ventricosa	1997	all_combined	NA	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91759698	25253	2015.1539	Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh	Grazers can have a large impact on ecosystem processes and are known to change vegetation composition. However, knowledge of how the long-term presence of grazers affects soil carbon sequestration is limited. In this study, we estimated total accumulated organic carbon in soils of a back-barrier salt marsh and determined how this is affected by long-term grazing by both small and large grazers in relation to age of the ecosystem. In young marshes, where small grazers predominate, hare and geese have a limited effect on total accumulated organic carbon. In older, mature marshes, where large grazers predominate, cattle substantially enhanced carbon content in the marsh soil. We ascribe this to a shift in biomass distribution in the local vegetation towards the roots in combination with trampling effects on the soil chemistry. These large grazers thus act as ecosystem engineers: their known effect on soil compaction (based on a previous study) enhances anoxic conditions in the marsh soil, thereby reducing the oxygen available for organic carbon decomposition by the local microbial community. This study showed that the indirect effects of grazing can significantly enhance soil carbon storage through changing soil abiotic conditions. This process should be taken into account when estimating the role of ecosystems in reducing carbon dioxide concentration in the atmosphere. Ultimately, we propose a testable conceptual framework that includes 3 pathways by which grazers can alter carbon storage: (1) through above-ground biomass removal, (2) through alteration of biomass distribution towards the roots and/or (3) by changing soil abiotic conditions that affect decomposition.	carbon sequestration; climate change; coastal wetland; grazing; redox potential; soil compaction; succession	2015	all_combined	NA	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
