title,author,year,journal,abstract,research_areas,label,screened_abstracts,notes
Physiological energetics of juvenile clams Ruditapes decussatus in a high CO2 coastal ocean,"Jose Fernandez-Reiriz, Ma and Range, Pedro and Anton Alvarez-Salgado, Xose and Labarta, Uxio",2011,Marine Ecology Progress Series,"Effects of coastal ocean acidification, other than calcification, were tested on juvenile clams Ruditapes decussatus during a controlled CO2 perturbation experiment. The carbonate chemistry of natural (control) seawater was manipulated by injecting CO2 to attain 2 reduced pH levels (-0.4 and -0.7 pH units) as compared with the control seawater. After 87 d of exposure, we found that the acidification conditions tested in this experiment significantly reduced the clearance, ingestion and respiration rates, and increased the ammonia excretion rate of R. decussatus seeds. Reduced ingestion combined with increased excretion is generally associated with a reduced energy input, which will likely contribute to a slower growth of the clams in a future high CO2 coastal ocean. These results emphasize the need for management policies to mitigate the adverse effects of global change on aquaculture, which is an economically relevant activity in most coastal areas worldwide.",Environmental Sciences \& Ecology; Marine \& Freshwater Biology; Oceanography,2011.335,excluded,
MARINE PHOTOSYNTHETIC RESPONSE TO INCREASED ATMOSPHERIC CO2 CONCENTRATION AND OCEANIC ACIDIFICATION,"Wu, Hongyan and Zou, Dinghui and Gao, Kunshan",2009,NANA,"Increasing atmospheric CO2 and subsequent rise of pCO(2) in seawater alters the carbonate system and related chemical reactions in surface ocean, reducing pH and the concentration of carbonate (CO32-) while increasing that of bicarbonate (HCO3-). Such changes in marine chemistry, with inore and more CO2 accumulated in the atmosphere, will be accelerated and affect photosynthetic CO2 Fixation processes of phytoplanktonic and macroalgal species in direct and/or indirect ways. Although many unicellular and multicellular species are known to operate CO2-concentrating mechanisms (CCMs) to utilize the large HCO3- pool in seawater, enriched CO2 up to several times the present atmospheric level has been shown to enhance photosynthesis and growth of both phytoplanktonic and macroalgal species that have less capacity of CCMs. Even for the species that operate active CCMs and those whose photosynthesis is not limited by pCO(2) in seawater, increased CO2 levels can down-regulate their CCMs and therefore enhance their growth under light-limiting conditions (at higher CO2 level, less light energy is required to drive CCM). Altered physiological performances under high-CO2 conditions may cause genetic alteration in view of adaptation over long time scale. Marine photosynthetic organisms may adapt to a high CO2 oceanic environment so that the evolved communities in future are likely to be genetically different from the contemporary communities. However, most of the previous studies have been carried out without considering the acidifying effects of increased CO2 and other interactive factors. Nevertheless, the advances reported so far are important for us to explore how physiology of marine primary producers performs in a high-CO2 and low-pH oceans.",Plant Sciences,2009.1414,excluded,
Productivity gains do not compensate for reduced calcification under near-future ocean acidification in the photosynthetic benthic foraminifer species Marginopora vertebralis,"Uthicke, Sven and Fabricius, Katharina E.",2012,Global Change Biology,"Changes in the seawater carbonate chemistry (ocean acidification) from increasing atmospheric carbon dioxide (CO2) concentrations negatively affect many marine calcifying organisms, but may benefit primary producers under dissolved inorganic carbon (DIC) limitation. To improve predictions of the ecological effects of ocean acidification, the net gains and losses between the processes of photosynthesis and calcification need to be studied jointly on physiological and population levels. We studied productivity, respiration, and abundances of the symbiont-bearing foraminifer species Marginopora vertebralis on natural CO2 seeps in Papua New Guinea and conducted additional studies on production and calcification on the Great Barrier Reef (GBR) using artificially enhanced pCO2. Net oxygen production increased up to 90\% with increasing pCO2; temperature, light, and pH together explaining 61\% of the variance in production. Production increased with increasing light and increasing pCO2 and declined at higher temperatures. Respiration was also significantly elevated (similar to 25\%), whereas calcification was reduced (1639\%) at low pH/high pCO2 compared to present-day conditions. In the field, M. vertebralis was absent at three CO2 seep sites at pHTotal levels below similar to 7.9 (pCO2 similar to 700 similar to mu atm), but it was found in densities of over 1000 similar to m-2 at all three control sites. The study showed that endosymbiotic algae in foraminifera benefit from increased DIC availability and may be naturally carbon limited. The observed reduction in calcification may have been caused either by increased energy demands for proton pumping (measured as elevated rates of respiration) or by stronger competition for DIC from the more productive symbionts. The net outcome of these two competing processes is that M. vertebralis cannot maintain populations under pCO2 exceeding 700 similar to mu atm, thus are likely to be extinct in the next century.",Biodiversity \& Conservation; Environmental Sciences \& Ecology,2012.1515,NA,
Physiological responses of coccolithophores to abrupt exposure of naturally low pH deep seawater,"Iglesias-Rodriguez, M.D. and Jones, B.M. and Blanco-Ameijeiras, S. and Greaves, M. and Huete-Ortega, M. and Lebrato, M.",2017,Plos One,"Upwelling is the process by which deep, cold, relatively high-CO2, nutrient-rich seawater rises to the sunlit surface of the ocean. This seasonal process has fueled geoengineering initiatives to fertilize the surface ocean with deep seawater to enhance productivity and thus promote the drawdown of CO2. Coccolithophores, which inhabit many upwelling regions naturally â€˜fertilizedâ€™ by deep seawater, have been investigated in the laboratory in the context of ocean acidification to determine the extent to which nutrients and CO2 impact their physiology, but few data exist in the field except from mesocosms. Here, we used the Porcupine Abyssal Plain (north Atlantic Ocean) Observatory to retrieve seawater from depths with elevated CO2 and nutrients, mimicking geoengineering approaches. We tested the effects of abrupt natural deep seawater fertilization on the physiology and biogeochemistry of two strains of Emiliania huxleyi of known physiology. None of the strains tested underwent cell divisions when incubated in waters obtained from &lt;1,000 m (pH = 7.99â€“8.08; CO2 = 373â€“485 p.p.m; 1.5â€“12 Î¼M nitrate). However, growth was promoted in both strains when cells were incubated in seawater from ~1,000 m (pH = 7.9; CO2 ~560 p.p.m.; 14â€“17 Î¼M nitrate) and ~4,800 m (pH = 7.9; CO2 ~600 p.p.m.; 21 Î¼M nitrate). Emiliania huxleyi strain CCMP 88E showed no differences in growth rate or in cellular content or production rates of particulate organic (POC) and inorganic (PIC) carbon and cellular particulate organic nitrogen (PON) between treatments using water from 1,000 m and 4,800 m. However, despite the N: P ratio of seawater being comparable in water from ~1,000 and ~4,800 m, the PON production rates were three times lower in one incubation using water from ~1,000 m compared to values observed in water from ~4,800 m. Thus, the POC:PON ratios were threefold higher in cells that were incubated in ~1,000 m seawater. The heavily calcified strain NZEH exhibited lower growth rates and PIC production rates when incubated in water from ~4,800 m compared to ~1,000 m, while cellular PIC, POC and PON were higher in water from 4,800 m. Calcite Sr/Ca ratios increased with depth despite constant seawater Sr/Ca, indicating that upwelling changes coccolith geochemistry. Our study provides the first experimental and field trial of a geoengineering approach to test how deep seawater impacts coccolithophore physiological and biogeochemical properties. Given that coccolithophore growth was only stimulated using waters obtained from &gt;1,000 m, artificial upwelling using shallower waters may not be a suitable approach for promoting carbon sequestration for some locations and assemblages, and should therefore be investigated on a site-by-site basis. Â© 2017 Iglesias-Rodriguez et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",NA,2017.1978,selected,
Pacific geoduck (Panopea generosa) resilience to natural pH variation,"Spencer, Laura H. and Horwith, Micah and Lowe, Alexander T. and Venkataraman, Yaamini R. and Timmins-Schiffman, Emma and Nunn, Brook L. and Roberts, Steven B.",2019,Comparative Biochemistry And Physiology D-genomics \& Proteomics,"Pacific geoduck aquaculture is a growing industry, however, little is known about how geoduck respond to varying environmental conditions, or how the industry will fare under projected climate conditions. To understand how geoduck production may be impacted by low pH associated with ocean acidification, multi-faceted environmental heterogeneity needs to be included to understand species and community responses. In this study, eelgrass habitats and environmental heterogeneity across four estuarine bays were leveraged to examine low pH effects on geoduck under different natural regimes, using targeted proteomics to assess physiology. Juvenile geoduck were deployed in eelgrass and adjacent unvegetated habitats for 30 days while pH, temperature, dissolved oxygen, and salinity were monitored. Across the four bays, pH was lower in unvegetated habitats compared to eelgrass habitats. However this did not impact geoduck growth, survival, or proteomic abundance patterns in gill tissue. Temperature and dissolved oxygen differences across all locations corresponded to differences in growth and targeted protein abundance patterns. Specifically, three protein abundance levels (trifunctional-enzyme beta-subunit, puromycin-sensitive aminopeptidase, and heat shock protein 90-alpha) and shell growth positively correlated with dissolved oxygen variability and inversely correlated with mean temperature. These results demonstrate that geoduck may be resilient to low pH in a natural setting, but other abiotic factors (i.e. temperature, dissolved oxygen variability) may have a greater influence on geoduck physiology. In addition this study contributes to the understanding of how eelgrass patches influences water chemistry.",Biochemistry \& Molecular Biology; Genetics \& Heredity,2019.8664,NA,
Energetic context determines species and community responses to ocean acidification,"Brown, Norah E. M. and Bernhardt, Joey R. and Harley, Christopher D. G.",2020,Ecology,"Physiological responses to ocean acidification are thought to be related to energetic trade-offs. Although a number of studies have proposed that negative responses to low pH could be minimized in situations where food resources are more readily available, evidence for such effects on individuals remain mixed, and the consequences of such effects at the community level remain untested. We explored the potential for food availability and diet quality to modify the effects of acidification on developing marine fouling communities in field-deployed mesocosms by supplementing natural food supply with one of two species of phytoplankton, differing in concentration of fatty acids. After 12 weeks, no species demonstrated the interactive effects generally predicted in the literature, where a positive overall effect of diet mitigated the negative overall effects of acidification. Rather, for some species, additional food supply appeared to bring out or exacerbate the negative effects of low pH. Community richness and structure were only altered by acidification, while space occupation and evenness reflected patterns of the most dominant species. Importantly, we find that acidification stress can increase the relative abundance of invasive species, even under resource conditions that otherwise prevented invasive species establishment. Overall, the proposed hypothesis regarding the ability for food addition to mitigate the negative effects of acidification is thus far not widely supported at species or community levels. It is clear that acidification is a strong driving force in these communities but understanding underlying energetic and competitive context is essential to developing mechanistic predictions for climate change responses.",Environmental Sciences \& Ecology,2020.4477,NA,
Ocean acidification of the Greater Caribbean Region 1996-2006,"Gledhill, D.K. and Wanninkhof, R. and Millero, F.J. and Eakin, M.",2008,Journal Of Geophysical Research: Oceans,"The global oceans serve as the largest sustained natural sink for increasing atmospheric carbon dioxide (CO2) concentrations. As this CO2 is absorbed by seawater, it not only reacts causing a reduction in seawater pH (or acidification) but also decreases the carbonate mineral saturation state (Î©), which plays an important role in calcification for many marine organisms. Ocean acidification could affect some of the most fundamental biological and geochemical processes of the sea in coming decades. Observations obtained in situ from Volunteer Observing Ships and multiple geochemical surveys have been extended using satellite remote sensing and modeled environmental parameters to derive estimates of sea-surface alkalinity (AT) and carbon dioxide partial pressure (PCO2,sw). Pairing estimates of AT and PCO2,sw have permitted characterization of the changes in sea-surface Î©, which have transpired over the past decade throughout the Greater Caribbean Region as a consequence of ocean acidification. The results reveal considerable spatial and temporal variability throughout the region. Despite this variability, we observed a strong secular decrease in aragonite saturation state (Î© arg) at a rate of approximately -0.012 Â± 0.001 Î©arg yr-1 (r2=0.97, P&lt;0.001). Copyright 2008 by the American Geophysical Union.",NA,2008.1063,NA,
Food Supply and Seawater pCO(2) Impact Calcification and Internal Shell Dissolution in the Blue Mussel Mytilus edulis,"Melzner, Frank and Stange, Paul and Truebenbach, Katja and Thomsen, Joern and Casties, Isabel and Panknin, Ulrike and Gorb, Stanislav N. and Gutowska, Magdalena A.",2011,Plos One,"Progressive ocean acidification due to anthropogenic CO2 emissions will alter marine ecosytem processes. Calcifying organisms might be particularly vulnerable to these alterations in the speciation of the marine carbonate system. While previous research efforts have mainly focused on external dissolution of shells in seawater under saturated with respect to calcium carbonate, the internal shell interface might be more vulnerable to acidification. In the case of the blue mussel Mytilus edulis, high body fluid pCO(2) causes low pH and low carbonate concentrations in the extrapallial fluid, which is in direct contact with the inner shell surface. In order to test whether elevated seawater pCO(2) impacts calcification and inner shell surface integrity we exposed Baltic M. edulis to four different seawater pCO(2) (39, 142, 240, 405 Pa) and two food algae (310-350 cells mL(-1) vs. 1600-2000 cells mL(-1)) concentrations for a period of seven weeks during winter (5 degrees C). We found that low food algae concentrations and high pCO(2) values each significantly decreased shell length growth. Internal shell surface corrosion of nacreous (= aragonite) layers was documented via stereomicroscopy and SEM at the two highest pCO(2) treatments in the high food group, while it was found in all treatments in the low food group. Both factors, food and pCO(2), significantly influenced the magnitude of inner shell surface dissolution. Our findings illustrate for the first time that integrity of inner shell surfaces is tightly coupled to the animals' energy budget under conditions of CO2 stress. It is likely that under food limited conditions, energy is allocated to more vital processes (e. g. somatic mass maintenance) instead of shell conservation. It is evident from our results that mussels exert significant biological control over the structural integrity of their inner shell surfaces.",Science \& Technology - Other Topics,2011.4087,NA,
Global trends of ocean CO2 sink and ocean acidification: an observation-based reconstruction of surface ocean inorganic carbon variables,"Iida, Y. and Takatani, Y. and Kojima, A. and Ishii, M.",2021,Journal Of Oceanography,"Ocean acidification is likely to impact marine ecosystems and human societies adversely and is a carbon cycle issue of great concern. Projecting the degree of ocean acidification and the carbon-climate feedback will require understanding the current status, variability, and trends of ocean inorganic carbon system variables and the ocean carbon sink. With this goal in mind, we reconstructed total alkalinity (TA), dissolved inorganic carbon (DIC), CO2 partial pressure (pCO2sea), seaâ€“air CO2 flux, pH, and aragonite saturation state (Î©arg) for the global ocean based on measurements of pCO2sea and TA. We used a multiple linear regression approach to derive relationships to explain TA and DIC and obtained monthly 1Â° Ã— 1Â° gridded values of TA and DIC for the period 1993â€“2018. These data were converted to pCO2sea, pH, and Î©arg, and monthly sea-air CO2 fluxes were obtained in combination with atmospheric CO2. Mean annual seaâ€“air CO2 flux and its rate of change were estimated to be âˆ’ 2.0 Â± 0.5 PgC yearâˆ’1 and âˆ’ 0.3 (PgC yearâˆ’1) decadeâˆ’1, respectively. Our analysis revealed that oceanic CO2 uptake decreased during the 1990s and has been increasing since 2000. Our estimate of the globally averaged rate of pH change, âˆ’ 0.0181 Â± 0.0001 decadeâˆ’1, was consistent with that expected from the trend of atmospheric CO2 growth. However, rates of decline of pH were relatively slow in the Southern Ocean (âˆ’ 0.0165 Â± 0.0001Â·decadeâˆ’1) and in the western equatorial Pacific (âˆ’ 0.0148 Â± 0.0002Â·decadeâˆ’1). Our estimate of the globally averaged rate of pH change can be used to verify Indicator 14.3.1 of Sustainable Development Goals. Â© 2020, The Oceanographic Society of Japan and Springer Nature Singapore Pte Ltd.",NA,2021.5524,excluded,
Heterotrophy of Oceanic Particulate Organic Matter Elevates Net Ecosystem Calcification,"Kealoha, Andrea K. and Shamberger, Kathryn E. F. and Reid, Emma C. and Davis, Kristen A. and Lentz, Steven J. and Brainard, Russell E. and Oliver, Thomas A. and Rappe, Michael S. and Roark, E. Brendan and Rii, Yoshimi M.",2019,Geophysical Research Letters,"Coral reef calcification is expected to decline due to climate change stressors such as ocean acidification and warming. Projections of future coral reef health are based on our understanding of the environmental drivers that affect calcification and dissolution. One such driver that may impact coral reef health is heterotrophy of oceanic-sourced particulate organic matter, but its link to calcification has not been directly investigated in the field. In this study, we estimated net ecosystem calcification and oceanic particulate organic carbon (POCoc) uptake across the Kane'ohe Bay barrier reef in Hawaii. We show that higher rates of POCoc uptake correspond to greater net ecosystem calcification rates, even under low aragonite saturation states (Omega(ar)). Hence, reductions in offshore productivity may negatively impact coral reefs by decreasing the food supply required to sustain calcification. Alternatively, coral reefs that receive ample inputs of POCoc may maintain higher calcification rates, despite a global decline in Omega(ar). Plain Language Summary Coral reefs are threatened by climate change stressors including ocean acidification and ocean warming. One way to measure and monitor coral reef health is to estimate coral reef calcification, which is influenced by several environmental factors including light, temperature, pH, and nutrient availability. By understanding the effects of these factors on calcification, we can better predict how corals will respond to climate change. One potentially important factor for calcification that has not been investigated in the field is coral reef ecosystem feeding on particulate organic matter supplied from offshore (i.e., oceanic particulate organic matter). In this study, we estimated net ecosystem calcification and oceanic particulate organic carbon (POC) uptake across the Kane'ohe Bay barrier reef in Hawaii. For the first time, we show a direct correlation between net ecosystem calcification and oceanic POC uptake, which suggests that the reef is using oceanic POC as an energy source to elevate calcification. However, since climate change reduces oceanic POC production through warming and stratification, our results imply coral reef calcification may decline. Alternatively, coral reefs located in regions of high oceanic productivity and that sustain greater rates of oceanic POC uptake may be able to maintain calcification longer into the future.",Geology,2019.1667,excluded,
