"title","author","year","journal","abstract","research_areas","label","screened_abstracts","notes"
"Potential for Very Deep Ocean Storage of CO2 Without Ocean Acidification: A Discussion Paper","Goldthorpe, Steve","2017","NANA","Carbon Capture and Storage (CCS) is an essential contributor to the mitigation of climate change. CCS will require vast CO2 storage capacity. At present only geological storage is being considered. This paper revisits an alternative CO2 storage possibility in enclosed basins on the deep and very deep ocean floor. For example, the Indonesian Sunda trench, the Japanese Ryukyu trench and the Puerto Rico trench are more than 6 km deep. If liquid CO2 were to be placed in such a trench, it would be 7\% more dense than seawater and could remain permanently as a lake of liquid CO2 on the ocean floor, possibly becoming a solid hydrate over time which could inhibit mixing between the stored CO2 and ocean currents. At depths greater than about 4 to 5 km metres, seawater is under-saturated in calcium carbonate, so ocean ecosystems are significantly different. Any impact on deep marine fauna would need to be investigated. The London Dumping Convention has provisions for disposal of material into the ocean provided the absence of adverse effects can be proven. Deep ocean CO2 entrapment is more certain than geological CO2 storage in deep aquifers. A CO2 delivery concept by ship and vertical pipe is suggested for exploratory trials, with subsea pipelines for permanent installations, which might be much cheaper than geological CO2 storage. There is vast capacity for storage of CO2 in the world's very deep ocean trenches. The Sunda trench below 6 km has the capacity to accommodate 19,000 gigatonnes of liquid CO2, which is greater than the CO2 yield from all currently known global fossil fuel reserves. The Puerto Rico trench has capacity for 24,000 Gt of liquid CO2 deeper than 7 km. Enclosed basins of limited area could easily accommodate captured CO2. China has the largest potential demand for CO2 storage from power generation and industrial sources, which could be 3 Gt per year by 2050. The Ryukyu trench, which is 700 km from the Chinese coast and is in Japanese water, has two sections deeper than 7 km. Those sections of the Ryukyu trench would have the capacity to accommodate all the CO2 captured in China at 3 Gt per year for over 200 years. In the event that very deep ocean storage of CO2 is found to be practicable and acceptable, the minimum practical depth would need to be determined as a criterions for acceptable additional storage locations. For consideration, there is an enclosed basin on the floor of the Mediterranean Sea 60 km off Southern Greece, with capacity for 84 Gt of CO2 deeper than 4.5 km. Also, there is an enclosed basin in the Arabian Sea, 320 km south west of Karachi, with capacity for 86 Gt of CO2 deeper than 3.5 km. The potential storage of CO2 in such locations would be temperature dependent. The global CCS community has previously considered ocean storage of CO2 on the basis of ultimate dissolution and dispersion of CO2 in ocean water. Those studies have dismissed ocean storage as environmentally unacceptable due to ocean acidification. This paper postulates that very deep ocean trenches (>6 km) and deep ocean floor depressions (>4 km) are environments for CO2 storage, where permanent storage without dissolution, acidification or adverse effects on fauna may be possible. The purpose of this paper is to pose the question ``Why not?{''} to the CCS community and to suggest that active research is timely. (C) 2017 The Authors. Published Elsevier Ltd.","Science \& Technology - Other Topics; Energy \& Fuels; Engineering","2017.1167",NA,""
"Seaweed farming for food and nutritional security, climate change mitigation and adaptation, and women empowerment: A review","Sultana, F. and Wahab, M.A. and Nahiduzzaman, M. and Mohiuddin, M. and Iqbal, M.Z. and Shakil, A. and Mamun, A.-A. and Khan, M.S.R. and Wong, L. and Asaduzzaman, M.","2022","Aquaculture And Fisheries","Seaweed is a promising marine macroalgae of the millennium, providing various ecological, social, and economic benefits. At present, seaweed production reached 35.8 million t from farming, accounting for 97% of global seaweed output, with a world market of US$ 11.8 billion. Seaweeds are an excellent source of nutritious human food because of their low lipid content, high minerals, fibers, polyunsaturated fatty acids, polysaccharides, vitamins, and bioactive compounds. Many seaweed sub-products offer unique properties to develop various functional foods for the food processing industries. In the perspective of climate change mitigation, seaweed farms absorb carbon, serve as a CO2 sink and reduce agricultural emissions by providing raw materials for biofuel production and livestock feed. Seaweed farming system also helps in climate change adaptation by absorbing wave energy, safeguarding shorelines, raising the pH of the surrounding water, and oxygenating the waters to minimize the impacts of ocean acidification and hypoxia on a localized scale. Moreover, it contributes substantially to the sustainable development of the economic condition of coastal women by providing livelihood opportunities and ensuring financial solvency. This review paper highlights the significance of seaweed farming in global food and nutritional security, mitigation and adaptation to global climate change, and women empowerment within a single frame. This review paper also outlined the major issues and challenges of seaweed farming for obtaining maximum benefits in these aspects. The main challenges of making seaweed as a staple diet to millions of people include producing suitable species of seaweeds, making seaweed products accessible, affordable, nutritionally balanced, and attractive to the consumers. Various food products must be developed from seaweeds that may be considered equivalent to the foods consumed by humans today. Lack of effective marine spatial planning to avoid user conflicts is vital for expanding the seaweed farming systems to provide aquatic foods and contribute globally for mitigation and adaptation of climate change impacts. Hence, women's empowerment through seaweed farming is primarily constrained by the lack of technical knowledge and financial resources to establish the coastal farming system. All the information discussed in this paper will help to understand the critical needs for large-scale seaweed farming for climate resilience mariculture, potentials for global food security, and future research on various aspects of seaweed farming and their diverse utilization. Â© 2022 Shanghai Ocean University.",NA,"2022.21540","selected",""
"Options for managing impacts of climate change on a deep-sea community","Thresher, Ronald E. and Guinotte, John M. and Matear, Richard J. and Hobday, Alistair J.","2015","Nature Climate Change","The deep sea hosts some of the world's largest, oldest, and most sensitive ecosystems. Climate change and ocean acidification are likely to have severe implications for many deep-sea ecosystems and communities, but what, if anything, can be done to mitigate these threats is poorly understood. To begin to bridge this gap, we convened a stakeholder workshop to assess and prioritize options for conserving legislatively protected deep-sea coral reefs off southeast Australia that, without management intervention, are likely to be severely degraded within decades as a result of climate change. Seventeen possible options were explored that span biological, engineering and regulatory domains and that differed widely in their perceived costs, benefits, time to implementation, and risks. In the short term, the highest priority identified is the need to urgently locate and protect sites globally that are, or will become, refugia areas for the coral and its associated community as climate change progresses.","Environmental Sciences \& Ecology; Meteorology \& Atmospheric Sciences","2015.6279","selected",""
"Ocean Acidification and Human Health","Falkenberg, Laura J. and Bellerby, Richard G. J. and Connell, Sean D. and Fleming, Lora E. and Maycock, Bruce and Russell, Bayden D. and Sullivan, Francis J. and Dupont, Sam","2020","International Journal Of Environmental Research And Public Health","The ocean provides resources key to human health and well-being, including food, oxygen, livelihoods, blue spaces, and medicines. The global threat to these resources posed by accelerating ocean acidification is becoming increasingly evident as the world's oceans absorb carbon dioxide emissions. While ocean acidification was initially perceived as a threat only to the marine realm, here we argue that it is also an emerging human health issue. Specifically, we explore how ocean acidification affects the quantity and quality of resources key to human health and well-being in the context of: (1) malnutrition and poisoning, (2) respiratory issues, (3) mental health impacts, and (4) development of medical resources. We explore mitigation and adaptation management strategies that can be implemented to strengthen the capacity of acidifying oceans to continue providing human health benefits. Importantly, we emphasize that the cost of such actions will be dependent upon the socioeconomic context; specifically, costs will likely be greater for socioeconomically disadvantaged populations, exacerbating the current inequitable distribution of environmental and human health challenges. Given the scale of ocean acidification impacts on human health and well-being, recognizing and researching these complexities may allow the adaptation of management such that not only are the harms to human health reduced but the benefits enhanced.","Environmental Sciences \& Ecology; Public, Environmental \& Occupational Health","2020.674",NA,""
"Can ocean iron fertilization mitigate ocean acidification?","Cao, L. and Caldeira, K.","2010","Climatic Change","Ocean iron fertilization has been proposed as a method to mitigate anthropogenic climate change, and there is continued commercial interest in using iron fertilization to generate carbon credits. It has been further speculated that ocean iron fertilization could help mitigate ocean acidification. Here, using a global ocean carbon cycle model, we performed idealized ocean iron fertilization simulations to place an upper bound on the effect of iron fertilization on atmospheric CO2 and ocean acidification. Under the IPCC A2 CO2 emission scenario, at year 2100 the model simulates an atmospheric CO2 concentration of 965 ppm with the mean surface ocean pH 0. 44 units less than its pre-industrial value of 8. 18. A globally sustained ocean iron fertilization could not diminish CO2 concentrations below 833 ppm or reduce the mean surface ocean pH change to less than 0. 38 units. This maximum of 0. 06 unit mitigation in surface pH change by the end of this century is achieved at the cost of storing more anthropogenic CO2 in the ocean interior, furthering acidifying the deep-ocean. If the amount of net carbon storage in the deep ocean by iron fertilization produces an equivalent amount of emission credits, ocean iron fertilization further acidifies the deep ocean without conferring any chemical benefit to the surface ocean. Â© 2010 Springer Science+Business Media B.V.",NA,"2010.2007","selected",""
"Getting rid of atmospheric carbon: Sequestration and air capture",NA,"2011","Green Energy And Technology","Unlike alternative energy sources, or energy efficiency measures, carbon sequestration can only act to reduce CO2 atmospheric concentrations; it does not help solve our energy problems, and may even add to them. Several sequestration approaches are possible. Carbon capture and storage can only be applied to present emissions from large CO2 emitting sources such as power stations. Another possible approach is to capture CO2 directly from the air. Carbon sequestration in forests, soils, or in ocean plankton, are of this type, as is mechanical air capture. Mechanical air capture can in principle also draw down past CO2 emissions into the atmosphere, and even compensate for emissions of other greenhouse gases. However, the energy costs for capture are very high, so that energy availability becomes a problem. The sequestration phase is the same as for CO2 from fossil fuel combustion. Sequestering CO2 in the deep ocean would lead to both ocean acidification and adverse consequences for marine life. Estimates for the quantity of CO2 that can be ultimately sequestered in geological formations such as disused oil and gas fields, and saline aquifers, both on land and in the seabed, vary by orders of magnitude. But such estimates may be beside the point, since sequestration requires not only that adequate safe geological storage capacity be available, but that CO2 can be safely introduced at the rate desired, which could amount worldwide to tens of Gigatonne of CO2 per year. Furthermore, there is a small risk of catastrophic blowout from injection wells, which means that local citizen opposition could be intense.",NA,"2011.9248",NA,""
"Oceans, IUU Fishing, and Climate Change: Implications for International Law","Voigt, Christina","2020","International Community Law Review","Illegal, unregulated and unreported (IUU) fishing poses a significant threat to marine fisheries and biodiversity only outpaced by the projected impacts of climate change and greenhouse gas emissions. Ocean warming might affect fish stocks, their health and migratory routes. Ocean acidification and de-oxygenation are another two phenomena that might affect certain marine species as well as entire marine ecosystems. Rebuilding of overexploited and depleted fisheries and managing fisheries sustainably will require comprehensive governance structures for port, flag, coastal and market states, which also address the causes and impacts of climate change. Addressing those concerns could open for opportunities for comprehensive and synergetic regulation. This article addresses potential synergies between oceans and climate governance; focusing on the role of oceans in addressing climate change and its adverse impacts. Suggestions to this end include (i) increasing ocean-based renewable energy, (ii) de-carbonizing ocean-based transport, and (iii) pursuing integrated management of fisheries and aquaculture.","Government \& Law","2020.3787",NA,""
"Using flue gas to mitigate ocean acidification","Patel, S.","2011","Power","Researchers from the Lawrence Livermore National Laboratory's (LLNL) Carbon Management Program and the University of California, Santa Cruz found that seawater and calcium could effectively remove most of the CO2 from a natural gas power plant's flue gas stream. A large fraction of the captured gas could then be converted into dissolved calcium bicarbonate - which, pumped into the sea, could be beneficial to the ocean's marine life. The results mean that above-ground CO2 hydration and mineral carbonate scrubbing may provide a ""relatively simple"" point-source CO2 capture and storage system at coastal locations. According to Greg Rau, a senior scientist with the Institute of Marine Sciences at UC Santa Cruz who also works at LLNL, such low-tech CO2 mitigation could be especially relevant for retrofitting to existing power plants and for deployment in the developing world, the primary source of future CO2 emissions.",NA,"2011.9115","selected",""
"Identifying climate and other scenarios that influence the performance of coastal infrastructure projects in Alaska","Morgan, W.L. and Murray, A.L. and Pillutla, S. and Policastro, C.J. and Young, A.A. and Karvetski, C.W. and Lambert, J.H.","2010","2010 Ieee Systems And Information Engineering Design Symposium, Sieds10","Climate change influences sea levels, ocean acidification, extreme weather, ecosystem balance, and other phenomena of importance to natural and man-made systems, as well as long-term national security issues. Climate and other uncertainties should be addressed through scenario analysis when considering societal issues and response policies and investments. The consequences and risks of climate change and sea-level rise are increased by ongoing development and the aging of coastal infrastructure protection. The US Army Corps of Engineers (USACE) is concerned with incorporating the direct and indirect physical effects of projected changes of climate to the management, planning, engineering, designing, construction, operation, and maintenance of USACE projects that mitigate coastal erosion. Multiple rates and events of climate change address uncertainty in the evaluation of project alternatives. Evaluating and designing alternatives over the full spectrum of sea-level rise rates and other scenarios increases the chance of selecting the appropriate projects for success. Such analyses must consider the issues of human health and safety, economic costs and benefits, aging infrastructure systems, environmental and ecological aspects, and other social effects. Our effort is developing a methodology for identifying the most influential scenarios for infrastructure policies and investments for protection from coastal erosion. The methodology quantifies the sensitivity of twenty-six Alaska infrastructure projects to a variety of scenarios. For each scenario, the methodology elicits from experts the increases or decreases in importance of criteria to rank project needs. Â©2010 IEEE.",NA,"2010.8376",NA,""
"Fostering adaptive marine aquaculture through procedural innovation in marine spatial planning","Craig, Robin Kundis","2019","Marine Policy","Worldwide, as wild-caught commercial fisheries plateau and human demands for protein increase, marine aquaculture is expanding. Much marine aquaculture is inherently adaptable to changing climatic and chemical conditions. Nevertheless, siting of marine aquaculture operations is subject to competing environmental, economic, and social demands upon and priorities for ocean space, while some forms of marine aquaculture can also impose other externalities on marine systems, such as pollution from wastes (nutrients) and antibiotics, consumption of wild fish as food, and introduction of non-native or genetically modified species. As a result, governmental policy decisions to promote both marine aquaculture that can adapt to a changing ocean and adaptive governance for that aquaculture can become contested, requiring attention to their social legitimacy. This article explores how the law can promote the adaptability of marine aquaculture to climate change and ocean acidification-adaptive marine aquaculture-while still preserving key rule-of-law values, such as public participation and accountability. Perhaps most obviously, law can establish substantive requirements for marine aquaculture that minimize its impacts, promoting marine resilience overall. However, to foster truly adaptive marine aquaculture, including adaptive governance institutions, coastal nations should also procedurally reform their marine spatial planning efforts to legally connect the procedures for aquaculture permitting, marine spatial planning (MSP), and adaptive management. The goals for such connections, moreover, should be to mandate new forums for public participation and creative collaboration, promote experimentation with accountability that leads to increased knowledge, and foster the emergence of adaptive governance regarding the use of marine space.","Environmental Sciences \& Ecology; International Relations","2019.1072",NA,""
