"title","author","year","journal","abstract","research_areas","label","screened_abstracts","notes"
"Nursery-propagated plants from seed: a novel tool to improve the effectiveness and sustainability of seagrass restoration","Balestri, Elena and Lardicci, Claudio","2012","Journal Of Applied Ecology","Seagrasses and the valuable ecosystem services they provide are threatened world-wide by impacts of human activity. Numerous revegetation efforts have attempted to restore seagrasses. Most restoration programmes use plants collected from the field because of limited seed availability, low seedling survival and difficulty in culturing plants. However, this practice risks damage to donor populations and has the potential to reduce genetic diversity, which may counteract the desired effects of restoration. A novel aquaculture system for producing plants (mother plants and cuttings) from a limited number of seeds was tested using Cymodocea nodosa as model species. The ability of transplanted cuttings to survive and grow in the natural habitat was also evaluated. Seed germination was high (48\%) compared with field conditions, and most seedlings produced mother plants with up to 7.8 m of rhizome and 300 shoots within 4 years in culture. All cuttings from mother plants regenerated new plants. Up to 100 transplants were produced from two seeds, and most (85\%) of them survived and initiated the colonization of substrate, 1 year after planting. Synthesis and applications. This study provides a robust protocol that can reduce plant and/or seed collection pressure on donor populations and produce a high number of transplants which show lower mortality rates during the early transplantation phases. This method can also help to preserve genetic diversity in restored populations, which should be one of the major goals of ecological restoration. This novel tool can be applied to other seagrass species with low or unpredictable reproductive success, therefore the development of nurseries should be incorporated in future restoration programmes. This is currently the only sustainable methodology to produce material for transplanting programmes for protected species.","Biodiversity \& Conservation; Environmental Sciences \& Ecology","2012.3684",NA,""
"Magnetic fields generated by the DC cables of offshore wind farms have no effect on spatial distribution or swimming behavior of lesser sandeel larvae (Ammodytes marinus)","Cresci, A. and Perrichon, P. and Durif, C.M.F. and SÃ¸rhus, E. and Johnsen, E. and Bjelland, R. and Larsen, T. and Skiftesvik, A.B. and Browman, H.I.","2022","Marine Environmental Research","In the North Sea, the number and size of offshore wind (OW) turbines, together with the associated network of High Voltage Direct Current (HVDC) subsea cables, will increase rapidly over the coming years. HVDC cables produce magnetic fields (MFs) that might have an impact on marine animals that encounter them. One of the fish species that is at risk of exposure to MF associated with OW is the lesser sandeel (Ammodytes marinus), a keystone species of the North Sea basin. Lesser sandeel could be exposed to MF as larvae, when they drift in proximity of OW turbines. Whether MFs impact the behavior of lesser sandeel larvae, with possible downstream effects on their dispersal and survival, is unknown. We tested the behavior of 56 lesser sandeel larvae, using a setup designed to simulate the scenario of larvae drifting past a DC cable. We exposed the larvae to a MF intensity gradient (150-50 Î¼T) that is within the range of MFs produced by HVDC subsea cables. Exposure to the MF gradient did not affect the spatial distribution of lesser sandeel larvae in a raceway tank 50 cm long, 7 cm wide and 3.5 cm deep. Nor did the MF alter their swimming speed, acceleration or distance moved. These results show that static MF from DC cables would not impact behavior of lesser sandeel larvae during the larval period of their life although it does not exclude the possibility that later life stages could be affected. Â© 2022 The Authors",NA,"2022.17449","selected",""
"External conditions drive optimal planting configurations for salt marsh restoration","Duggan-Edwards, Mollie F. and Pages, Jordi F. and Jenkins, Stuart R. and Bouma, Tjeerd J. and Skov, Martin W.","2020","Journal Of Applied Ecology","Coastal salt marshes are threatened by erosion from storminess and sea level rise, with resulting losses in flood protection, wildlife and recreational space. Although more than \$1 billion has been spent to reconcile losses, restoration has had varying success because of poor survival of planted patches in challenging wave and current conditions. Marsh expansion after colonization or replanting is regulated by positive and negative feedbacks between vegetation density and sediment capture. Dense vegetation stimulates sediment capture and vertical patch growth, but negatively constrains patch expansion by concentrating hydrological energy into erosion gullies along patch edges. Conversely, low-density vegetation may not simulate enough sediment capture, which increases plant dislodgement mortality. The strengths of positive and negative feedbacks will vary with wave exposure, but this has never been tested in natural conditions. We observed density-dependent sediment feedbacks, survival and lateral expansion by Sporobolus anglicus patches (0.8 x 0.8 m) planted at three levels of vegetation density, at each of three levels of wave forcing (three sites). We found interactive effects of plant density and forcing on the strength of positive and negative feedbacks. Density-dependent feedbacks only emerged in moderate and exposed conditions: classic marsh tussock patch shapes, which arise due to combined positive (vertical growth) and negative (gullies) feedbacks, were only associated with high density vegetation under exposed conditions. At high exposure, survival was enhanced by dense planting, which diverted energy away from the vegetation. In sheltered conditions, expansion was the greatest at medium density, while dense patches had high mortality and erosion. Synthesis and applications. Success of wetland restoration clearly hinges on considering interactions between environmental stress and planting density. In challenging high-exposure settings, dense planting in large patches should maximize success, as plant facilitation boosts sediment capture and negative edge effects (gullies) will represent a diminished proportion of larger patches. Yet, benefits of dense planting will switch from positive (facilitation) to negative (competition) with reduced environmental stress, when moderate-density planting might be optimal. Switches along stress gradients between positive and negative feedbacks are common across ecosystems. We call for wider integration of facilitation and stress-gradient principles into restoration design to safeguard restoration successes.","Biodiversity \& Conservation; Environmental Sciences \& Ecology","2020.14053","selected",""
"Genome-wide analysis of natural and restored eastern oyster populations reveals local adaptation and positive impacts of planting frequency and broodstock number","Hornick, Katherine M. and Plough, V, Louis","2022","Evolutionary Applications","The release of captive-bred plants and animals has increased worldwide to augment declining species. However, insufficient attention has been given to understanding how neutral and adaptive genetic variation are partitioned within and among proximal natural populations, and the patterns and drivers of gene flow over small spatial scales, which can be important for restoration success. A seascape genomics approach was used to investigate population structure, local adaptation, and the extent to which environmental gradients influence genetic variation among natural and restored populations of Chesapeake Bay eastern oysters Crassostrea virginica. We also investigated the impact of hatchery practices on neutral genetic diversity of restored reefs and quantified the broader genetic impacts of large-scale hatchery-based bivalve restoration. Restored reefs showed similar levels of diversity as natural reefs, and striking relationships were found between planting frequency and broodstock numbers and genetic diversity metrics (effective population size and relatedness), suggesting that hatchery practices can have a major impact on diversity. Despite long-term restoration activities, haphazard historical translocations, and high dispersal potential of larvae that could homogenize allele frequencies among populations, moderate neutral population genetic structure was uncovered. Moreover, environmental factors, namely salinity, pH, and temperature, play a major role in the distribution of neutral and adaptive genetic variation. For marine invertebrates in heterogeneous seascapes, collecting broodstock from large populations experiencing similar environments to candidate sites may provide the most appropriate sources for restoration and ensure population resilience in the face of rapid environmental change. This is one of a few studies to demonstrate empirically that hatchery practices have a major impact on the retention of genetic diversity. Overall, these results contribute to the growing body of evidence for fine-scale genetic structure and local adaptation in broadcast-spawning marine species and provide novel information for the management of an important fisheries resource.","Evolutionary Biology","2022.6239","selected",""
"Effects of ocean sprawl on ecological connectivity: impacts and solutions","Bishop, Melanie J. and Mayer-Pinto, Mariana and Airoldi, Laura and Firth, Louise B. and Morris, Rebecca L. and Loke, Lynette H. L. and Hawkins, Stephen J. and Naylor, Larissa A. and Coleman, Ross A. and Chee, Su Yin and Dafforn, Katherine A.","2017","Journal Of Experimental Marine Biology And Ecology","The growing number of artificial structures in estuarine, coastal and marine environments is causing ``ocean sprawl{''}. Artificial structures do not only modify marine and coastal ecosystems at the sites of their placement, but may also produce larger-scale impacts through their alteration of ecological connectivity - the movement of organisms, materials and energy between habitat units within seascapes. Despite the growing awareness of the capacity of ocean sprawl to influence ecological connectivity, we lack a comprehensive understanding of how artificial structures modify ecological connectivity in near- and off-shore environments, and when and where their effects on connectivity are greatest. We review the mechanisms by which ocean sprawl may modify ecological connectivity, including trophic connectivity associated with the flow of nutrients and resources. We also review demonstrated, inferred and likely ecological impacts of such changes to connectivity, at scales from genes to ecosystems, and potential strategies of management for mitigating these effects. Ocean sprawl may alter connectivity by: (1) creating barriers to the movement of some organisms and resources - by adding physical barriers or by modifying and fragmenting habitats; (2) introducing new structural material that acts as a conduit for the movement of other organisms or resources across the landscape; and (3) altering trophic connectivity. Changes to connectivity may, in turn, influence the genetic structure and size of populations, the distribution of species, and community structure and ecological functioning. Two main approaches to the assessment of ecological connectivity have been taken: (1) measurement of structural connectivity - the configuration of the landscape and habitat patches and their dynamics; and (2) measurement of functional connectivity - the response of organisms or particles to the landscape. Our review reveals the paucity of studies directly addressing the effects of artificial structures on ecological connectivity in the marine environment, particularly at large spatial and temporal scales. With the ongoing development of estuarine and marine environments, there is a pressing need for additional studies that quantify the effects of ocean sprawl on ecological connectivity. Understanding the mechanisms by which structures modify connectivity is essential if marine spatial planning and eco-engineering are to be effectively utilised to minimise impacts. (C) 2017 The Authors. Published by Elsevier B.V.","Environmental Sciences \& Ecology; Marine \& Freshwater Biology","2017.119","selected",""
"Taxonomic diversity and eco-exergy changes in fishery resources associated with artificial reefs over 14 years in Daya Bay, China","Yuan, Huarong and Chen, Pimao and Li, Xiaoguo","2022","Frontiers In Marine Science","Marine habitat degradation resulting from human activities and environmental pollution has led to serious deterioration of marine fishery resources. To address this issue, countries worldwide are exploring sustainable fishery approaches. Installation of artificial reefs (AR) is rapidly increasing. AR have been widely constructed globally to conserve fishery resources and improve marine habitats. As an important biological group of marine fishery resources, nekton are widely evaluated to determine the effects of ecological restoration and resource conservation. In the current study, we compared the dynamic properties of taxonomic diversity and the eco-exergy of nekton community from 2 to 14 years after AR construction in Dalajia, China. The results indicated that the species number and density of nekton significantly increased after AR construction. Siganus oramin became an absolute dominant fish species in the reef area and its surroundings. The species diversity and evenness of the nekton community decreased, whereas species richness increased. The abundance, biomass, and eco-exergy of the nekton community increased over time because of the dominance of fishes. Our results highlight that AR can increase and conserve fishery resources, improve the structure of the nekton community, and increase ecosystem stability. But, at the same time, the dominance of S. oramin can interfere in the reef community. The explosive growth was quantitatively and qualitatively higher than that of other species, the diversity and evenness indices showed a decreasing trend, although the number of nekton species was significantly higher than that in the background survey and CA habitat during the same period.","Environmental Sciences \& Ecology; Marine \& Freshwater Biology","2022.10194",NA,""
"The thermal impacts of beach nourishment across a regionally important loggerhead sea turtle (Caretta caretta) rookery","Shamblott, Kaitlynn M. and Reneker, Jaymie L. and Kamel, Stephanie J.","2021","Ecosphere","Beach nourishment is a common coastal management practice used to protect and maintain infrastructure, tourist revenue, and sandy beach habitats. Coastal erosion and increased development along the coast of North Carolina, USA, have resulted in increased use of beach nourishment as an environmentally friendly alternative to hard structures, such as groins and jetties. Despite its advantages, beach nourishment can alter the thermal properties of a beach, potentially impacting the incubation environment of species that utilize this habitat during reproduction. Importantly, in organisms with temperature-dependent sex determination, the incubation environment plays a key role in determining offspring sex ratios, hatchling survival, and fitness. Here we investigate how beach nourishment influences thermal properties and sand characteristics of eight beaches in the high-density loggerhead sea turtle (Caretta caretta) nesting region of North Carolina. We find that, despite considerable spatial and temporal variation, nourishment is a significant predictor of mean monthly sand temperatures in both univariate and multivariable predictive models. Across a season, nourished beach sections are, on average, 0.4 degrees C (range 0.3-0.8 degrees C) warmer than their unnourished counterparts. Nourishment is also a significant predictor of the mean and variance of sand grain size. Furthermore, variation in mean grain size, the relative percent of small, medium and large grain sizes and albedo are mainly responsible for differences in mean monthly sand temperatures. As such, the coarser and darker sand often used in nourishment projects may exacerbate climate driven increases in surface temperature.","Environmental Sciences \& Ecology","2021.11012","selected",""
"Assisted gene flow using cryopreserved sperm in critically endangered coral","Hagedorn, Mary and Page, Christopher A. and O'Neil, Keri L. and Flores, Daisy M. and Tichy, Lucas and Conn, Trinity and Chamberland, Valerie F. and Lager, Claire and Zuchowicz, Nikolas and Lohr, Kathryn and Blackburn, Harvey and Vardi, Tali and Moore, Jennifer and Moore, Tom and Baums, Iliana B. and Vermeij, Mark J. A. and Marhaver, Kristen L.","2021","Proceedings Of The National Academy Of Sciences Of The United States Of America","Assisted gene flow (AGF) is a conservation intervention to accelerate species adaptation to climate change by importing genetic diversity into at-risk populations. Corals exemplify both the need for AGF and its technical challenges; corals have declined in abundance, suffered pervasive reproductive failures, and struggled to adapt to climate change, yet mature corals cannot be easily moved for breeding, and coral gametes lose viability within hours. Here, we report the successful demonstration of AGF in corals using cryopreserved sperm that was frozen for 2 to 10 y. We fertilized Acropora palmata eggs from the western Caribbean (Curacao) with cryopreserved sperm from genetically distinct populations in the eastern and central Caribbean (Florida and Puerto Rico, respectively). We then confirmed interpopulation parentage in the Curacao-Florida offspring using 19,696 single-nucleotide polymorphism markers. Thus, we provide evidence of reproductive compatibility of a Caribbean coral across a recognized barrier to gene flow. The 6-mo survival of AGF offspring was 42\%, the highest ever achieved in this species, yielding the largest wildlife population ever raised from cryopreserved material. By breeding a critically endangered coral across its range without moving adults, we show that AGF using cryopreservation is a viable conservation tool to increase genetic diversity in threatened marine populations.","Science \& Technology - Other Topics","2021.1720","selected",""
"Successful cryopreservation of coral larvae using vitrification and laser warming","Daly, Jonathan and Zuchowicz, Nikolas and Lendo, C. Isabel Nunez and Khosla, Kanav and Lager, Claire and Henley, E. Michael and Bischof, John and Kleinhans, F. W. and Lin, Chiahsin and Peters, Esther C. and Hagedorn, Mary","2018","Scientific Reports","Climate change has increased the incidence of coral bleaching events, resulting in the loss of ecosystem function and biodiversity on reefs around the world. As reef degradation accelerates, the need for innovative restoration tools has become acute. Despite past successes with ultra-low temperature storage of coral sperm to conserve genetic diversity, cryopreservation of larvae has remained elusive due to their large volume, membrane complexity, and sensitivity to chilling injury. Here we show for the first time that coral larvae can survive cryopreservation and resume swimming after warming. Vitrification in a 3.5 M cryoprotectant solution (10\% v/v propylene glycol, 5\% v/v dimethyl sulfoxide, and 1 M trehalose in phosphate buffered saline) followed by warming at a rate of approximately 4,500,000 degrees C/min with an infrared laser resulted in up to 43\% survival of Fungia scutaria larvae on day 2 post-fertilization. Surviving larvae swam and continued to develop for at least 12 hours after laser-warming. This technology will enable biobanking of coral larvae to secure biodiversity, and, if managed in a high-throughput manner where millions of larvae in a species are frozen at one time, could become an invaluable research and conservation tool to help restore and diversify wild reef habitats.","Science \& Technology - Other Topics","2018.6541","selected",""
"Ecosystem-based management of seaweed harvesting","Lotze, Heike K. and Milewski, Inka and Fast, Julia and Kay, Lauren and Worm, Boris","2019","Botanica Marina","Harvesting wild seaweeds has a long history and is still relevant today, even though aquaculture now supplies >96\% of global seaweed production. Current wild harvests mostly target canopy-forming kelp, rockweed and red macroalgae that provide important ecosystem roles, including primary production, carbon storage, nutrient cycling, habitat provision, biodiversity and fisheries support. Harvest methods range from selective hand-cutting to bottom trawling. Resulting ecosystem impacts depend on extraction method and scale, ranging from changes in primary production to habitat disruption, fragmentation, food-web alterations and bycatch of non-target species. Current management often aims for sustainable harvesting in a single-species context, although some agencies acknowledge the wider ecosystem structure, functions and services seaweeds provide. We outline potential ecosystem-based management approaches that would help sustain productive and diverse seaweed-based ecosystems. These include maintaining high canopy biomass, recovery potential, habitat structure and connectivity, limiting bycatch and discards, while incorporating seasonal closures and harvest-exclusion zones into spatial management plans. Other sustainability considerations concern monitoring, enforcement and certification standards, a shift to aquaculture, and addressing cumulative human impacts, invasive species and climate change. Our review provides a concise overview on how to define and operationalize ecosystem-based management of seaweed harvesting that can inform ongoing management and conservation efforts.","Plant Sciences; Marine \& Freshwater Biology","2019.2053","excluded",""
