title,author,year,journal,abstract,research_areas,label,screened_abstracts,notes
Shore power as a first step toward shipping decarbonization and related policy impact on a dry bulk cargo carrier,"Daniel, Hugo and Trovao, Joao Pedro F. and Williams, David",2022,Etransportation,"Maritime shipping currently emits 2.89\% of the world greenhouse gas (GHG) emissions and it is estimated that the sector will reach the road transportation level by 2060. International environmental regulations push the industry to lower their GHG emissions, but the feasibility and viability of future green energy is uncertain. This paper presents a road towards green maritime shipping by proposing shore power, also known as cold ironing or alternative marine power, as a key measure to decarbonize the industry. Therefore, transition pathways and the available measures to decarbonize the industry are analyzed. A theoretical description of shore power along with a strengths, weaknesses, opportunities, and threats (SWOT) analysis of the technology is discussed. The paper is also supported with a test case on a real bulk carrier to measure the score improvement of shore power on the Energy Efficiency Design Index (EEDI), the Energy Efficiency Existing Ship Index (EEXI) and the Carbon Intensity Index (CII). In summary, shore power can reduce GHG and air polluting emissions at ports right now and across the world. The case of study determined that shore power could improve CII by 7.8\% and policy modifications have been presented to include shore power in EEDI and EEXI calculations. Most of all, shore power can eliminate 100\% of emissions of ships at berth right now. Furthermore, shore power is a prime mover for the development of new maritime applications like hybridization and electrification. (c) 2021 Elsevier B.V. All rights reserved.",Energy \& Fuels; Engineering; Transportation,2022.3106,selected,
Hybrid Electric Solutions for Marine Applications,"Kanerva, Sami",2021,NANA,"The transition to a sustainable economy is one of the major undertakings in human history. Meeting the International Maritime Organization's goal of halving greenhouse gas emissions from ships by 2050 is a critical step toward sustainability. It will require a comprehensive and proactive response from the maritime community. Shipping is well positioned to take concrete action by choosing to implement technologies that provide reduced fuel consumption and lower emissions. Technical solutions to improve energy efficiency and to decarbonize shipping are increasingly leading towards electrification in marine applications. Electric propulsion enables to optimize the power production under varying load profiles, and simplifies integration of energy storage systems and alternative power sources. In marine power distribution, DC grid solutions are gaining popularity and increasing the content of power electronics in shipboard power systems. Strict regulations and requirements to cut emissions are accelerating investments in renewable hydrogen and electrofuels. Accordingly, the marine industry is undergoing a rapid transition from fossil to alternative low-carbon fuels. This will introduce fuel cells as a credible alternative to internal combustion engines, and further increasing the share of electric power distribution semiconductorbased power conversion.",Energy \& Fuels; Engineering,2021.3007,selected,
Hydraulic design and performance analysis on a small pump-turbine system for ocean renewable energy storage system,"Singh, P.M. and Chen, Z. and Choi, Y.-D.",2017,Journal Of Mechanical Science And Technology,"Korea has a myriad of islands in the south western coast that extensively rely on diesel generators for power production, which increase cost and environment pollution. The small hydro pump-turbine system for ocean renewable energy storage system is a kind of hybrid system that can reduce the usage of diesel generators and help to contribute to the environment in a positive manner by helping to reduce carbon emissions. The study focuses on initial hydraulic design and numerical analysis of a 30 kW-class pump-turbine system for energy independent islands in South Korea. The purpose of the study is to propose an ocean renewable energy storage system using a small pump-turbine system working with seawater. A 30 kW-class pump-turbine does not require a large head; approximately 30 m is sufficient for the design and application. Several other renewable energy systems like wind turbines, tidal turbines, wave energy converters and solar energy could be used to make a hybrid system with pump-turbine. The initial design achieved more than 85 % efficiency in both pump and turbine modes. However, further optimizations of the impeller blade shape and number of guide vane and stay vanes could improve the overall efficiency of the system. Â© 2017, The Korean Society of Mechanical Engineers and Springer-Verlag GmbH Germany, part of Springer Nature.",NA,2017.144,selected,
Stand-alone island daily power management using a tidal turbine farm and an ocean compressed air energy storage system,"Sheng, L. and Zhou, Z. and Charpentier, J.F. and Benbouzid, M.E.H.",2017,Renewable Energy,"Due to the high predictability and the high energy density, marine tidal resource has become an area of increasing interest with various academic and industrial projects around the world. In fact, several Marine Current Turbine (MCT) farm projects with multi-megawatt capacity are planned to be installed in the coming years. In this paper, a MCT farm is supposed to be the main energy supply for a stand-alone island. To compensate the MCT farm power variation relating to the tidal phenomenon, an Ocean Compressed Air Energy Storage (OCAES) system is considered to achieve the island power management. The novelty in this work is that conventional Diesel Generators (DGs) would only serve as a backup supply while the main island power supply will be fulfilled by the proposed hybrid MCT/OCAES system. A simplified OCAES model is built-up in this paper with cycle efficiency about 60.6%. Simulations under different working conditions are carried out to validate the feasibility of the hybrid power system. The obtained results show that the proposed system power management can greatly help to decrease DG fossil fuel consumption and CO2 emission. Â© 2016 Elsevier Ltd",NA,2017.13607,selected,
Green technologies for offshore industry,"Roa, M.",2016,"Offshore Technology Conference Asia 2016, Otca 2016","Environmental technological innovations driven by the evolving regulatory landscape have the potential to provide performance solutions for the next generation of offshore vessels. Future historians may look back at the International Convention for the Prevention of Pollution from Ships, Annex VI (MARPOL) requirements as one of the most important pieces of maritime legislation passed. It sets in motion a series of requirements that change the way vessels are designed and operated. For all practical purposes, the offshore industry may be revolutionized by the confluence of Annex VI requirements which limit the amount of sulfur in fuel oil, limit the amount of nitrogen oxides emitted from the engine combustion process, and reduce CO2 emissions from the combustion of fossil fuels. The economics of alternative fuels such as LNG and the imperatives of operating in Emission Control Areas (ECA) are driving innovative vessel designs. Offshore vessel operators of the world can greatly benefit by adopting green technologies such as renewable energy, alternative fuels, hybrid propulsion and power generation plants, and advanced environmental systems. This paper will outline a number of emission pollutant driven and energy efficiency driven green ship technologies currently being adopted in offshore vessel design, and considers the opportunities this presents for future designs. Â© 2016, Offshore Technology Conference",NA,2016.1418,selected,
Optimizing hybrid offshore wind farms for cost-competitive hydrogen production in Germany,"Scolaro, M. and Kittner, N.",2022,International Journal Of Hydrogen Energy,"Nearly 96% of the world's current hydrogen production comes from fossil-fuel-based sources, contributing to global greenhouse gas emissions. Hydrogen is often discussed as a critical lever in decarbonizing future power systems. Producing hydrogen using unsold offshore wind electricity may offer a low-carbon production pathway and emerging business model. This study investigates whether participating in an ancillary service market is cost competitive for offshore wind-based hydrogen production. It also determines the optimal size of a hydrogen electrolyser relative to an offshore wind farm. Two flexibility strategies for offshore wind farms are developed in this study: an optimal bidding strategy into ancillary service markets for offshore wind farms that build hydrogen production facilities and optimal sizing of Power-to-Hydrogen (PtH) facilities at wind farms. Using empirical European power market and wind generation data, the study finds that offshore-wind based hydrogen must participate in ancillary service markets to generate net positive revenues at current levels of wind generation to become cost competitive in Germany. The estimated carbon abatement cost of â€œgreenâ€ hydrogen ranges between 187 EUR/tonCO2e and 265 EUR/tonCO2e. Allowing hydrogen producers to receive similar subsidies as offshore wind farms that produce only electricity could facilitate further cost reduction. Utilizing excess and intermittent offshore wind highlights one possible pathway that could achieve increasing returns on greenhouse gas emission reductions due to technological learning in hydrogen production, even under conditions where low power prices make offshore wind less competitive in the European electricity market. Â© 2021 Hydrogen Energy Publications LLC",NA,2022.2456,selected,
Hybrid Offshore Power Generation,"Iqbar, I.Md. and Taib, H. and Hamdan, M.F. and Adam, F. and Beyer, M.",2021,"Spe Middle East Oil And Gas Show And Conference, Meos, Proceedings","Amid 2020 challenging business environments due to COVID-19 pandemic and strong global push towards transition to cleaner energy, PETRONAS has declared its' aspiration to achieve net zero carbon emissions by 2050. PETRONAS sustainability journey has begun for more than two decades and with strong management support towards renewable and as part of PETRONAS's technology agenda, its' research arm, PETRONAS Research Sdn. Bhd. (PRSB) has been working on ways to use renewable energy sources for offshore oil and gas platforms in Malaysia. Oil and Gas industry has long relied on turbine generators for offshore power generation. These turbo-fired machineries are operating as microgrid with existing power management system (PMS) as microgrid controllers. They normally use either gas or diesel as fuel gas to ensure reliable power generation where high maintence cost is expected to operate these generators. Also, they have low energy efficiency and hence, usually oversized to ensure meeting the demand reliably. Typically, the power generation load is being taken by two units of turbine generators with another unit as spare. This has resulted in high operational expenditure (OPEX) and contributes to high levelized cost of energy (LCOE) for offshore power generation for such conventional system. LCOE is the yardstick for power generation technology, and it measures discounted lifecycle cost consisting of both capital expenditure (CAPEX) and OPEX, divided by discounted lifecycle of annual energy production [2], [4], [5]. Also, these turbine generators operating at platforms that have gas evacuation pipelines will use up precious fuel gas which can otherwise be sold. This will have impact on the total sales gas revenue. Not withstanding, the burning of the fuel gas will result in the emissions of carbon dioxide (CO2) and hence is exposed to carbon tax. To mitigate this issue, PRSB has developed an offshore hybrid power generation concept to leverage and optimize wind turbine system for offshore power generation in weak wind area such as Malaysia. In this concept, one gas turbine generator is replaced by an offshore wind turbine adapted to low wind speed region. This will lower the maintenance cost and carbon exposure. Also, the fuel gas will be diverted to sales gas. This in turn will improve the economics of the renewable solution thereby making offshore renewable power generation feasible for oil and gas platforms. Forward thinking efforts include pushing the limits of harnessing wind energy in weak wind area such as Malaysia. In here, considerations of a total solution include not only the type of wind turbine generator that can be adapted to weak wind area and having the lowest maintenance requirements as possible, but also looking into cutting edge foundation technologies. The LCOE is expected to be lower than conventional power generation. To ensure optimized hybrid concept, careful selection and adaptations of wind turbine system and its' substructure are required to achieve a cost-effective solution [3], [2]. Conceptual engineering and front-end engineering design were conducted which resulted in the development of the hybrid offshore power generation system. In this paper, the hybrid concept will be shown, the considerations for selection of a suitable wind turbine will be shared and the decisions leading the to the selection and optimization of the foundation type, either fixed bottom or floating are elaborated. Â© 2021, Society of Petroleum Engineers",NA,2021.21509,selected,
Techno-energy-economic assessment of a high capacity offshore wind-pumped-storage hybrid power system for regional power system,"Liu, X. and Li, N. and Mu, H. and Li, M. and Liu, X.",2021,Journal Of Energy Storage,"Developing offshore wind powerâ€”one of the most promising renewable energy sourcesâ€”is considered to be an effective measure by China to promote energy transformation and achieve carbon neutrality. The integration of offshore wind with energy storage facilities can improve wind energy opportunities and mitigate the disharmony between energy generation and supply. This study develops a mathematical model to optimise a high capacity offshore wind-pumped-storage hybrid power system with Non-dominant Sorting Genetic Algorithm with Elite Strategy (NSGA-â…¡). We optimised various objects and compared the results. The results showed that the positive effects of increased electricity sales revenue could not always balance the negative effects of increased investments after configuring energy storage. Moreover, the simulation of the pumping state, discharging state, and state of charge (SOC) examined the system performance. The annual energy distribution analysed quantitively the reservoirs utilisation frequency and energy utilisation efficiency, which revealed the effect of design variables on pumping and discharging operation. Additionally, the effects of system stability constraints and load demand levels on the economic benefits, system performance, and CO2 emission reduction were compared and analysed. The adaptability of the optimal configurations to high load demand was tested. Finally, the sensitivity analysis provided clear guidance on external financial parameters for subsidy backslope. Â© 2021 Elsevier Ltd",NA,2021.236,selected,
Innovative Hybrid Energy System for stable Power and eat Supply in offshore oil \& gas Installation (HES-OFF): System Design and Grid Stability,"Riboldi, Luca and Alves, Erick F. and Pilarczyk, Marcin and Tedeschi, Elisabetta and Nord, Lars O.",2020,NANA,This paper presents an innovative hybrid energy system for stable power and heat supply in offshore oil \& gas installations (HES-OFF). The hybrid concept integrates offshore wind power with gas turbines and a H-2 energy storage solution based on proton exchange membrane fuel cells and electrolysers. The objectives are: 1) improve the environmental performance of offshore installations by maximizing the exploitation of offshore wind and partially decarbonizing the gas turbines by co-feeding H-2; 2) minimize the negative effects that wind power variability has on the electrical grid frequency stability. This study presents a first assessment of the HES-OFF concept performance using an offshore platform in the North Sea as case study. The results show that the HES-OFF concept: 1) cuts CO2 emissions up to 40 \% when compared to the reference case but requires large H-2 storage capacity to fully exploit wind power throughout the year; 2) allows higher wind power penetration without infringing on the grid frequency requirements.,Computer Science; Engineering,2020.17876,selected,
Design and evaluation of LNG-hydrogen hybrid propulsion system for LNG carrier,"Jeong, J. and Seo, S. and Chang, D.",2017,Proceedings Of The International Offshore And Polar Engineering Conference,"Marine Environment Protection Committee (MEPC) in International Maritime Organization (IMO) is regulating the CO2 emission from vessels by an established index called the Energy Efficiency Design Index (EEDI). The EEDI is applied to every ocean-going vessel and ratified to be stringent with respect to time; the CO2 emission should be reduced by 30 % in 2022 (Phase 3) and by 40 % in 2025 (Phase 4) from the emission level of 2013. Although the LNG-fuelled propulsion system has been developed to reduce the green-house gas emission, it hardly meet the regulation in Phase 4, and consequently some fuel without green-house gas emission should be combined with LNG. This study proposes the LNG-hydrogen hybrid system of a LNG carrier with 154K, 210K, and 267K cargo capacity and discusses some issues including the relative ratio of hydrogen with respect to LNG, the size of hydrogen fuel tanks, and operating complexities to satisfy the step-by-step regulations. An appropriate ratio of hydrogen fuel to satisfy the environmental regulation is estimated to more than 12% and 27% for Phase 4 and 5 respectively. The tank size of liquid hydrogen for the ship is estimated 1,300 âˆ¼ 3,300 m3, and the power of a fuel cell is required to be 4.9 âˆ¼ 11.8 MW. Optimising the hybrid propulsion system considering the spatial, operational, and economic feasibility for the hybrid propulsion system is identified as a future challenge. Copyright Â© 2017 by the International Society of Offshore and Polar Engineers (ISOPE).",NA,2017.15246,selected,
