title,author,year,journal,abstract,research_areas,label,screened_abstracts,notes
Modeling Coral Bleaching Mitigation Potential of Water Vertical Translocation - An Analogue to Geoengineered Artificial Upwelling,"Feng, Ellias Y. and Sawall, Yvonne and Wall, Marlene and Lebrato, Mario and Fu, Yao",2020,Frontiers In Marine Science,"Artificial upwelling (AU) is a novel geoengineering technology that brings seawater from the deep ocean to the surface. Within the context of global warming, AU techniques are proposed to reduce sea surface temperature at times of thermal stress around coral reefs. A computationally fast but coarse 3D Earth System model (3.6 degrees longitude x 1.8 degrees latitude) was used to investigate the environmental impacts of hypothetically implemented AU strategies in the Great Barrier Reef, South China Sea, and Hawaiian regions. While omitting the discussion on sub-grid hydrology, we simulated in our model a water translocation from either 130 or 550 m depth to sea surface at rates of 1 or 50 m(3) s(-1) as analogs to AU implementation. Under the Representative Concentration Pathway 8.5 emissions scenario from year 2020 on, the model predicted a prevention of coral bleaching until the year 2099 when AU was implemented, except under the least intense AU scenario (water from 130 m depth at 1 m(3) s(-1)). Yet, intense AU implementation (water from 550 m depth at 50 m(3) s(-1)) will likely have adverse effects on coral reefs by overcooling the surface water, altering salinity, decreasing calcium carbonate saturation, and considerably increasing nutrient levels. Our result suggests that if we utilize AU for mitigating coral bleaching during heat stress, AU implementation needs to be carefully designed with respect to AU's location, depth, intensity and duration so that undesirable environmental effects are minimized. Following a proper installation and management procedure, however, AU has the potential to decelerate destructive bleaching events and buy corals more time to adjust to climate change.",Environmental Sciences \& Ecology; Marine \& Freshwater Biology,2020.3983,selected,
An Ecosystem-Level Perspective on the Host and Symbiont Traits Needed to Mitigate Climate Change Impacts on Caribbean Coral Reefs,"Ortiz, Juan Carlos and Gonzalez-Rivero, Manuel and Mumby, Peter J.",2014,Ecosystems,"Caribbean reefs have steadily declined during the past 30 years. Thermal disturbances that elicit coral bleaching have been identified as a major driver of such coral degradation. It has been suggested that either the evolution of more tolerant symbionts, or shifts in the distribution of existing, tolerant symbionts could ameliorate the effect of rising sea temperatures on Caribbean reefs. Using a spatial ecosystem model we describe the characteristics that new tolerant symbionts, `super-symbionts', and their coral hosts, require for coral cover to be maintained. We also quantify the time necessary for such symbionts to become dominant before their potential beneficial effect is lost. Running scenarios under two levels of greenhouse gas emissions, we find that aggressive action to reduce emissions could almost triple the time available for new super-symbionts to become dominant and potentially mitigate the effect of thermal disturbances. The benefits of thermally tolerant super-symbionts depend on the life-history traits of the host, the number of coral species infected and the present coral assemblage. Corals that are strong competitors with macroalgae are likely to become dominant on future reefs if a super-symbiont appears in the next 25-60 years. In principle, super-symbionts could have ecosystem-level benefits in the Caribbean providing that they become dominant in multiple coral hosts with specific life-history traits within the next 60 years. This potential benefit would only be realized if the appearance of the super-symbiont is combined with drastic reductions of greenhouse gas emissions and maintenance of ecosystem processes such as herbivory.",Environmental Sciences \& Ecology,2014.8024,selected,
Prioritizing reef resilience through spatial planning following a mass coral bleaching event,"Chung, Anne E. and Wedding, Lisa M. and Meadows, Amber and Moritsch, Monica M. and Donovan, Mary K. and Gove, Jamison and Hunter, Cynthia",2019,Coral Reefs,"Following the recent 2014-2017 global coral bleaching event, managers are seeking interventions to promote long-term resilience beyond monitoring coral decline. Here, we applied a spatial approach to investigate one potential intervention, mapping areas where local management could build coral reef resilience using herbivore management. Although herbivore management is a top recommendation in resilience-based management, site-specific attributes are thought to affect its success, and thus strategizing placement and design of these areas are crucial. Using Marxan, we mapped and prioritized potential Herbivore Management Areas (HMAs), where herbivores are protected but other types of fishing are allowed, in the main Hawaiian Islands. Through four scenarios, we found multiple hotspots along the west coast of Hawai'i Island and around the islands of Moloka'i, Lana'i, Maui, and Kaho'olawe where HMAs may have the best chance for success based on habitat, ecologically critical areas, life history, and social considerations. We further analyzed top results and found that a subset of characteristics including habitat types, biomass of herbivore functional groups, and temperature variability were significantly different from surrounding areas and thus contain potential drivers for selection. This unique approach can serve as an example for coral reef management in Hawai'i, on other Pacific Islands, and beyond, as it provides practical guidance on how to apply a resilience-building tool at a local level, incorporating site-specific biological and socioeconomic considerations.",Marine \& Freshwater Biology,2019.614,selected,
Diverse coral communities in mangrove habitats suggest a novel refuge from climate change,"Yates, K. K. and Rogers, C. S. and Herlan, J. J. and Brooks, G. R. and Smiley, N. A. and Larson, R. A.",2014,Biogeosciences,"Risk analyses indicate that more than 90\% of the world's reefs will be threatened by climate change and local anthropogenic impacts by the year 2030 under ``business-asusual{''} climate scenarios. Increasing temperatures and solar radiation cause coral bleaching that has resulted in extensive coral mortality. Increasing carbon dioxide reduces seawater pH, slows coral growth, and may cause loss of reef structure. Management strategies include establishment of marine protected areas with environmental conditions that promote reef resiliency. However, few resilient reefs have been identified, and resiliency factors are poorly defined. Here we characterize the first natural, non-reef coral refuge from thermal stress and ocean acidification and identify resiliency factors for mangrove-coral habitats. We measured diurnal and seasonal variations in temperature, salinity, photosynthetically active radiation (PAR), and seawater chemistry; characterized substrate parameters; and examined water circulation patterns in mangrove communities where scleractinian corals are growing attached to and under mangrove prop roots in Hurricane Hole, St. John, US Virgin Islands. Additionally, we inventoried the coral species and quantified incidences of coral bleaching, mortality, and recovery for two major reef-building corals, Colpophyllia natans and Diploria labyrinthiformis, growing in mangrove-shaded and exposed (unshaded) areas. Over 30 species of scleractinian corals were growing in association with mangroves. Corals were thriving in low-light (more than 70\% attenuation of incident PAR) from mangrove shading and at higher temperatures than nearby reef tract corals. A higher percentage of C. natans colonies were living shaded by mangroves, and no shaded colonies were bleached. Fewer D. labyrinthiformis colonies were shaded by mangroves, however more unshaded colonies were bleached. A combination of substrate and habitat heterogeneity, proximity of different habitat types, hydrographic conditions, and biological influences on seawater chemistry generate chemical conditions that buffer against ocean acidification. This previously undocumented refuge for corals provides evidence for adaptation of coastal organisms and ecosystem transition due to recent climate change. Identifying and protecting other natural, non-reef coral refuges is critical for sustaining corals and other reef species into the future.",Environmental Sciences \& Ecology; Geology,2014.7767,selected,
"Larval thermal conditioning does not improve post-settlement thermal tolerance in the dominant reef-building coral, Montipora capitata","Alexander, Gyasi and Hancock, Joshua R. and Huffmyer, Ariana S. and Matsuda, Shayle B.",2022,Coral Reefs,"Climate change-induced ocean warming has reshaped reef ecosystems as coral bleaching events continue to lead to mass coral die-offs globally. These thermal anomalies also negatively affect reef persistence and recovery when heat stress events continue to occur during critical reproduction and recruitment periods. As a result, recruitment (settlement and survival of early life stages) continues to decline on reefs globally, compromising the recovery of reef systems following mass bleaching and mortality events, which has led to the loss of ecological function on these reefs. One mitigation strategy within the active restoration framework includes propagated corals (i.e., adult fragments, larvae, or juveniles) produced in nurseries that are then directly out planted to the reef benthos. Restoration programs can greatly benefit from use of sexually derived coral propagules, which when optimized, increase the scalability and genetic diversity of outplanted stock. Thermal conditioning during larval rearing has the potential to be a cost-effective and scalable strategy to enhance the survival and stress tolerance of subsequent life stages. Here, we tested the potential for thermal conditioning during the larval stage to induce positive latent effects on the stress tolerance of Montipora capitata spat. We exposed larvae to cool (24.5 degrees C), ambient (27.2 degrees C), and warm (28.9 degrees C) conditions for four days and during this period we tracked larval survival. Following thermal conditioning during the larval stage, we measured settlement success and then exposed spat to a 47-day high temperature stress (+ 2 degrees C) and measured survival. We found that larval thermal conditioning did not provide survival benefits to spat under elevated temperature. Furthermore, larval exposure to temperatures outside of an ambient regime compromised survival, suggesting that although positive latent effects were not observed here in spat, optimizing thermal conditions is important for maximizing survival and settlement of coral larvae.",Marine \& Freshwater Biology,2022.1652,selected,
Sustainability & Comparative Impact Analysis of Coral reef bleaching in Indian context,"Goswami, M. and Ali, H.",2022,Ecs Transactions,"An estimated value of 500 million of the population are directly benefited through coral reefs related jobs, food and defence of coastal areas. Coral reefs help to reduce wave energy by 97%. They help to protect the coastal areas from storms, floods and wave energy by 97%. Natural disasters such as Tsunami and erosion of coastal areas are protected by reefs. In this process, they help to protect the lives of many staying in the coastal areas including animals, properties, and other natural resources. There are reasons for reef deterioration like change of climate, high pollution, destructive fishing, bleaching of coral reefs is a big concern now worldwide. Severe coral bleaching is also reported in India. A significant rise in the surface temperature of Sea has become a critical reason for coral bleaching. This work attempts to Study the link between sustainability, SDG goals of 2030 given by United Nations and coral bleaching. In this work study period is focussed from 1985 to 2021 in the Indian coral reef bleaching areas. Â© The Electrochemical Society",NA,2022.21702,excluded,
Optimising cool-water injections to reduce thermal stress on coral reefs of the Great Barrier Reef,"Baird, M.E. and Green, R. and Lowe, R. and Mongin, M. and Bougeot, E.",2020,Plos One,"Coral bleaching driven by ocean warming is one of the most visible ecological impacts of climate change and perhaps the greatest threat to the persistence of reefs in the coming decades. In the absence of returning atmospheric greenhouse gas concentrations to those compatible with ocean temperatures below the mass coral bleaching temperature thresholds, the most straightforward means to reduce thermal-stress induced bleaching is to cool water at the seabed. The feasibility of reducing the seabed temperature through cool-water injections is considered first by analysing the feasibility of doing so on 19 reefs with differing physical environments using a simple residence time metric in 200 m resolution hydrodynamic model configurations. We then concentrate on the reefs around Lizard Island, the most promising candidate of the 19 locations, and develop a 40 m hydrodynamic model to investigate the effect of the injection of cool water at differing volumetric rates. Injecting 27Â°C seawater at a rate of 5 m3 s-1 at 4 sites in early 2017 cooled 97 ha of the reef by 0.15Â°C or more. The power required to pump 5 m3 s-1 through a set of pipes over a distance of 3 km from a nearby channel is 466 kW. This power applied at 4 sites for 3 months achieves a 2 Degree Heating Weeks (DHWs) reduction on 97 ha of reef. A more precise energy costing will require further expert engineering design of the pumping equipment and energy sources. Even for the most physically favourable reefs, cool-water transported through pipes and injected at a reef site is energy expensive and cannot be scaled up to any meaningful fraction of the 3,100 reefs of the GBR. Should priority be given to reducing thermal stress on one or a few high value reefs, this paper provides a framework to identify the most promising sites. Copyright: Â© 2020 Baird et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",NA,2020.4715,selected,
Coral reefs of the Red Sea - Challenges and potential solutions,"Fine, M. and Cinar, M. and Voolstra, C. R. and Safa, A. and Rinkevich, B. and Laffoley, D. and Hilmi, N. and Allemand, D.",2019,Regional Studies In Marine Science,"The Red Sea is a unique body of water, hosting some of the most productive and diverse coral reefs. Human populations along coasts of the Red Sea were initially sparse due to the hot and arid climate surrounding it, but this is changing with improved desalination techniques, accessible energy, and increased economic interest in coastal areas. In addition to increasing pressure on reefs from coastal development, global drivers, primarily ocean acidification and seawater warming, are threatening coral reefs of the region. While reefs in southern sections of the Red Sea live near or above their maximum temperature tolerance and have experienced bleaching events in the recent past, coral reefs in northern sections are considered a coral reef refugia from global warming and acidification, at least for the coming decades. Such differential sensitivities along the latitudinal gradient of the Red Sea require differential solutions and management. In an effort to identify the appropriate solutions to conserve and maintain resilience of these reefs along a latitudinal gradient, we used a SWOT analysis ( strengths/weaknesses/opportunities/threats) to frame the present situation and to propose policy solutions as useful planning procedures. We highlight the need for immediate action to secure the northern sections of the Red Sea as a coral reef climate change refuge by management and removal of local stressors. There is a need to strengthen the scientific knowledge base for proper management and to encourage regional collaboration on environmental issues. Based on scientific data, solutions such as marine protected areas, fishing regulation, and reef restoration approaches were ranked for five distinct latitudinal sections in the Red Sea and levels of interventions are recommended. (C) 2019 Elsevier B.V. All rights reserved.",Environmental Sciences \& Ecology; Marine \& Freshwater Biology,2019.192,selected,
A role for bacterial experimental evolution in coral bleaching mitigation?,"Maire, Justin and van Oppen, Madeleine J. H.",2022,Trends In Microbiology,"Coral reefs are rapidly declining because of widespread mass coral bleaching causing extensive coral mortality. Elevated seawater temperatures are the main drivers of coral bleaching, and climate change is increasing the frequency and severity of destructive marine heatwaves. Efforts to enhance coral thermal bleaching tolerance can be targeted at the coral host or at coral-associated microorganisms (e.g., dinoflagellate endosymbionts and bacteria). The literature on experimental evolution of bacteria suggests that it has value as a tool to increase coral climate resilience. We provide a workflow on how to experimentally evolve coral-associated bacteria to confer thermal tolerance to coral hosts and emphasize the value of implementing this approach in coral reef conservation and restoration efforts.",Biochemistry \& Molecular Biology; Microbiology,2022.6276,selected,
Marine protected areas do not buffer corals from bleaching under global warming,"Johnson, V, Jack and Dick, Jaimie T. A. and Pincheira-Donoso, Daniel",2022,Bmc Ecology And Evolution,"Background The rising temperature of the oceans has been identified as the primary driver of mass coral reef declines via coral bleaching (expulsion of photosynthetic endosymbionts). Marine protected areas (MPAs) have been implemented throughout the oceans with the aim of mitigating the impact of local stressors, enhancing fish biomass, and sustaining biodiversity overall. In coral reef regions specifically, protection from local stressors and the enhanced ecosystem function contributed by MPAs are expected to increase coral resistance to global-scale stressors such as marine heatwaves. However, MPAs still suffer from limitations in design, or fail to be adequately enforced, potentially reducing their intended efficacy. Here, we address the hypothesis that the local-scale benefits resulting from MPAs moderate coral bleaching under global warming related stress. Results Bayesian analyses reveal that bleaching is expected to occur in both larger and older MPAs when corals are under thermal stress from marine heatwaves (quantified as Degree Heating Weeks, DHW), but this is partially moderated in comparison to the effects of DHW alone. Further analyses failed to identify differences in bleaching prevalence in MPAs relative to non-MPAs for coral reefs experiencing different levels of thermal stress. Finally, no difference in temperatures where bleaching occurs between MPA and non-MPA sites was found. Conclusions Our findings suggest that bleaching is likely to occur under global warming regardless of protected status. Thus, while protected areas have key roles for maintaining ecosystem function and local livelihoods, combatting the source of global warming remains the best way to prevent the decline of coral reefs via coral bleaching.",Environmental Sciences \& Ecology; Evolutionary Biology; Genetics \& Heredity,2022.8582,selected,
