"title","author","year","journal","abstract","research_areas","label","screened_abstracts","notes"
"Large-scale interventions may delay decline of the Great Barrier Reef","Condie, Scott A. and Anthony, Kenneth R. N. and Babcock, Russ C. and Baird, Mark E. and Beeden, Roger and Fletcher, Cameron S. and Gorton, Rebecca and Harrison, Daniel and Hobday, Alistair J. and Plaganyi, Eva E. and Westcott, David A.","2021","Royal Society Open Science","On the iconic Great Barrier Reef (GBR), the cumulative impacts of tropical cyclones, marine heatwaves and regular outbreaks of coral-eating crown-of-thorns starfish (CoTS) have severely depleted coral cover. Climate change will further exacerbate this situation over the coming decades unless effective interventions are implemented. Evaluating the efficacy of alternative interventions in a complex system experiencing major cumulative impacts can only be achieved through a systems modelling approach. We have evaluated combinations of interventions using a coral reef meta-community model. The model consisted of a dynamic network of 3753 reefs supporting communities of corals and CoTS connected through ocean larval dispersal, and exposed to changing regimes of tropical cyclones, flood plumes, marine heatwaves and ocean acidification. Interventions included reducing flood plume impacts, expanding control of CoTS populations, stabilizing coral rubble, managing solar radiation and introducing heat-tolerant coral strains. Without intervention, all climate scenarios resulted in precipitous declines in GBR coral cover over the next 50 years. The most effective strategies in delaying decline were combinations that protected coral from both predation (CoTS control) and thermal stress (solar radiation management) deployed at large scale. Successful implementation could expand opportunities for climate action, natural adaptation and socioeconomic adjustment by at least one to two decades.","Science \& Technology - Other Topics","2021.1144","selected",""
"Well integrity for CO2 injection from ships: Simulation of the effect of flow and material parameters on thermal stresses","Aursand, P. and Hammer, M. and Lavrov, A. and Lund, H. and Munkejord, S.T. and TorsÃ¦ter, M.","2017","International Journal Of Greenhouse Gas Control","Ships have been shown to be the most cost-effective way to transport CO2 from many sources in the Nordic region to offshore storage sites. Injection from ships introduces new challenges for the integrity of CO2 injection wells. The low temperature and the intermittency of CO2 injected from ships give rise to large temperature variations in the well. Such variations may lead to thermal stresses that exceed the limits of the well construction method and materials. In this paper we present a coupled flow and heat conduction model for CO2 wells. The model is used to conduct a parameter study and determine the parametersâ€™ effect on the temperature variations in the well during injection from ships. The parameters varied are injection rate, injection time, injection temperature and time between injections. The resulting temperature variations are used as input for a 2D thermoelastic finite-element model in ABAQUS to determine the thermal stresses. Our results show that the amplitude of temperature variations downhole is mainly increased by longer pauses between injections, and by lower injection temperature. In the worst-case scenario considered in this paper, the thermal stresses may be large enough to induce debonding at the casingâ€“cement interface. Â© 2017 Elsevier Ltd",NA,"2017.14740","selected",""
"Coastal cities' adaptation to climate change","Lige, C. and Buda, S. and Jianqing, Z. and Gemmer, M. and Mingjin, Z.","2014","Chinese Research Perspectives On The Environment, Special Volume: Annual Report On Actions To Address Climate Change (2012)","The economically, socially, and culturally most developed areas worldwide are located predominantly along the coastlines. Socioeconomic development has accumulated large populations and high value assets in coastal cities while coastal cities have become prone to climate change effects. Sea level rise, tropical cyclones, rainstorms, floods, storm surges, high temperatures, and heat waves have posed new challenges to coastal city development. Domestic and foreign coastal cities such as Shanghai, Guangzhou, Tianjin, Xiamen, Hong Kong, New York, London, Tokyo, Sydney, Venice, Singapore, and Cape Town are analyzed on their current climate change adaptation techniques. Measures are compared and future challenges for adaptation are assessed. Â© 2014 by Koninklijke Brill nv, Leiden, The Netherlands. All rights reserved.",NA,"2014.14080","selected",""
"Loss and Damage Estimation for Extreme Weather Events: State of the Practice","Doktycz, Charles and Abkowitz, Mark","2019","Sustainability","Extreme weather, climate-induced events that are episodic (e.g., hurricane, heatwave) or chronic (e.g., sea-level rise, temperature change) in nature, is occurring with increasing frequency and severity. This places a growing and time-sensitive need on the development and implementation of adaptation policies and practices. To motivate adaptive behavior, however, requires the ability to deliver improved risk-informed decision-making capability. At the crux of this challenge is the provision of full and accurate loss and damage accounting of the overall impact of an extreme weather event, enabling the business case to be made for adaptation investment. We define loss and damage as the manifestation of impacts associated with extreme weather that negatively affect human and natural systems. Progress in the development of adequate loss and damage accounting has been hampered by issues, such as discrepancies in conceptual frameworks, problems associated with data quantity and quality, and lack of standardized analysis methodologies. In this paper, we have discussed the conceptual basis for measuring loss and damage, reviewed the state of loss and damage data collection and modeling, and offered a narrative on the future direction of the practice.","Science \& Technology - Other Topics; Environmental Sciences \& Ecology","2019.93",NA,""
"Strategies for delivering mental health services in response to global climate change: A narrative review","Palinkas, L.A. and Oâ€™donnell, M.L. and Lau, W. and Wong, M.","2020","International Journal Of Environmental Research And Public Health","This narrative review examined strategies for preparedness and response to mental health impacts of three forms of climate change from a services perspective: (1) acute and extreme weather events such as hurricanes, floods, and wildfires, (2) sub-acute or long-term events such as droughts and heatwaves; and (3) the prospect of long-term and permanent changes, including higher temperatures, rising sea levels, and an uninhabitable physical environment. Strategies for acute events included development and implementation of programs and practices for monitoring and treating mental health problems and strengthening individual and community resilience, training of community health workers to deliver services, and conducting inventories of available resources and assessments of at-risk populations. Additional strategies for sub-acute changes included advocacy for mitigation policies and programs and adaptation of guidelines and interventions to address the secondary impacts of sub-acute events, such as threats to livelihood, health and well-being, population displacement, environmental degradation, and civil conflict. Strategies for long-lasting changes included the implementation of evidence-based risk communication interventions that address the existing and potential threat of climate change, promoting the mental health benefits of environmental conservation, and promoting psychological growth and resilience. Â© 2020 by the authors. Licensee MDPI, Basel, Switzerland.",NA,"2020.90","selected",""
"Asymmetrical Reactive Power Capability of Modular Multilevel Cascade Converter Based STATCOMs for Offshore Wind Farm","Tanaka, T. and Ma, K. and Wang, H. and Blaabjerg, F.","2019","Ieee Transactions On Power Electronics","Modular multilevel cascade converters (MMCCs) are becoming attractive solutions as high-voltage Static Synchronous Compensators (STATCOMs) for power plants in renewable energy generation, in order to satisfy the strict grid codes under both normal and grid fault conditions. This paper investigates the performances of four potentially used configurations of the MMCC family for the STATCOM in large-scale offshore wind power plants, with special focus on asymmetrical low-voltage ride through capability under grid faults. The specifications and the sizing of components of each type of practical 80-MVar/33-kV-scaled MMCC-STATCOM are carefully designed and compared. The total cost and volume are compared based on the total power semiconductor chip area and the total energy stored in the passive components. Asymmetrical reactive power delivering operation of the MMCC family considering the dc-link capacitor voltage-balancing method is solved mathematically in order to quantitatively understand the performance limitations and behaviors. The electrothermal stress of the power modules used in each type of the MMCC for a practical 80-MVar/33-kV-scaled STATCOM is analyzed. The asymmetrical reactive power capability of the MMCC solutions is compared under different scenarios of grid faults, while considering the device temperature limits as well as voltage saturation. It is found that the MMCC configuration with double-star bridge cells becomes the most attractive circuit configuration for the STATCOM application based on the obtained results. Â© 1986-2012 IEEE.",NA,"2019.13635",NA,""
"Successfully managing NPT in a deep, deviated, high-temperature interval in Kuwait by bridging hole-enlargement technology and drilling efficiencies","Elberr, A.S. and Helmy, H. and Okorie, O.M. and Stringer, J. and Muselhi, A. and Khattab, S. and Al-Mutari, B. and Abdelhafiz, H. and Kumar, A. and Gazi, N.H.","2016","Offshore Technology Conference Asia 2016, Otca 2016","Objectives/Scope: With ever increasing well construction challenges associated with lithology, downhole temperatures & pressures, the need for high performance concentric hole enlargement has never been more essential to meet the clients well objectives. Hole Enlargement portrays an area of concern by multiple oil & gas operators due to the challenging nature of enlarging a hole that subjects the tool & string members to aggressive dynamic vibrations especially when combined with thermal stresses and unpredictable lithology. Methods, Procedures, Process: While drilling a challenging deep development well in Kuwait, the drilling engineers considered enlarging a 2,000 ft 6 inch horizontal interval to 7 inch (17% beyond the bit diameter) to facilitate 5 inch liner being run to TD & mitigate restrictions which have resulted in significant NPT due to a 50% shale & 50% lime stone unstable interval. Drilling that section has encountered multiple issues associated with the high downhole temperature in terms of directional drilling motor failures costing the operator 4 tripping cycles to replace failed tools. Results, Observations, and Conclusions: Defining a hole enlargement operation using a hydraulically actuated underreamer in such challenging well was supported through an extensive application engineering feasibility study from both the service provider and operator, initiating from an operational risk assessment, hydraulic optimization simulations to ensure maximum cooling and cutting delivery efficiency, Torque & Drag analysis, vibration and critical speed interpretation, stuck pipe simulations to effectively analyze jar placement performance. The underreamer was successfully operated in downhole temperatures exceeding 300 degrees Fahrenheit and the 2000 ft interval was enlarged in 2 trips. Additional PDC cutting structure work-rate modeling was utilized to optimize the positioning of the PDC cutters for an enhanced cutting efficiency in addition to real time field support that provides drilling parameter recommendations for weight on reamer, RPM, & ROP for the entire interval to mitigate additional trips and improve drilling efficiency. Novel/Additive Information: Enhancing drilling efficiency while managing NPT was the defined objectives for both parties while initially designing a hole enlargement application engineering package. This was successfully implemented and saved the operator 3 days of rig time on the planned drilling time. Â© 2016, Offshore Technology Conference",NA,"2016.14886",NA,""
"Warming Seas in the Coral Triangle: Coral Reef Vulnerability and Management Implications","McLeod, Elizabeth and Moffitt, Russell and Timmermann, Axel and Salm, Rodney and Menviel, Laurie and Palmer, Michael J. and Selig, Elizabeth R. and Casey, Kenneth S. and Bruno, John F.","2010","Coastal Management","The highest diversity coral reefs in the world, located in the Coral Triangle, are threatened by a variety of local stresses including pollution, overfishing, and destructive fishing in addition to climate change impacts, such as increasing sea surface temperatures (SSTs), and ocean acidification. As climate change impacts increase, coral reef vulnerability at the ecoregional scale will have an increasingly important influence on conservation management decisions. This project provides the first detailed assessment of past and future climatic stress, thermal variability, and anthropogenic impacts in the Coral Triangle at the ecoregional level, thus incorporating both local (e.g., pollution, development, and overfishing) and global threats (increasing SSTs). The development of marine protected area (MPA) networks across the Coral Triangle is critical for the region to address these threats. Specific management recommendations are defined for MPA networks based on the levels of vulnerability to thermal and local stress. For example, coral reef regions with potentially low vulnerability to thermal stress may be priorities for establishment of MPA networks, whereas high vulnerability regions may require selection and design principles aimed at building resilience to climate change. The identification of climate and other human threats to coral reef systems and ecoregions can help conservation practitioners prioritize management responses to address these threats and identify gaps in MPA networks or other management mechanisms (e. g., integrated coastal management).","Environmental Sciences \& Ecology","2010.5352","selected",""
"Delivering Safe, Cost-Effective, Sustainable Civil Infrastructure Projects under Conditions of Non-Stationarity","Wallace, Bill and Ellison, Dave and Daugherty, Ryan","2017","NANA","This paper proposes, describes and diagrams a methodology for planning, designing, constructing, and operating civil infrastructure projects for an operating environment that is changing substantially and in ways that are not readily predictable. Its purpose is to offer a timely answer to the engineer's follow-on question, ``How do I deliver a safe, reliable and costeffective infrastructure project in the face of these significant changes?{''} An extension of existing civil infrastructure project delivery practices, this methodology addresses these changing conditions by incorporating appropriate levels of robustness, resilience, redundancy, and adaptability into the project design. Global climate change, the result of the burning of fossil fuels, is altering significantly the statistical properties of the environmental design parameters engineers use in infrastructure design. Consequently, long-held design assumptions such as ambient temperatures, sea levels, storm intensity, and the likely extent of droughts and heat waves are no longer reliable. Unknowingly, today's engineers are planning, designing, and constructing infrastructure projects that will not be able to cope with future operating conditions. Thus, it is critical that the engineering profession devise a way of delivering projects that accounts for these new and significantly changing environmental conditions. Adopting this or some modification to this methodology is essential if civil infrastructure projects are to function as specified, and be protective of public health, safety, and well-being.","Science \& Technology - Other Topics; Engineering","2017.10182",NA,""
"Effect of marine heat waves on carbon metabolism, optical characterization, and bioavailability of dissolved organic carbon in coastal vegetated communities","Egea, L.G. and JimÃ©nez-Ramos, R. and Romera-Castillo, C. and Casal-Porras, I. and Bonet-MeliÃ , P. and Yamuza-Magdaleno, A. and Cerezo-SepÃºlveda, L. and PÃ©rez-LlorÃ©ns, J.L. and Brun, F.G.","2022","Limnology And Oceanography","Dissolved organic carbon (DOC) plays an essential role in the global marine carbon cycle, with coastal vegetated communities as important DOC producers. However, the ultimate fate of this DOC remains still largely unknown due to the lack of knowledge about its chemical composition and lability. Furthermore, global change could alter both DOC fluxes and its bioavailability, affecting the carbon sequestration capacity of coastal vegetated communities. This study explores, in two contrasting seasons (winter and summer), the effects of an in situ simulated marine heatwave on carbon metabolism and DOC fluxes produced by seagrass (Cymodocea nodosa) and macroalgae (Caulerpa prolifera) communities. In addition, the fluorescent characteristics and biodegradability of the dissolved organic matter released directly by the communities under such conditions are evaluated. Under marine heatwave conditions, a significant increase in net community production (NCP) in C. nodosa and a shift to negative DOC fluxes in C. prolifera were observed. In control treatments, the seagrass-dominated community produced a substantial amount of labile (between 44% and 58%) and recalcitrant DOC (between 42% and 56%), while C. prolifera community produced mainly recalcitrant DOC (between 64% and 87%). Therefore, this research revealed that temperature is an important factor determining the NCP in benthic communities and the chemical structure and bioavailability of DOC produced by these communities, since both communities tended to produce more humic-like and less bioavailable DOC with increasing temperature. Â© 2022 The Authors. Limnology and Oceanography published by Wiley Periodicals LLC on behalf of Association for the Sciences of Limnology and Oceanography.",NA,"2022.21401","selected",""
