"title","author","year","journal","abstract","research_areas","label","screened_abstracts","notes"
"Harvesting, storing, and converting carbon from the ocean to create a new carbon economy: Challenges and opportunities","Vibbert, H.B. and Park, A.-H.A.","2022","Frontiers In Energy Research","Ever-increasing anthropogenic CO2 emissions have required us to develop carbon capture, utilization, and storage (CCUS) technologies, and in order to address climate change, these options should be at scale. In addition to engineered systems of CO2 capture from power plants and chemical processes, there are emerging approaches that include the Earth (i.e., air, Earth, and ocean) within its system boundary. Since oceans constitute the largest natural sink of CO2, technologies that can enhance carbon storage in the ocean are highly desired. Here, we discuss alkalinity enhancement and biologically inspired CO2 hydration reactions that can shift the equilibrium of ocean water to pump more carbon into this natural sink. Further, we highlight recent work that can harvest and convert CO2 captured by the ocean into chemicals, fuels, and materials using renewable energy such as off-shore wind. Through these emerging and innovative technologies, organic and inorganic carbon from ocean-based solutions can replace fossil-derived carbon and create a new carbon economy. It is critical to develop these ocean-based CCUS technologies without unintended environmental or ecological consequences, which will create a new engineered carbon cycle that is in harmony with the Earthâ€™s system. Copyright Â© 2022 Vibbert and Park.",NA,"2022.1950","selected",""
"The Potential for Ocean-Based Climate Action: Negative Emissions Technologies and Beyond","Gattuso, J.-P. and Williamson, P. and Duarte, C.M. and Magnan, A.K.","2021","Frontiers In Climate","The effectiveness, feasibility, duration of effects, co-benefits, disbenefits, cost effectiveness and governability of four ocean-based negative emissions technologies (NETs) are assessed in comparison to eight other ocean-based measures. Their role in revising UNFCCC Parties' future Nationally Determined Contributions is discussed in the broad context of ocean-based actions for both mitigation and ecological adaptation. All measures are clustered in three policy-relevant categories (Decisive, Low Regret, Concept Stage). None of the ocean-based NETs assessed are identified as Decisive at this stage. One is Low Regret (Restoring and increasing coastal vegetation), and three are at Concept Stage, one with low to moderate potential disbenefits (Marine bioenergy with carbon capture and storage) and two with potentially high disbenefits (Enhancing open-ocean productivity and Enhancing weathering and alkalinization). Ocean-based NETs are uncertain but potentially highly effective. They have high priority for research and development. Copyright Â© 2021 Gattuso, Williamson, Duarte and Magnan.",NA,"2021.20757","selected",""
"Potential capture and conversion of CO2 from oceanwater through mineral carbonation","Zhuang, W. and Song, X. and Liu, M. and Wang, Q. and Song, J. and Duan, L. and Li, X. and Yuan, H.","2023","Science Of The Total Environment","Carbon dioxide (CO2) emitted by human activities not only brings about a serious greenhouse effect but also accelerates global climate change. This has resulted in extreme climate hazards that can obstruct human development in the near future. Hence, there is an urgent need to achieve carbon neutrality by increasing negative emissions. The ocean plays a vital role in absorbing and sequestering CO2. Current research on marine carbon storage and sink enhancement mainly focuses on biological carbon sequestration using carbon sinks (macroalgae, shellfish, and fisheries). However, seawater inorganic carbon accounts for more than 95 % of the total carbon in marine carbon storage. Increasing total alkalinity at a constant dissolved inorganic carbon shifts the balance of existing seawater carbonate system and prompts a greater absorption of atmospheric CO2, thereby increasing the ocean's â€œcarbon sinkâ€. This review explores two main mechanisms (i.e., enhanced weathering and ocean alkalinization) and materials (e.g., silicate rocks, metal oxides, and metal hydroxides) that regulate marine chemical carbon sink (MCCS). This work also compares MCCS with other terrestrial and marine carbon sinks and discusses the implementation of MCCS, including the following aspects: chemical reaction rate, cost, and possible ecological and environmental impacts. Â© 2023",NA,"2023.2984","selected",""
"Model-Based Assessment of the CO2 Sequestration Potential of Coastal Ocean Alkalinization","Feng, E.Y. and Koeve, W. and Keller, D.P. and Oschlies, A.","2017","Earth's Future","The potential of coastal ocean alkalinization (COA), a carbon dioxide removal (CDR) climate engineering strategy that chemically increases ocean carbon uptake and storage, is investigated with an Earth system model of intermediate complexity. The CDR potential and possible environmental side effects are estimated for various COA deployment scenarios, assuming olivine as the alkalinity source in ice-free coastal waters (about 8.6% of the global ocean's surface area), with dissolution rates being a function of grain size, ambient seawater temperature, and pH. Our results indicate that for a large-enough olivine deployment of small-enough grain sizes (10 Âµm), atmospheric CO2 could be reduced by more than 800 GtC by the year 2100. However, COA with coarse olivine grains (1000 Âµm) has little CO2 sequestration potential on this time scale. Ambitious CDR with fine olivine grains would increase coastal aragonite saturation Î© to levels well beyond those that are currently observed. When imposing upper limits for aragonite saturation levels (Î©lim) in the grid boxes subject to COA (Î©lim = 3.4 and 9 chosen as examples), COA still has the potential to reduce atmospheric CO2 by 265 GtC (Î©lim = 3.4) to 790 GtC (Î©lim = 9) and increase ocean carbon storage by 290 Gt (Î©lim = 3.4) to 913 Gt (Î©lim = 9) by year 2100. Â© 2017 The Authors.",NA,"2017.4100","selected",""
"Ocean-Based Carbon Dioxide Removal: A New Frontier in the Blue Economy","Gagern, A. and Manley, J. and Kapsenberg, L.","2022","Marine Technology Society Journal","The ocean is a key facet of climate stability and Earthâ€™s carbon cycle. Given the immense scale of atmospheric carbon dioxide removal (CDR) necessary to achieve international climate goals, ocean-based CDR approaches (or â€œocean CDRâ€) warrant serious consideration. Ocean CDR is a still nascent, but cautiously promising, area of scientific research with several approaches under evaluation. Here, we examine one of the most promising approaches, ocean alkalinity enhancement, to highlight and exemplify challenges and opportunities of an emerging ocean CDR industry in the blue economy. Â© 2022, Marine Technology Society Inc.. All rights reserved.",NA,"2022.6101","selected",""
"The potential environmental response to increasing ocean alkalinity for negative emissions","Gore, Sarah and Renforth, Phil and Perkins, Rupert","2019","Mitigation And Adaptation Strategies For Global Change","The negative emissions technology, artificial ocean alkalinization (AOA), aims to store atmospheric carbon dioxide (CO2) in the ocean by increasing total alkalinity (TA). Calcium carbonate saturation state (Omega CaCO3) and pH would also increase meaning that AOA could alleviate sensitive regions and ecosystems from ocean acidification. However, AOA could raise pH and Omega CaCO3 well above modern-day levels, and very little is known about the environmental and biological impact of this. After treating a red calcifying algae (Corallina spp.) to elevated TA seawater, carbonate production increased by 60\% over a control. This has implication for carbon cycling in the past, but also constrains the environmental impact and efficiency of AOA. Carbonate production could reduce the efficiency of CO2 removal. Increasing TA, however, did not significantly influence Corallina spp. primary productivity, respiration, or photophysiology. These results show that AOA may not be intrinsically detrimental for Corallina spp. and that AOA has the potential to lessen the impacts of ocean acidification. However, the experiment tested a single species within a controlled environment to constrain a specific unknown, the rate change of calcification, and additional work is required to understand the impact of AOA on other organisms, whole ecosystems, and the global carbon cycle.","Environmental Sciences \& Ecology","2019.2236","selected",""
"The Invisible Flood: The Chemistry, Ecology, and Social Implications of Coastal Saltwater Intrusion","Tully, Kate and Gedan, Keryn and Epanchin-Niell, Rebecca and Strong, Aaron and Bernhardt, Emily S. and Bendor, Todd and Mitchell, Molly and Kominoski, John and Jordan, Thomas E. and Neubauer, Scott C. and Weston, Nathaniel B.","2019","Bioscience","Saltwater intrusion is the leading edge of sea-level rise, preceding tidal inundation, but leaving its salty signature far inland. With climate change, saltwater is shifting landward into regions that previously have not experienced or adapted to salinity, leading to novel transitions in biogeochemistry, ecology, and human land uses. We explore these changes and their implications for climate adaptation in coastal ecosystems. Biogeochemical changes, including increases in ionic strength, sulfidation, and alkalinization, have cascading ecological consequences such as upland forest retreat, conversion of freshwater wetlands, nutrient mobilization, and declines in agricultural productivity. We explore the trade-offs among land management decisions in response to these changes and how public policy should shape socioecological transitions in the coastal zone. Understanding transitions resulting from saltwater intrusion-and how to manage them-is vital for promoting coastal resilience.","Life Sciences \& Biomedicine - Other Topics","2019.16591",NA,""
"Microbial ecosystem responses to alkalinity enhancement in the North Atlantic Subtropical Gyre","Subhas, A.V. and Marx, L. and Reynolds, S. and Flohr, A. and Mawji, E.W. and Brown, P.J. and Cael, B.B.","2022","Frontiers In Climate","In addition to reducing carbon dioxide (CO2) emissions, actively removing CO2 from the atmosphere is widely considered necessary to keep global warming well below 2Â°C. Ocean Alkalinity Enhancement (OAE) describes a suite of such CO2 removal processes that all involve enhancing the buffering capacity of seawater. In theory, OAE both stores carbon and offsets ocean acidification. In practice, the response of the marine biogeochemical system to OAE must be demonstrably negligible, or at least manageable, before it can be deployed at scale. We tested the OAE response of two natural seawater mixed layer microbial communities in the North Atlantic Subtropical Gyre, one at the Western gyre boundary, and one in the middle of the gyre. We conducted 4-day microcosm incubation experiments at sea, spiked with three increasing amounts of alkaline sodium salts and a 13C-bicarbonate tracer at constant pCO2. We then measured a suite of dissolved and particulate parameters to constrain the chemical and biological response to these additions. Microbial communities demonstrated occasionally measurable, but mostly negligible, responses to alkalinity enhancement. Neither site showed a significant increase in biologically produced CaCO3, even at extreme alkalinity loadings of +2,000 Î¼mol kgâˆ’1. At the gyre boundary, alkalinity enhancement did not significantly impact net primary production rates. In contrast, net primary production in the central gyre decreased by ~30% in response to alkalinity enhancement. The central gyre incubations demonstrated a shift toward smaller particle size classes, suggesting that OAE may impact community composition and/or aggregation/disaggregation processes. In terms of chemical effects, we identify equilibration of seawater pCO2, inorganic CaCO3 precipitation, and immediate effects during mixing of alkaline solutions with seawater, as important considerations for developing experimental OAE methodologies, and for practical OAE deployment. These initial results underscore the importance of performing more studies of OAE in diverse marine environments, and the need to investigate the coupling between OAE, inorganic processes, and microbial community composition. Copyright Â© 2022 Subhas, Marx, Reynolds, Flohr, Mawji, Brown and Cael.",NA,"2022.20355","selected",""
"Antacids for the Sea? Artificial Ocean Alkalinization and Climate Change","Burns, Wil and Corbett, Charles R.","2020","One Earth","There is increasing urgency for large-scale deployment of carbon-removal approaches to help avoid passing critical climatic thresholds. Given the severe risks of many terrestrial methods at extremely large scales, there is a compelling need to also assess the potential of marine negative-emissions technologies, such as artificial ocean alkalinization.","Science \& Technology - Other Topics; Environmental Sciences \& Ecology","2020.5114","selected",""
"Enhanced Rates of Regional Warming and Ocean Acidification After Termination of Large-Scale Ocean Alkalinization","Gonzalez, Miriam Ferrer and Ilyina, Tatiana and Sonntag, Sebastian and Schmidt, Hauke","2018","Geophysical Research Letters","Termination effects of large-scale artificial ocean alkalinization (AOA) have received little attention because AOA was assumed to pose low environmental risk. With the Max Planck Institute Earth system model, we use emission-driven AOA simulations following the Representative Concentration Pathway 8.5 (RCP8.5). We find that after termination of AOA warming trends in regions of the Northern Hemisphere become similar to 50\% higher than those in RCP8.5 with rates similar to those caused by termination of solar geoengineering over the following three decades after cessation (up to 0.15K/year). Rates of ocean acidification after termination of AOA outpace those in RCP8.5. In warm shallow regions where vulnerable coral reefs are located, decreasing trends in surface pH double (0.01 units/year) and the drop in the carbonate saturation state (Omega) becomes up to 1 order of magnitude larger (0.2 units/year). Thus, termination of AOA poses higher risks to biological systems sensitive to fast-paced environmental changes than previously thought. Plain Language Summary Climate engineering (CE) methods are intended to alleviate the environmental perturbations caused by climate change and ocean acidification. However, these methods can also lead to environmental issues. Among all the different CE techniques, the method of artificial ocean alkalinization (AOA) is commonly discussed. AOA involves the release of processed alkaline minerals into the ocean, which enhances the uptake of atmospheric carbon by the ocean while reducing the acidification of seawater. We study the impacts caused by the termination of AOA on environmental properties that are relevant for organisms and ecosystems because they are sensitive not only to the magnitude of environmental change but also to its pace. We analyze the rate at which the environment changes after termination of this method using an Earth system model that simulates the response of our climate to CE. We found that the abrupt termination of large-scale implementation of AOA leads to regional rates of surface warming and ocean acidification, which largely exceed the pace of change that the implementation of AOA was intended to alleviate. This enhanced rate of environmental change would restrict even more the already limited adaptive capacity of vulnerable organisms and ecosystems.","Geology","2018.4415","selected",""
