Group,Group name,Term,Term type
Paper1,renewables,renewable,single
Paper1,renewables,farm,single
Paper1,renewables,array,single
Paper1,renewables,OTEC,single
Paper1,renewables,offshore,single
Paper1,renewables,wind,single
Paper1,renewables,wave,single
Paper1,renewables,tide,single
Paper1,renewables,solar,single
Paper1,renewables,photovoltaic,single
Paper1,efficiency,efficient,single
Paper1,efficiency,sustainable,single
Paper1,efficiency,cost effective,expression
Paper1,efficiency,alternative,single
Paper1,carbon,carbon,single
Paper1,removal,capture,single
Paper1,removal,removal,single
Paper1,removal,storage,single
Paper1,removal,uptake,single
Paper1,removal,sequester,single
Paper1,removal,sink,single
Paper1,removal,bury,single
Paper1,removal,export,single
Paper1,removal,sediment,single
Paper1,removal,seafloor,single
Paper1,removal,deep sea,expression
Paper1,bioenergy,bioenergy,single
Paper1,bioenergy,biochar,single
Paper1,bioenergy,pyrolysis,single
Paper1,OIF,iron fertilization,expression
Paper1,OIF,artificial upwelling,expression
Paper1,CO2 removal from seawater,alkalinity enhancement,expression
Paper1,CO2 removal from seawater,water split,expression
Paper1,CO2 removal from seawater,bubble strip,expression
Paper1,CO2 removal from seawater,liming,single
Paper1,blue carbon,blue carbon,expression
Paper1,blue carbon,macroalgae cultivation,expression
Paper1,blue carbon,macroalgae farm,expression
Paper1,blue carbon,biofuel,single
Paper1,blue carbon,sea weed farm,expression
Paper2,biodiversity,biodiversity,single
Paper2,biodiversity,functional diversity,expression
Paper2,biodiversity,taxonomic diversity,expression
Paper2,biodiversity,species richness,expression
Paper2,biodiversity,simpson index,expression
Paper2,biodiversity,habitat former,expression
Paper2,biodiversity,species abundance,expression
Paper2,biodiversity,biomass,single
Paper2,biodiversity,shannon-wiener index,expression
Paper2,biodiversity,species diversity,expression
Paper2,biodiversity,ecological diversity,expression
Paper2,biodiversity,morphological diversity,expression
Paper2,biodiversity,genetic diversity,expression
Paper2,biodiversity,phylogenetic diversity,expression
Paper2,biodiversity,functional group richness,expression
Paper2,biodiversity,alpha diversity,expression
Paper2,biodiversity,beta diversity,expression
Paper2,biodiversity,gamma diversity,expression
Paper2,biodiversity,species growth,expression
Paper2,biodiversity,fitness,single
Paper2,biodiversity,reproduction,single
Paper2,biodiversity,maturity,single
Paper2,biodiversity,species health,expression
Paper2,biodiversity,ecosystem health ,expression
