"sysrev_id","title","year","coder_1","coder_2","include_code"
"91759605","Operationalizing Blue Carbon in the Mission-Aransas National Estuarine Research Reserve, Texas","2018","Devi",NA,1
"91759608","Optimising usage of salinized lands in the lower part of the river basin for the coastal community in Bentota, Sri Lanka","2020","Devi",NA,1
"91759615","Flood Mitigation in Mediterranean Coastal Regions: Problems, Solutions, and Stakeholder Involvement","2021","Devi",NA,1
"91759616","Building capacity on ecosystem-based adaptation strategy to cope with extreme events and sea-level rise on the Uruguayan coast","2018","Devi",NA,1
"91759619","The Role of Sea-Urchins in Marine Forests From Azores, Webbnesia, and Cabo Verde: Human Pressures, Climate-Change Effects and Restoration Opportunities","2021","Devi",NA,0
"91759625","GIS-Based Site Analysis of an Optimal Offshore Wind Farm for Minimizing Coastal Disasters","2021","Devi",NA,1
"91759627","Unpacking Changes in Mangrove Social-Ecological Systems: Lessons from Brazil, Zanzibar, and Vietnam","2017","Devi",NA,1
"91759630","Geomorphological Changes of a Migrating Sandbank: Multidecadal Analysis as a Tool for Managing Conflicts in Coastal Use","2021","Devi",NA,1
"91759633","2050: AN ENERGETIC ODYSSEY","2017","Devi",NA,1
"91759635","Impacts of mangrove encroachment and mosquito impoundment management on coastal protection services","2017","Devi",NA,0
"91759637","Relative sea-level change regulates organic carbon accumulation in coastal habitats","2019","Devi",NA,1
"91759640","Decision-making methodologies in offshore wind power investments: A review","2021","Devi",NA,1
"91759650","Large conservation opportunities exist in > 90\% of tropic-subtropic coastal habitats adjacent to cities","2021","Devi",NA,0
"91759726","Local Community Knowledge for Flood Resilience: A Case Study from East Coast Malaysia","2022","Devi",NA,1
"91759729","Offshore Wind Farm Wake Effect on Stratification and Coastal Upwelling","2015","Devi",NA,1
"91759730","Tourism Adaptation to Coastal Risks: A Socio-Spatial Analysis of the Magdalen Islands in Quebec, Canada","2021","Devi",NA,1
"91759732","Comparison of marine macrophytes for their contributions to blue carbon sequestration","2015","Devi",NA,1
"91759742","Resiliency planning: prioritizing the vulnerability of coastal bridges to flooding and scour","2016","Devi","??",0
"91759743","OPTIONS FOR ENHANCING THE STORAGE OF CARBON-DIOXIDE IN THE OCEANS - A REVIEW","1992","Devi",NA,1
"91759745","Structured decision making as a proactive approach to dealing with sea level rise in Florida","2011","Devi",NA,1
"91759753","An Integrated Approach to Coastal Zone Management to Control Development and Ensure Sustainability in a Rapidly Increasing Coastal Urban Environment: The Sultanate of Oman","2022","Devi",NA,1
"91759755","Towards a social-ecological resilience framework for coastal planning","2013","Devi",NA,1
"91759762","Numerical Study of Efficiency Indices to Evaluate the Effect of Layout Mode of Artificial Reef Unit on Flow Field","2021","Devi",NA,1
"91759764","Social connectivity and adaptive capacity strategies in large-scale fisheries","2021","Devi",NA,1
"91759767","Hybrid Floating Solar Plant Designs: A Review","2021","Devi",NA,0
"91759771","ADAPTIVE CAPACITY AND ADAPTATION PRACTICES TO CLIMATE CHANGE IMPACTS OF FEMALE-HEADED HOUSEHOLDS IN THE PHILIPPINES","2021","Devi",NA,1
"91759777","Economic Analysis of the Potential Impact Climate Change in Fisheries","2018","Devi",NA,1
"91759779","Recent developments and strategies in genome engineering and integrated fermentation approaches for biobutanol production from microalgae","2021","Devi",NA,1
"91759780","Identification of limits and barriers to climate change adaptation: case study of two islands in Torres Strait, Australia","2017","Devi",NA,1
"91759787","An innovative climate adaptation planning process: iDEAL project","2022","Devi",NA,1
"91762019","Detecting Coastal Wetland Degradation by Combining Remote Sensing and Hydrologic Modeling","2022","Devi",NA,1
"91762025","WATER MANAGEMENT TO ENHANCE ECOSYSTEM SERVICES IN A COASTAL WETLAND IN TAIWAN","2018","Devi",NA,1
"91762026","A Prospective Study for the Mitigation of the Climate Change Effects: The Case of the North Aegean Region of Greece","2020","Devi",NA,1
"91762033","Climate change, seaports, and coastal management in Brazil: An overview of the policy framework","2022","Devi",NA,1
"91762034","Climate change awareness, coping mechanisms and adaptation in poor rural coastal communities, Ben Tre Province, Vietnam","2015","Devi",NA,1
"91762041","Towards a Legal Framework for Coastal Adaptation: Assessing the First Steps in Europe and Australia","2012","Devi",NA,1
"91762043","Adaptation thresholds and pathways for tidal flood risk management in London","2019","Devi",NA,1
"91762044","Perception of threats and related management measures: The case of 32 marine protected areas in West Africa","2020","Devi","??",1
"91762050","Improved cost models for optimizing CO2 pipeline configuration for point-to-point pipelines and simple networks","2014","Devi",NA,1
"91762056","Study of wake meandering by means of fixed point lidar measurements: Spectral analysis of line-of-sight wind component","2015","Devi",NA,1
"91762060","Increasing carbon, nutrient and trace metal accumulation driven by development in a mangrove estuary in south Asia","2022","Devi",NA,1
