"","analysis_id","duplicate_id","title","abstract"
"1",260803,"2017.15324","Effect of zeolite 4A to marine microalgae culture","As a photosynthetic organism, microalgae curbs carbon dioxide (CO2) emission via carbon up-Take either in active or passive transport trough it cell wall. Nonetheless, the bottleneck factor of CO2fixation trough microalgae is due to CO2 dissolution in water. Apart from the dissolution of CO2 from air into water is too slow to replace the assimilated CO2by microalgae, the solubility of CO2 in water decreases with increasing of salinity. Hence this paper describes the initiative using nanomaterial to increase the dissolution of CO2 in marine microalgae culture. Marine microalgae culture has been inoculated in 10 liter photobioreactor (PBR). The ambient temperature has been set at 25 Â°C and in 12 h / 12 h dark-light photoperiod. 10 g of zeolites 4a as nanomaterial has been used to increase the dissolution of CO2 in the saline cultured solution. Through this study, growth rate for culture added with zeolite was Î¼Z4A was 0.35 O.D.day-1, and cell doubling time T d-Z4Awas 1.96 day. In contrast the control culture growth rate Î¼control was 0.22 O.D.day-1, and for cell doubling times Tdcontrol it takes 3.15 day. The highest concentration of inorganic carbon in solution in microalgae culture with zeolite was 23.3 ppm while the control culture was only 15.4 ppm. Thus proof that zeolite 4A hastens the dissolution of CO2 in marine microalgae culture, therefore enhancing carbon capture trough biological means. Copyright Â© 2017, AIDIC Servizi S.r.l.."
"2",77239,"2004.2448","Organochlorine contaminants in sea turtles: Correlations between whole blood and fat","Monitoring toxic organochlorine (OC) compounds is an important aspect in wildlife studies, especially in protected species such as sea turtles. The goal of this study was to determine whether blood OC concentrations can predict those in adipose tissue of sea turtles. Blood offers many benefits for monitoring OCs. It can be collected nondestructively from live turtles and can be sampled repeatedly for continuous monitoring. Organochlorine concentrations in blood may better represent the exposure levels of target tissues, but blood concentrations may fluctuate more than those in fatty tissues following recent dietary exposure or lipid mobilization. Paired fat and blood samples were collected from 44 live, juvenile loggerhead sea turtles and 10 juvenile Kemp's ridley sea turtle carcasses. Organochlorines were analyzed using gas chromatography with electron capture detection and mass spectrometry. Lipid-normalized OC concentrations measured in the blood significantly correlated to levels found in the fat samples of both species. This result suggests that sea turtle blood is a suitable alternative to fatty tissues for measuring OCs because blood concentrations reasonably represent those observed in the paired fat samples. However, blood OC concentrations calculated on a wet-mass basis were significantly and inversely correlated to lipid content in the fat samples. Therefore, caution should be used when monitoring spatial or temporal trends, as OC levels may increase in the blood following mobilization of fat stores, such as during long migrations, breeding, or disease events."
"3",77634,"2004.2778","Polymeric material adhesion and common failure mechanisms in the assembly of jettable fluid devices","The two most common methods of non-contact, jet printing technology in use today are piezo-electric crystal and thermal bubble. In operation, a piezo crystal flexes to push an ink or fluid drop out of the printhead nozzle while the thermal design uses a heating resistor to create a bubble that expands and exits the nozzle. In both designs there is intimate contact between the printhead and media being jetted. Jettable fluid delivery systems and other MEMS devices require reliable assembly of a variety of components. These components can be assembled through the use of molding materials, mechanical fasteners, and structural adhesives. Structural polymeric adhesives are most often the ideal choice because they mate the substrates to form a continuous surface. These bonding surfaces often consist of multi-layer silicon die, thin and thick wall engineered plastics, noble metals, and flexible substrates. The adhesives act as a barrier or seal, preventing the fluids from leaking while also protecting the device from potential environmental contaminates. This paper discusses polymeric material adhesion testing and common failure mechanisms associated with harsh environment fluid jetting. Some standard tests can be used to screen adhesives. One example of a widely used test is lap shear measurement, which can be developed for specific substrates. The test part can be evaluated at various temperatures as well as before and after exposure to a harsh chemical environment. If dissimilar substrates are to be bonded and a lap shear test is not practical, an alternative test can be developed. For example, a plastic and glass substrate bond may always fail with the glass fracturing. In this situation, the adhesive bond strength is not properly measured. Therefore, an alternative test, such as a shear strength push test, must be designed. In this test, a shear force is applied to an edge of a substrate bond, such as a die bonded to plastic. By altering the adhesive bond test, the failure mode will shift from a pull force to a peel force, thereby allowing for better representation of the actual bond strength for a given application."
"4",141394,"2017.7856","New resource for population genetics studies on the Australasian intertidal brown alga, Hormosira banksii: isolation and characterization of 15 polymorphic microsatellite loci through next generation DNA sequencing","The Australasian fucoid, Hormosira banksii, commonly known as `Neptune's necklace' or `bubbleweed' is regarded as an autogenic ecosystem engineer with no functional equivalents. Population declines resulting from climate change and other anthropogenic disturbances pose significant threats to intertidal biodiversity. For effective conservation strategies, patterns of gene flow and population genetic structure across the species distribution need to be clearly understood. We developed a suite of 15 polymorphic microsatellite markers using next generation sequencing of 53-55 individuals from two sites (south-western Victoria and central New South Wales, Australia) and a replicated spatially hierarchical sampling design. We observed low to moderate genetic variation across most loci (mean number of alleles per locus =3.26; mean expected heterozygosity =0.38) with no evidence of individual loci deviating significantly from Hardy-Weinberg equilibrium. Marker independence was confirmed with tests for linkage disequilibrium, and analyses indicated no evidence of null alleles across loci. Independent spatial autocorrelation analyses were performed for each site using multilocus genotypes and different relatedness measures. Both analyses indicated no significant patterns between relatedness and geographic distance, complemented by non-significant Hardy-Weinberg estimates (P < 0.05), suggesting that individuals from each site represent a randomly mating, outcrossing population. A preliminary investigation of population structure indicates that gene flow among sites is limited (F (ST) = 0.49), however more comprehensive sampling is needed to determine the extent of population structure across the species range (> 10,000 km). The genetic markers described provide a valuable resource for future population genetic assessments that will help guide conservation planning for H. banksii and the associated intertidal communities."
"5",172949,"2012.3571","Long-term trends of coral imports into the United States indicate future opportunities for ecosystem and societal benefits","The international trade in corals used to be primarily a curio trade of dried skeletons, but now focuses on live corals for the marine reef aquarium trade. The trade is still rapidly evolving, creating challenges including the addition of new species that outpace effective management strategies. New species in the live coral trade initially command high prices, but as they become common the price radically decreases with feedback effects to the trade. To understand these trends, 21 years of live coral import data for the United States were assessed. Trade increased over 8\% per year between 1990 until the mid-2000s, and has since decreased by 9\% annually. The timing of the peak and decline varies among species, and is a result of the rising popularity of mini-reef ecosystem aquariums, the global financial crisis, and an increase in aquaculture production. The live coral trade offers opportunities for coral reef ecosystem conservation and sustainable economic benefits to coastal communities, but realization of these externalities will require effective data tracking."
"6",26635,"2021.2954","Comparing different generations of idealized solar geoengineering simulations in the Geoengineering Model Intercomparison Project (GeoMIP)","Solar geoengineering has been receiving increased attention in recent years as a potential temporary solution to offset global warming. One method of approximating global-scale solar geoengineering in climate models is via solar reduction experiments. Two generations of models in the Geo-engineering Model Intercomparison Project (GeoMIP) have now simulated offsetting a quadrupling of the CO2 concentration with solar reduction. This simulation is idealized and designed to elicit large responses in the models. Here, we show that energetics, temperature, and hydrological cycle changes in this experiment are statistically indistinguishable between the two ensembles. Of the variables analyzed here, the only major differences involve highly parameterized and uncertain processes, such as cloud forcing or terrestrial net primary productivity. We conclude that despite numerous structural differences and uncertainties in models over the past two generations of models, including an increase in climate sensitivity in the latest generation of models, the models are consistent in their aggregate climate response to global solar dimming."
"7",2914,"2020.366","Coral cover surveys corroborate predictions on reef adaptive potential to thermal stress","As anomalous heat waves are causing the widespread decline of coral reefs worldwide, there is an urgent need to identify coral populations tolerant to thermal stress. Heat stress adaptive potential is the degree of tolerance expected from evolutionary processes and, for a given reef, depends on the arrival of propagules from reefs exposed to recurrent thermal stress. For this reason, assessing spatial patterns of thermal adaptation and reef connectivity is of paramount importance to inform conservation strategies. In this work, we applied a seascape genomics framework to characterize the spatial patterns of thermal adaptation and connectivity for coral reefs of New Caledonia (Southern Pacific). In this approach, remote sensing of seascape conditions was combined with genomic data from three coral species. For every reef of the region, we computed a probability of heat stress adaptation, and two indices forecasting inbound and outbound connectivity. We then compared our indicators to field survey data, and observed that decrease of coral cover after heat stress was lower at reefs predicted with high probability of adaptation and inbound connectivity. Last, we discussed how these indicators can be used to inform local conservation strategies and preserve the adaptive potential of New Caledonian reefs."
"8",375757,"1989.2526","Measurement of cordgrass, Spartina alterniflora, production in a macrotidal estuary, Bay of Fundy","A one-year field study was conducted of the growth, mortality, and loss dynamics of a Spartina alterniflora low marsh in the Minas Basin, a macrotidal estuary at the head of the Bay of Fundy. Data were used to examine the suitability of four methods for estimating annual net aerial primary production (NAPP) of a marsh subject to energetic tidal flooding. Shoots start to grow in April and reach maximum height (about 0.5 m) and weight in October. Maximum shoot density (900-1,600 m-2) occurs around June and drops thereafter due to the export of entire shoots. The average shoot produces about seven leaves and at least 2-3 are lost during the growing season. All remaining vegetation dies before the end of November. Methods based on harvesting vegetation underestimated NAPP, especially at lower elevations where export is greater due to more frequent and prolonged tidal flooding. The highest NAPP values, on the order of 500-600 g m-2 y-1, were obtained using methods based on the population dynamics of individual shoots. These methods are recommended for energetic tidal environments because they include the production of vegetation exported during the growing season. Â© 1989 Esrtuarine Research Federation."
"9",84411,"2022.6834","Ecology and management of invasive plants in the sub-Antarctic and Antarctic regions: evidence and synthesis from Macquarie Island","Background The Antarctic is an extreme environment for plants. Several invasive plant species, however, have invaded the sub-Antarctic Southern Ocean islands and increasingly threaten the vulnerability of maritime and continental Antarctica, particularly with changes in climate. Aims We provide an overview of issues to consider with regard to the impact, ecology and management of non-native plants in the Antarctic, focusing on knowledge gained and recent research results from the sub-Antarctic with possible application to Antarctica. Methods We provide a brief review of literature and bring together experience and previously unpublished research with Poa annua and Stellaria media on Macquarie Island. Results While no one set of biological characteristics predicts plant invasiveness in the sub-Antarctic, all are adapted to survive extreme cold conditions and persistence is enabled through large and long-lived soil seed banks. Ecological drivers for invasion include accidental human introductions and continuing movement, along with animal and other disturbance to soil. Conclusion The invasive cold-tolerant plant species now prevalent on sub-Antarctic islands also pose a threat to Antarctica due to a warming climate and so efforts should continue to prevent further spread, while developing effective, low-impact control and eradication options to protect these high-value extreme ecosystems."
"10",119851,"2021.12756","Controlling Atmospheric Corrosion of Weathering Steel Using Anodic Polarization Protection Technique","The atmospheric corrosion of weathering steels varies as a function of geographic zone, season, and other environmental variables related to that region which the experiments have been done. Meanwhile, rusting is a continuous process, and it is the main corrosion product of atmospheric corrosion. The current study investigates the effects of rust on weathering steel in the localized region of Digha, a sea resort of West Bengal, India. The investigations have been performed by purposely accelerating the rusting of weathering steel in a laboratory within one week in order to simulate approximately 18 months of actual rusting that can be achieved at field exposure. Anodic polarization of weathering steel comparable to potentiostatic passivation is obtained by shorting weathering steel with nobler metals, such as copper or graphite. The effect of rust formation on corrosion resistance after being immersed in 0.01 M KCl solutions for polished and unpolished samples has been investigated using electrochemical techniques, such as potentiodynamic polarization and electrochemical impedance spectroscopy (EIS). The rusted surfaces' morphology and composition were characterized using field emission scanning electron microscope (FE-SEM) and energy dispersive X-ray analysis (EDX). Based on the obtained results, it is concluded that the progressive rusting of weathering steel leads to a decrease in corrosion rate."
"11",343675,"2014.13841","Getting ready for an energetic future","Groningen Seaports has started with the expansion of and changes in the Eemshaven, planning on profiling the harbor as an energy port in which oil and gas and renewable energy go hand in hand. The Eemshaven was opened on June 7, 1973 by Queen Juliana and in 1976 the first company, AG Ems, settled in the harbor. The former design of the harbor contained mooring spaces for vessels up to 40,000 tons. One of the most important growth factors of the Eemshaven is going to be the wind farms that will be developed near to Groningen, one of them to become one of the biggest offshore wind farms in the world. One of the companies that was attracted to the Eemshaven is Vopak, who opened their tank storage terminal in 2012. The Eemshaven has not been the most successful harbor until now, but when one third of the Netherlands' electricity will be produced here, the national importance will grow. The investments mean a great boost of the harbour's main activities, the lease of land, the transshipment of goods and the employment in the region."
