id	title	abstract	keywords
5915	A Robust Passive Islanding Detection Technique With Zero-Non-Detection Zone for Inverter-Interfaced Distributed Generation	In this paper, a new and efficient passive islanding detection technique for a grid-connected hybrid distributed generating system has been proposed using Second Generation Wavelet Transform (SGWT) and Maximum Overlap Discrete Wavelet Transform (MODWT). In this technique, the ripple content of the voltage signal is measured at the Point of Common Coupling (PCC) and it is monitored through the decomposition of the signal by applying SGWT and MODWT technique up to suitable finer levels. This algorithm able to detects all kinds of islanding at nearly 0.3 sec, even with zero power mismatch. It is verified on a wide range of operational conditions and is also validated in various non-islanding conditions. Furthermore, the proposed technique is simple, there is no need for a classifier requirement, not depends on system parameters, zero non-detection zone (NDZ), and its operation is independent of the capacity and nature of distributed generation (DG) connected to the utility grid.	Islanding; Discrete wavelet transforms; Signal processing algorithms; Voltage measurement; Renewable energy sources; Classification algorithms; Approximation algorithms; Power grids; Time-domain analysis; Grid connected distributed generation; maximum overlap discrete wavelet transform; passive islanding detection; second generation wavelet transform; time domain analysis; zero-non-detection zone
996	The role of aerosols and greenhouse gases in Sahel drought and recovery	We exploit the multi-model ensemble produced by phase 5 of the Coupled Model Intercomparison Project (CMIP5) to synthesize current understanding of external forcing of Sahel rainfall change, past and future, through the lens of oceanic influence. The CMIP5 multi-model mean simulates the twentieth century evolution of Sahel rainfall, including the mid-century decline toward the driest years in the early 1980s and the partial recovery since. We exploit a physical argument linking anthropogenic emissions to the change in the temperature of the sub-tropical North Atlantic Ocean relative to the global tropical oceans to demonstrate indirect attribution of late twentieth century Sahel drought to the unique combination of aerosols and greenhouse gases that characterized the post-World War II period. The subsequent reduction in aerosol emissions around the North Atlantic that resulted from environmental legislation to curb acid rain, occurring as global tropical warming continued unabated, is consistent with the current partial recovery and with projections of future wetting. Singular Value Decomposition (SVD) applied to the above-mentioned sea surface temperature (SST) indices provides a succinct description of oceanic influence on Sahel rainfall and reveals the near-orthogonality in the influence of emissions between twentieth and twenty-first centuries: the independent effects of aerosols and greenhouse gases project on the difference of SST indices and explain past variation, while the dominance of greenhouse gases projects on their sum and explains future projection. This result challenges the assumption that because anthropogenic warming had a hand in past Sahel drought, continued warming will result in further drying. In fact, the twenty-first century dominance of greenhouse gases, unchallenged by aerosols, results in projections consistent with warming-induced strengthening of the monsoon, a response that has gained in coherence in CMIP5 compared to prior multi-model exercises.	NA
1600	Life Cycle Greenhouse Gas Emissions of Utility-Scale Wind Power	A systematic review and harmonization of life cycle assessment (LCA) literature of utility-scale wind power systems was performed to determine the causes of and, where possible, reduce variability in estimates of life cycle greenhouse gas (GHG) emissions. Screening of approximately 240 LCAs of onshore and offshore systems yielded 72 references meeting minimum thresholds for quality, transparency, and relevance. Of those, 49 references provided 126 estimates of life cycle GHG emissions. Published estimates ranged from 1.7 to 81 grams CO2-equivalent per kilowatt-hour (g CO2-eq/kWh), with median and interquartile range (IQR) both at 12 g CO2-eq/kWh. After adjusting the published estimates to use consistent gross system boundaries and values for several important system parameters, the total range was reduced by 47\% to 3.0 to 45 g CO2-eq/kWh and the IQR was reduced by 14\% to 10 g CO2-eq/kWh, while the median remained relatively constant (11 g CO2-eq/kWh). Harmonization of capacity factor resulted in the largest reduction in variability in life cycle GHG emission estimates. This study concludes that the large number of previously published life cycle GHG emission estimates of wind power systems and their tight distribution suggest that new process-based LCAs of similar wind turbine technologies are unlikely to differ greatly. However, additional consequential LCAs would enhance the understanding of true life cycle GHG emissions of wind power (e.g., changes to other generators operations when wind electricity is added to the grid), although even those are unlikely to fundamentally change the comparison of wind to other electricity generation sources.	greenhouse gas emissions; industrial ecology; life cycle assessment; meta-analysis; renewable energy; wind energy
2264	Compared Environmental Impact Analysis of Alfa and Polypropylene Fibre-Reinforced Concrete	This study was conducted in order to examine the environmental and the mechanical properties of two fibre-reinforced concretes, namely Alfa fibres and polypropylene fibres. In this study, the life cycle assessment (LCA) method was used, since this process is likely to quantify the environmental impacts of concrete or concrete production industry. The environmental analyses showed that alfa fibres generate fewer impacts than polypropylene fibres. The results revealed that the use of the Alfa fibres reinforced concretes is efficient solution for climate change mitigation, for the reason that they generate: (1) a less fossil fuel depletion; (2) produce lower emissions of greenhouse gases; (3) develop a lesser atmospheric emission of particles, (4) reduce the marine ecotoxicity; and (5) participate in decreasing the photochemical oxydation.	Concrete; Fibres; Alfa; Polypropylene; SimaPro; Life cycle analysis; LCA
5995	Mineralogy and Microbial Diversity of the Microbialites in the Hypersaline Storr's Lake, the Bahamas	Microbialites found in the low-light-intensity, hypersaline waters of Storr's Lake (SL), San Salvador Island, the Bahamas, were investigated with respect to their morphology, mineralogy, and microbial diversity. Previously described microbialite morphologies, as well as a newly identified multi-cuspate morphology, were observed at various depths. Electron microscopy analysis revealed the presence of angular, blocky, and needle-shaped crystals with mineralized cyanobacterial filaments and remains of exopolymeric substances. X-ray diffraction studies confirmed the presence of both Mg-calcite and aragonite in the plateau-mushroom and pinnacle mound microbialites, whereas only Mg-calcite was identified in the other microbialite morphotypes. A comprehensive molecular analysis using barcoded pyrosequencing of five different microbial mat communities identified at least 12 dominant bacterial phyla. Cyanobacteria were generally low in abundance and ranged from approximate to 0.01\% in the deeper pinnacle mounds to approximate to 3.2\% in the shallow calcareous knobs. Other photosynthetic members included green nonsulfur bacteria of the phylum Chloroflexi and purple sulfur bacteria of the class Gammaproteobacteria. All mat types contained significant amounts of sulfate-reducing and dehalogenating bacteria. The low light intensity reaching the deeper microbialites, the lack of dominant cyanobacteria, and the abundance of sulfate reducers and Chloroflexi collectively suggest that sulfate reduction and anoxygenic photosynthetic processes influence the carbonate biomineralization process in these systems. Astrobiology 16, 282-300.	Microbial mats; Microbial diversity; Biomineralization
3018	The Icelandic-German hydrogen project	Iceland has a great amount of indirect solar energy in the form of hydropower. With this energy, hydrogen is produced by electrolysis, pressurised to 200 bar and transported to Hamburg (Germany) in standard trailers. In Hamburg, six vans. originally equipped with gasoline engines are converted for operation with hydrogen, the fuel tanks being replaced by hydrogen gas tanks. The vans are used for urban distribution. These vehicles are suitable for ordinary operations, comply with the necessary safety requirements and can be driven and fuelled by drivers without any special skills or permits. The project is the world's first public hydrogen vehicle system for private utilisation. The paper describes the performance and the experience gained with the whole hydrogen system from the source to vehicle operation. The technical data of the daily operation is presented. Six project partners run the vehicles and bear the total costs of the project. ``Wasserstoff-Gesellschaft Hamburg (WGH){''} initiated the project and coordinates the executive activities. The project's acronym is ``W.E.I.T.{''} (in German: Wasserstoff-Energie Island Transfer). The project is split into two phases for administrative and financial reasons: Phase I: Hydrogen is delivered as a by-product from local chemical processes Phase ii: Hydrogen is delivered from renewable energy sources in Iceland.	NA
3151	GEOGRAPHICAL, SEASONAL AND INTERANNUAL VARIATIONS OF AIR-SEA CO2 EXCHANGE IN THE SUBTROPICAL PACIFIC SURFACE WATERS DURING 1983-1988 .1. VARIABILITIES OF OCEANIC FCO(2)	The fugacity, of CO2 (fCO(2)) in the surface seawater of the northeast (15 degrees N-45 degrees N) and southwest (25 degrees S-15 degrees S) subtropical Pacific Ocean from November 1983 to February 1988 were observed on Is cruises on the M/V Lillooet. The northeast Pacific within 15 degrees N-45 degrees N was a net CO2 sink with a mean annual Delta fCO(2) of about -5 mu atm, as the average of -19 mu atm in the boreal winter and spring and 8 mu atm in the boreal summer and autumn. Our cruises also obtained the first set of austral winter and spring fCO(2) data for the southwest subtropical Pacific and thus provided a complete seasonal cycle of surface fCO(2) for this oceanic region. The southwest Pacific within 25 degrees S-15 degrees S, with a mean annual Delta fCO(2) of about -20 mu atm, was a CO2 sink year round except during the austral summer of the El Nino whence Delta fCO(2) had positive values. The observed sea-surface fCO(2) showed large variability. Between the summer and the winter months, the seasonal amplitudes of fCO(2) (normalized to the climatological annual mean SST) ranged from 1 mu atm to 63 mu atm. The surface waters of the subtropical and the northeast Pacific also displayed annual trends in the normalized fCO(2) values. From January 1984 to January 1987, there were decreases in the seasonal means of normalized fCO(2) of 4-11 mu atm yr(-1) within 25 degrees C-15 degrees S, 15 degrees N-25 degrees N, and 25 degrees N-35 degrees N. These trends were within the uncertainty of the data and were not significant statistically. However, from summer 1985 to summer 1987, the normalized fCO(2), showed significant positive increase of 24 mu atm yr(-1) within 35 degrees N-45 degrees N. There was also an increase, though not significant statistically, of 13 mu atm yr(-1) within 25 degrees N-35 degrees N. The cause of the slightly larger increase in fCO(2), in northern subtropical gyre could be the anomalous intrusions of the Oyashio Current during the period 1984-1986 along the North Pacific Current, which was the source of the California Current bifurcating into the waters of 25 degrees N-35 degrees N and 35 degrees N-45 degrees N. These intrusions in late spring usually followed an intensified and eastward shift of the Aleutian Low which was especially persistent during 1977-1988.	NA
2901	Changes in sediment methanogenic archaea community structure and methane production potential following conversion of coastal marsh to aquaculture ponds	Widespread conversion of coastal wetlands into aquaculture ponds in coastal region often results in degradation of the wetland ecosystems, but its effects on sediment's potential to produce greenhouse gases remain unclear. Using field sampling, incubation experiments and molecular analysis, we studied the sediment CH4 production potential and the relevant microbial communities in a brackish marsh and the nearby aquaculture ponds in the Min River Estuary in southeastern China. Sediment CH4 production potential was higher in the summer and autumn months than in spring and winter months, and it was significantly correlated with sediment carbon content among all environmental variables. The mean sediment CH4 production potential in the aquaculture ponds (20.1 ng g-1 d-1) was significantly lower than that in the marsh (45.2 ng g-1 d-1). While Methanobacterium dominated in both habitats (41-59\%), the overall composition of sediment methanogenic archaea communities differed significantly between the two habitats (p < 0.05) and methanogenic archaea alpha diversity was lower in the aquaculture ponds (p < 0.01). Network analysis revealed that interactions between sediment methanogenic archaea were much weaker in the ponds than in the marsh. Overall, these findings suggest that conversion of marsh land to aquaculture ponds significantly altered the sediment methanogenic archaea community structure and diversity and lowered the sediment's capacity to produce CH4.	Methane production; Methanogenic archaea; Network analysis; Land-use and land coverage change (LULCC); Coastal wetlands; Aquaculture systems
3491	Reserves, resilience and dynamic landscapes	In a world increasingly modified by human activities, the conservation of biodiversity is essential as insurance to maintain resilient ecosystems and ensure a sustainable flow of ecosystem goods and services to society. However, existing reserves and national parks are unlikely to incorporate the long-term and large-scale dynamics of ecosystems. Hence, conservation strategies have to actively incorporate the large areas of land that are managed for human use. For ecosystems to reorganize after large-scale natural and human-induced disturbances, spatial resilience in the form of ecological memory is a prerequisite. The ecological memory is composed of the species, interactions and structures that make ecosystem reorganization possible, and its components may be found within disturbed patches as well in the surrounding landscape. Present static reserves should be complemented with dynamic reserves, such as ecological fallows and dynamic successional reserves, that are part of ecosystem management mimicking natural disturbance regimes at the landscape level.	NA
2692	Hydrological Conditions Influence Soil and Methane-Cycling Microbial Populations in Seasonally Saturated Wetlands	Seasonally saturated wetlands are hydrologically dynamic ecosystems that provide various ecosystem services; however, their variable hydrologic conditions may promote greenhouse gas emissions. The extent to which wetlands produce and emit greenhouse gases is intimately tied to the underlying microbial community. We established a linear transect spanning a hydrologic gradient on the margins adjacent to five seasonally saturated wetlands to characterize how water level, saturation duration, and frequency of wet-dry cycles influenced the soil and methane-cycling microbial community composition. We found that the soil and methane-cycling microbial community diversity and structure were strongly related to water level changes and saturation duration but not saturation frequency. Soils that experienced inundation or saturation for more than 50\% of the year harbored a soil microbial composition distinct from soils that were rarely saturated or inundated. While soils closer to the wetland basin supported a higher relative abundance of methanogens, methane-oxidizing microbes were present across the entire topographic gradient; however, the composition shifted from a primarily anaerobic to aerobic methanotroph community. Findings suggest that soil and methane cycling microorganisms are influenced by the soil's hydrologic conditions, with methane producers being restricted to specific ranges and methane oxidizers able to occur under a variety of hydrologic conditions. The mechanisms driving methane oxidation by the latter, however, may depend on the hydrologic conditions.	freshwater mineral wetlands; methanogens; methanotrophs; methane emissions; microbial diversity
