Article ID,Article URL,Title,Journal,Authors,Abstract,predict(148489:Include)
91759605,https://sysrev.com/p/121334/article/91759605,"Operationalizing Blue Carbon in the Mission-Aransas National Estuarine Research Reserve, Texas",COASTAL MANAGEMENT,"Hutchison, Lauren M.; Pollack, Jennifer B.; Swanson, Katie; Yoskowitz, David","Recently, greater interest in the resilience of coastal habitat ecosystem services in the northern Gulf of Mexico has emerged due in part to an expansion of mangroves into areas previously dominated by salt marshes. To operationalize coastal wetland ecosystem services for decision-making, there is a need to clarify how salt marshes and mangroves function in this region. The goal of this research is to operationalize blue carbon (carbon stored in coastal habitats) within the Mission-Aransas National Estuarine Research Reserve, TX by documenting what we know about blue carbon within the study area, identifying data gaps and future research needs, and using available knowledge to inform management and decision-making within the Reserve. Our research shows that there is a lack of data within the Reserve on mangrove aboveground biomass, belowground biomass and soil carbon and on salt marsh soil carbon. There is also a dearth of information on wetland carbon sequestration and emission rates within the Reserve, making it challenging to inform management and develop a market for blue carbon.",0.964
91759606,https://sysrev.com/p/121334/article/91759606,Sixty-five years of northern anchovy population studies in the southern California Current: a review and suggestion for sensible management,ICES JOURNAL OF MARINE SCIENCE,"Sydeman, William J.; Dedman, Simon; Garcia-Reyes, Marisol; Thompson, Sarah Ann; Thayer, Julie A.; Bakun, Andrew; MacCall, Alec D.","The central stock of northern anchovy (CSNA; Engraulis mordax), the most abundant small pelagic fish in the southern California Current, is key to ecosystem functions. We review drivers of its population dynamics in relation to management. Springtime upwelling intensity lagged by 2 years co-varied positively with CSNA biomass, as did the abundance of Pacific sardine (Sardinops sagax; weakly negative). CSNA population dynamics indicate the need for a multi-species stock assessment, but given serious challenges with modelling population collapse and recovery dynamics, and its moderate fisheries, we suggest that sensible management could be a simple 2-tier harvest control rule designed to emphasize the key trophic role of CSNA in the ecosystem while maintaining moderate socio-economic services. We recommend a monitoring fishery of no more than 5 KMT year(-1) split between central and southern California when the stock falls below the long-term median abundance estimate of 380 KMT across the California portion of its range, and a catch limit of 25 KMT year(-1) when the stock is above this reference point. This rule would be precautionary, serving to maintain the most important small pelagic forage in the ecosystem, various fisheries interests, and information streams when the population is in a collapsed state.",0.326
91759607,https://sysrev.com/p/121334/article/91759607,Sponge community variation along the Apulian coasts (Otranto Strait) over a pluri-decennial time span. Does water warming drive a sponge diversity increasing in the Mediterranean Sea?,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,"Costa, Gabriele; Bavestrello, Giorgio; Micaroni, Valerio; Pansini, Maurizio; Strano, Francesca; Bertolino, Marco","Climate change and heavy anthropic pressures are giving rise to important modifications in the rocky benthic communities of the Mediterranean Sea. In particular, sponge assemblages have been deeply affected due to the susceptibility of some species to dramatic phenomena such as mass mortalities or widespread variations in the abundance of other species. For this reason, long-term biodiversity monitoring of the sponge assemblages is important for understanding the direction of changes over time. We studied the sponge fauna living off Tricase Porto (Otranto Strait) and compared its composition with the results of a study conducted in the same area 50 years ago. The comparison indicated that the sponge diversity of this area has strongly increased in the last 50 years and a large number of the sponges recorded in the old survey are still present in the recent community. This evidence matches with other results obtained from different localities of the Mediterranean Sea indicating an increase of sponge diversity, possibly due to the present water warming. The description of two new Demosponge species, Diplastrella boeroi sp. nov. and Spirastrella angulata sp. nov., is also provided.",0.057
91759608,https://sysrev.com/p/121334/article/91759608,"Optimising usage of salinized lands in the lower part of the river basin for the coastal community in Bentota, Sri Lanka",JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,"Ranasinghe, T. K. G. P.; Piyadasa, R. U. K.","Land degradation in coastal areas due to seawater intrusion, and coastal salinity is one of the major critical problems affecting the sustainable development of Sri Lanka. Coastal salinity risk is increasing in the Bentota area while diminishing land productivity which results in poor food production and giving rise to several socio-economic issues for the community in the area. Bentota is below the agricultural production capacity level and no strategy has been implemented or introduced so far regarding the utilisation of degraded lands in the area. This study identified the optimised extent of salinized lands for paddy, coconut, vegetables, fruits, tea, rubber and cinnamon cultivations based on future coastal salinity effects, land use demand and the development trend of the area. Land use change, rainfall, temperature, topography, floods, soil, ground and surface water are the factors applied in evaluations of land use suitability as the prior requirement for land use optimisation. Future demands of land use were predicted applying population growth models, the theory of land carrying capacity and the ecological footprint. Strategies for optimising the productivity of salinized lands were identified using a stakeholder perception-based approach. The developed sustainable land use pattern will enhance the land productivity of highly (3.4 \%), moderately (39.6 \%) and slightly (57 \%) salinized areas in Bentota. Identified land management strategies will facilitate the spatial planning of future land use of this area by providing guidance to the local authority in the process of allocating salinized lands for enhancing land productivity.",0.810
91759609,https://sysrev.com/p/121334/article/91759609,Predicting the cumulative effect of multiple disturbances on seagrass connectivity,GLOBAL CHANGE BIOLOGY,"Grech, Alana; Hanert, Emmanuel; McKenzie, Len; Rasheed, Michael; Thomas, Christopher; Tol, Samantha; Wang, Mingzhu; Waycott, Michelle; Wolter, Jolan; Coles, Rob","The rate of exchange, or connectivity, among populations effects their ability to recover after disturbance events. However, there is limited information on the extent to which populations are connected or how multiple disturbances affect connectivity, especially in coastal and marine ecosystems. We used network analysis and the outputs of a biophysical model to measure potential functional connectivity and predict the impact of multiple disturbances on seagrasses in the central Great Barrier Reef World Heritage Area (GBRWHA), Australia. The seagrass networks were densely connected, indicating that seagrasses are resilient to the random loss of meadows. Our analysis identified discrete meadows that are important sources of seagrass propagules and that serve as stepping stones connecting various different parts of the network. Several of these meadows were close to urban areas or ports and likely to be at risk from coastal development. Deep water meadows were highly connected to coastal meadows and may function as a refuge, but only for non-foundation species. We evaluated changes to the structure and functioning of the seagrass networks when one or more discrete meadows were removed due to multiple disturbance events. The scale of disturbance required to disconnect the seagrass networks into two or more components was on average >245km, about half the length of the metapopulation. The densely connected seagrass meadows of the central GBRWHA are not limited by the supply of propagules; therefore, management should focus on improving environmental conditions that support natural seagrass recruitment and recovery processes. Our study provides a new framework for assessing the impact of global change on the connectivity and persistence of coastal and marine ecosystems. Without this knowledge, management actions, including coastal restoration, may prove unnecessary and be unsuccessful.",0.132
91759610,https://sysrev.com/p/121334/article/91759610,Slope failures on the flanks of the western Canary Islands,EARTH-SCIENCE REVIEWS,"Masson, DG; Watts, AB; Gee, MJR; Urgeles, R; Mitchell, NC; Le Bas, TP; Canals, M","Landslides have been a key process in the evolution of the western Canary Islands. The younger and more volcanically active Canary Islands, El Hierro, La Palma and Tenerife, show the clearest evidence of recent landslide activity. The evidence includes landslide scars on the island flanks, debris deposits on the lower island slopes, and volcaniclastic turbidites on the floor of the adjacent ocean basins. At least 14 large landslides have occurred on the flanks of the El Hierro, La Palma and Tenerife, the majority of these in the last 1 million years, with the youngest, on the northwest flank of El Hierro, as recent as 15 thousand years in age. Older landslides undoubtedly occurred, but are difficult to quantify because the evidence is buried beneath younger volcanic rocks and sediments. Landslides on the Canary Island flanks can be categorised as debris avalanches, slumps or debris flows. Debris avalanches are long runout catastrophic failures which typically affect only the superficial part of the island volcanic sequence, up to a maximum thickness of 1 to 2 km. They are the commonest type of landslide mapped. In contrast, slumps move short distances and are deep-rooted landslides which may affect the entire thickness of the volcanic edifice. Debris flows are defined as landslides which primarily affect the sedimentary cover of the submarine island flanks. Some landslides are complex events involving more than one of the above end-member processes. Individual debris avalanches have volumes in the range of 50-500 km(3), cover several thousand km(2) of seafloor, and have runout distances of up to 130 km from source. Overall, debris avalanche deposits account for about 10\% of the total volcanic edifices of the small, relatively young islands of El Hierro and La Palma. Some parameters, such as deposit volumes and landslide ages, are difficult to quantify. The key characteristics of debris avalanches include a relatively narrow headwall and chute above 3000 m water depth on the island flanks, broadening into a depositional lobe below 3000 m. Debris avalanche deposits have a typically blocky morphology, with individual blocks up to a kilometre or more in diameter, However, considerable variation exists between different avalanche deposits. At one extreme, the El Golfo debris avalanche on El Hierro has few large blocks scattered randomly across the avalanche surface. At the other, Icod on the north flank of Tenerife has much more numerous but smaller blocks over most of its surface, with a few very large blocks confined to the margins of the deposit. Icod also exhibits flow structures (longitudinal shears and pressure ridges) that are absent in El Golfo. The primary controls on the block structure and distribution are inferred to be related to the nature of the landslide material and to flow processes. Observations in experimental debris flows show that the differences between the El Golfo and Icod landslide deposits are probably controlled by the greater proportion of fine grained material in the Icod landslide. This, in turn, relates to the nature of the failed volcanic rocks, which are almost entirely basalt on EI Hierro but include a much greater proportion of pyroclastic deposits on Tenerife. Landslide occurrence appears to be primarily controlled by the locations of volcanic rift zones on the islands, with landslides propagating perpendicular to the rift orientation. However, this does not explain the uneven distribution of landslides on some islands which seems to indicate that unstable flanks are a `weakness' that can be carried forward during island development. This may occur because certain island flanks are steeper, extend to greater water depths or are less buttressed by the surrounding topography, and because volcanic production following a landslide my be concentrated in the landslide scar, thus focussing subsequent landslide potential in this area. Landslides are primarily a result of volcanic construction to a point where the mass of volcanic products fails under its own weight. Although the actual triggering factors are poorly understood, they may include or be influenced by dyke intrusion, pore pressure changes related to intrusion, seismicity or sealevel/climate changes. A possible relationship between caldera collapse and landsliding on Tenerife is not, in our interpretation, supported by the available evidence. (C) 2002 Elsevier Science B.V. All rights reserved.",0.057
91759611,https://sysrev.com/p/121334/article/91759611,ARCTIC LEGAL SYSTEM: A NEW SUSTAINABLE DEVELOPMENT MODEL,RUSSIAN LAW JOURNAL,"Sahu, Manjeet Kumar","Historically, the term `Arctic' was used synonymously with the term `ice', but climate change and Arctic hydrocarbon grabbed the attention of the world community as an opportunity to make the Arctic an `Energy Hub'. Exploration of oil and gas over the past six decades in the Arctic has made the region as places in the world. All major players in the market have endeavored to approach this new energy basket to utilize its maximum benefit. Commercial exploitation of natural resources has made this place a center for the regulation of oil and gas activities. However, petroleum exploration and its operation have had significant local detrimental impacts on the atmosphere, inhabitants and marine environment. Geologists have always believed in the huge reserves of oil and gas in the Arctic Region. However, the exploration of oil and gas started as recently as the mid-1950s. An increase in the demand of oil and gas in the international market, as well as its growing scarcity, compelled the world to locate oil and gas reserves in various regions. It is significant to note that the Arctic states are strategically going to control the excessive exploitation of Arctic hydrocarbon with much profitability. However, it is still a far sighted question `whether Arctic will provide direct competition to the Middle East' and become another hub in the energy market.",0.048
91759612,https://sysrev.com/p/121334/article/91759612,Accidental benzene release risk assessment in an urban area using an atmospheric dispersion model,ATMOSPHERIC ENVIRONMENT,"Truong, Son C. H.; Lee, Myong-In; Kim, Ganghan; Kim, Dongmin; Park, Jong-Hwa; Choi, Sung-Deuk; Cho, Gi-Hyoug","This study applied the American Meteorological Society and Environmental Protection Agency Regulatory Model (AERMOD) to assess the risk caused by an accidental release and dispersion of the toxic chemical benzene in the vicinity of a highly populated urban area. The modeling domain encompasses the Korean megacity of Ulsan, which includes two national industrial complexes and is characterized by a complex coastal terrain. Multiple AERMOD simulations were conducted for an assumed emission scenario using background wind data from August between 2009 and 2013. The series of experiments produced the spatial accident probability patterns for different concentration levels during daytime and nighttime scenarios based on the corresponding dominant wind patterns. This study further quantifies the potential accident risk based on the number of affected individuals by combining the accident probability with the indoor and outdoor population estimates. The chemical gas dispersion characteristics depend on various local meteorological conditions, such as the land-sea breeze direction, which alternates between daytime and nighttime, and the atmospheric stability. The results reveal that benzene dispersion affects a much larger area during the nighttime owing to the presence of a nocturnal stable boundary layer with significant temperature stratification. The affected area is smaller during the daytime owing to decreased stability and enhanced vertical mixing in the boundary layer. The results include a high degree of uncertainty during the nighttime owing to weak wind speeds and the lack of a prevailing wind direction, which impact the vulnerable area. However, vulnerable areas are More effectively identified during the daytime, when more consistent meteorological conditions exist. However, the potential risk becomes much lower during the nighttime owing to a substantial reduction of the outdoor population. (C) 2016 The Authors. Published by Elsevier Ltd.",0.044
91759613,https://sysrev.com/p/121334/article/91759613,Review on the cooling potential of green roofs in different climates,SCIENCE OF THE TOTAL ENVIRONMENT,"Jamei, Elmira; Chau, Hing Wah; Seyedmahmoudian, Mehdi; Stojcevski, Alex","The combined trends of urban heat island (UHI) intensification and global warming led to an increased tendency towards on the greening of cities as a tool for UHI mitigation. Our study examines the range of research approaches and findings regarding the role of green roofs in mitigating urban heat and enhancing human comfort. This review provides an overview of 89 studies conducted in three main climate types (hot-humid, temperate, and dry), from 2000 till 2020. All of the reviewed studies confirm the cooling effect of green roofs and its contribution to reduced heat island intensity regardless of the background climatic condition. However, dry climate has the highest (3 degrees C) median cooling effect of green roofs among all the climates investigated. Hot- humid climate presents the lowest cooling potential (median = 1 degrees C) of green roofs among all the climate types. Moreover, green roofs contribute a median surface temperature reduction of 30 degrees C in hot-humid cities. This value is relatively low for temperate climates (28 degrees C). Notably, no study has examined the impact of green roofs on surface temperature reduction in dry climates. This review can benefit urban planners and various stakeholders. (c) 2021 Elsevier B.V. All rights reserved.",0.223
91759614,https://sysrev.com/p/121334/article/91759614,Carbon sequestration and storage in Norwegian Arctic coastal wetlands: Impacts of climate change,SCIENCE OF THE TOTAL ENVIRONMENT,"Ward, Raymond D.","Coastal wetlands contain some of the largest stores of pedologic and biotic carbon pools, and climate change is likely to influence the ability of these ecosystems to sequester carbon. Recent studies have attempted to provide data on carbon sequestration in both temperate and tropical coastal wetlands. Alteration of Arctic wetland carbon sequestration rates is also likely where coastal forcing mechanisms interact directly with these coastal systems. At present there are no data available to provide a detailed understanding of present day and historical carbon sequestration rates within Arctic coastal wetlands. In order to address this knowledge gap, rates of carbon sequestration were assessed within five Arctic coastal wetland sites in Norway. This was undertaken using radiometric dating techniques (Pb-210 and Cs-132) to establish a geochronology for recent wetland development, and soil carbon stocks were estimated from cores. Average carbon sequestration rates were varied, both between sites and over time, ranging between 19 and 603 g C m(2) y(-1), and these were correlated with increases in the length of the growing season. Stocks ranged between 3.67 and 13.79 Mg C ha(-1), which is very low compared with global average estimations for similar coastal systems, e.g. 250 Mg C ha(-1) for temperate salt marshes, 280 Mg C ha(-1) for mangroves, and 140 Mg C ha(-1) for seagrasses. This is most likely due to isostatic uplift and sediment accretion historically outpacing sea level rise, which results in wetland progradation and thus a continuous formation of new marsh with thin organic soil horizons. However, with increasing rates of sea level rise it is uncertain whether this trend is set to continue or be reversed. (C) 2020 Elsevier B.V. All rights reserved.",0.143
