Article ID,Article URL,Status,User Count,Users,Include,Relevant Population,Relevant Intervention ,Relevant Outcome,> 1 ORO,Outcome section,blue carbon flux/storage,User Notes,Title,Journal,Authors
91759605,https://sysrev.com/p/121334/article/91759605,consistent,2,jean-pierre.gattuso|||bopp,true,true,true,true,false,,,,"Operationalizing Blue Carbon in the Mission-Aransas National Estuarine Research Reserve, Texas",COASTAL MANAGEMENT,"Hutchison, Lauren M.; Pollack, Jennifer B.; Swanson, Katie; Yoskowitz, David"
91759606,https://sysrev.com/p/121334/article/91759606,resolved,3,adriencomte.pro|||jean-pierre.gattuso|||deviveytia,false,true,false,false,,,,"nil; ""Management not presented in response to climate change threat""",Sixty-five years of northern anchovy population studies in the southern California Current: a review and suggestion for sensible management,ICES JOURNAL OF MARINE SCIENCE,"Sydeman, William J.; Dedman, Simon; Garcia-Reyes, Marisol; Thompson, Sarah Ann; Thayer, Julie A.; Bakun, Andrew; MacCall, Alec D."
91759607,https://sysrev.com/p/121334/article/91759607,consistent,2,jean-pierre.gattuso|||bopp,false,true,false,false|||true,,,,,Sponge community variation along the Apulian coasts (Otranto Strait) over a pluri-decennial time span. Does water warming drive a sponge diversity increasing in the Mediterranean Sea?,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,"Costa, Gabriele; Bavestrello, Giorgio; Micaroni, Valerio; Pansini, Maurizio; Strano, Francesca; Bertolino, Marco"
91759608,https://sysrev.com/p/121334/article/91759608,resolved,3,adriencomte.pro|||jean-pierre.gattuso|||deviveytia,true,true,true,true,,,,"""Include because outcome relevant to potential of a option for societal adaptation to an ocean-related climate threat (salinization)""","Optimising usage of salinized lands in the lower part of the river basin for the coastal community in Bentota, Sri Lanka",JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,"Ranasinghe, T. K. G. P.; Piyadasa, R. U. K."
91759609,https://sysrev.com/p/121334/article/91759609,consistent,2,adriencomte.pro|||jean-pierre.gattuso,false,true,false,false,,true,,,Predicting the cumulative effect of multiple disturbances on seagrass connectivity,GLOBAL CHANGE BIOLOGY,"Grech, Alana; Hanert, Emmanuel; McKenzie, Len; Rasheed, Michael; Thomas, Christopher; Tol, Samantha; Wang, Mingzhu; Waycott, Michelle; Wolter, Jolan; Coles, Rob"
91759610,https://sysrev.com/p/121334/article/91759610,consistent,2,adriencomte.pro|||jean-pierre.gattuso,false,false,false,false,,,,,Slope failures on the flanks of the western Canary Islands,EARTH-SCIENCE REVIEWS,"Masson, DG; Watts, AB; Gee, MJR; Urgeles, R; Mitchell, NC; Le Bas, TP; Canals, M"
91759611,https://sysrev.com/p/121334/article/91759611,consistent,2,adriencomte.pro|||jean-pierre.gattuso,false,true,false,false,,,,,ARCTIC LEGAL SYSTEM: A NEW SUSTAINABLE DEVELOPMENT MODEL,RUSSIAN LAW JOURNAL,"Sahu, Manjeet Kumar"
91759612,https://sysrev.com/p/121334/article/91759612,consistent,2,adriencomte.pro|||jean-pierre.gattuso,false,false,false,false|||true,,,,,Accidental benzene release risk assessment in an urban area using an atmospheric dispersion model,ATMOSPHERIC ENVIRONMENT,"Truong, Son C. H.; Lee, Myong-In; Kim, Ganghan; Kim, Dongmin; Park, Jong-Hwa; Choi, Sung-Deuk; Cho, Gi-Hyoug"
91759613,https://sysrev.com/p/121334/article/91759613,consistent,2,adriencomte.pro|||jean-pierre.gattuso,false,false,true,true,,,,,Review on the cooling potential of green roofs in different climates,SCIENCE OF THE TOTAL ENVIRONMENT,"Jamei, Elmira; Chau, Hing Wah; Seyedmahmoudian, Mehdi; Stojcevski, Alex"
91759614,https://sysrev.com/p/121334/article/91759614,consistent,2,jean-pierre.gattuso|||bopp,false,true,false,true,,,,,Carbon sequestration and storage in Norwegian Arctic coastal wetlands: Impacts of climate change,SCIENCE OF THE TOTAL ENVIRONMENT,"Ward, Raymond D."
91759615,https://sysrev.com/p/121334/article/91759615,consistent,2,adriencomte.pro|||jean-pierre.gattuso,true,true,true,true,,true,,,"Flood Mitigation in Mediterranean Coastal Regions: Problems, Solutions, and Stakeholder Involvement",SUSTAINABILITY,"Ciampa, Francesca; Seifollahi-Aghmiuni, Samaneh; Kalantari, Zahra; Ferreira, Carla Sofia Santos"
91759616,https://sysrev.com/p/121334/article/91759616,consistent,2,adriencomte.pro|||jean-pierre.gattuso,true,true,true,true,,,,,Building capacity on ecosystem-based adaptation strategy to cope with extreme events and sea-level rise on the Uruguayan coast,INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,"Carro, Inti; Seijo, Leonardo; Nagy, Gustavo J.; Lagos, Ximena; Gutierrez, Ofelia"
91759617,https://sysrev.com/p/121334/article/91759617,consistent,2,bopp|||yunne-jai.shin,false,false,true,true,,,,,Potential pitfalls in the development of smart cities and mitigation measures: An exploratory study,CITIES,"Lam, Patrick T. I.; Ma, Ruiqu"
91759618,https://sysrev.com/p/121334/article/91759618,consistent,2,deviveytia|||jean-pierre.gattuso,false,true,false|||true,false|||true,,,,,Optimal design of cogeneration plants for seawater desalination,DESALINATION,"Cardona, E; Piacentino, A"
91759619,https://sysrev.com/p/121334/article/91759619,consistent,2,deviveytia|||adriencomte.pro,true,true,true,true,,true,,,"The Role of Sea-Urchins in Marine Forests From Azores, Webbnesia, and Cabo Verde: Human Pressures, Climate-Change Effects and Restoration Opportunities",FRONTIERS IN MARINE SCIENCE,"Bernal-Ibanez, Alejandro; Cacabelos, Eva; Melo, Ricardo; Gestoso, Ignacio"
91759620,https://sysrev.com/p/121334/article/91759620,consistent,2,adriencomte.pro|||jean-pierre.gattuso,false,true,false,false|||true,,,,,Factors of ecosystem service values in a fast-developing region in China: Insights from the joint impacts of human activities and natural conditions,JOURNAL OF CLEANER PRODUCTION,"Liu, Zhitao; Wu, Rong; Chen, Yongxin; Fang, Chuanglin; Wang, Shaojian"
91759621,https://sysrev.com/p/121334/article/91759621,consistent,2,deviveytia|||adriencomte.pro,false,false,false|||true,false|||true,,,,,Storage and depth distribution of organic carbon in volcanic soils as affected by environmental and pedological factors,CATENA,"Mora, J. L.; Guerra, J. A.; Armas-Herrera, C. M.; Arbelo, C. D.; Rodriguez-Rodriguez, A."
91759622,https://sysrev.com/p/121334/article/91759622,consistent,2,adriencomte.pro|||jean-pierre.gattuso,false,false|||true,false,false,,,,,CLIMATIC ATMOSPHERIC OUTFLOW AT THE RIM OF THE ANTARCTIC CONTINENT,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,"DALU, GA; BALDI, M; MORAN, MD; NARDONE, C; SBANO, L"
91759623,https://sysrev.com/p/121334/article/91759623,resolved,3,adriencomte.pro|||jean-pierre.gattuso|||deviveytia,false,true,true,false,,,,"""This is a difficult one -- ultimately I excluded based on outcome, because they predicted present-day ESL uncertainty, which as relevant applications to adaptation (indirect - without explicit implementation/application to an ORO)""",Understanding extreme sea levels for broad-scale coastal impact and adaptation analysis,NATURE COMMUNICATIONS,"Wahl, T.; Haigh, I. D.; Nicholls, R. J.; Arns, A.; Dangendorf, S.; Hinkel, J.; Slangen, A. B. A."
91759624,https://sysrev.com/p/121334/article/91759624,consistent,2,deviveytia|||adriencomte.pro,false,false,true,true,,,,,On microgrids and resilience: A comprehensive review on modeling and operational strategies,RENEWABLE \& SUSTAINABLE ENERGY REVIEWS,"Wang, Yi; Rousis, Anastasios Oulis; Strbac, Goran"
91759625,https://sysrev.com/p/121334/article/91759625,consistent,2,bopp|||yunne-jai.shin,true,true,true,true,false,false,,,GIS-Based Site Analysis of an Optimal Offshore Wind Farm for Minimizing Coastal Disasters,JOURNAL OF COASTAL RESEARCH,"Ryu, Geon Hwa; Kim, Hyunsu; Kim, Young-Gon; Chon, Kyung-Hee; Joo, Joon Young; Moon, Chae-Joo"
91759626,https://sysrev.com/p/121334/article/91759626,consistent,2,deviveytia|||adriencomte.pro,false,true,false,false|||true,,,true,,Nutrients and carbon budgets for the Gulf of Lion during the Moogli cruises,OCEANOLOGICA ACTA,"de Madron, XD; Denis, L; Diaz, F; Garcia, N; Guieu, C; Grenz, C; Loye-Pilot, MD; Ludwig, W; Moutin, T; Raimbault, P; Ridame, C"
91759627,https://sysrev.com/p/121334/article/91759627,consistent,2,adriencomte.pro|||jean-pierre.gattuso,true,true,true,true,,,,,"Unpacking Changes in Mangrove Social-Ecological Systems: Lessons from Brazil, Zanzibar, and Vietnam",RESOURCES-BASEL,"Quinn, Claire H.; Stringer, Lindsay C.; Berman, Rachel J.; Le, Hue T. V.; Msuya, Flower E.; Pezzuti, Juarez C. B.; Orchard, Steven E."
