Scopus refine results values

"Your query : (TITLE-ABS-KEY((((ocean$ OR oceanic OR sea$ OR seawater OR ""sea water"" OR marine OR maritime OR pelagic OR offshore OR benthic OR ""deep sea"" OR deep-sea OR seafloor OR coast* OR shore* OR foreshore OR offshore OR ""continental shelf"" OR ocean-based OR ""sea ice"" OR sea-ice OR island* OR littor* OR ""shallow water"" OR benthic OR estuary OR estuaries OR tidal OR tide$)OR(estuar* OR ""saline wetland$"" OR coast* OR ""salt marsh*"" OR saltmarsh* OR ""tidal marsh*"" OR ""tidal wetland$"" OR ""tidal swamp$"" OR ""tidal scrub"" OR ""tidal shrub"" OR ""inter tidal"" OR ""sub tidal"" OR mangrove$ OR coral$ OR kelp OR macroalga$ OR seaweed OR ""sea weed"" OR ""canopy forming algae"" OR seagrass OR ""sea grass"" OR ""algal mat$"" OR ""coastal vegetation"" OR ""sand dune$"" OR reef$ OR mudflat$ OR ""mussel bed"" OR ""blue carbon""))) AND ((((OTEC OR (((wind NEAR/1 offshore) OR offshore OR wave OR tide OR tidal OR current OR thermohaline OR thermal OR ""salinity gradient$"" OR solar OR photovoltaic OR geothermal) NEAR/5 (energ* OR power OR technolog* OR panel$ OR array$ OR farm$))))) OR ((((""climat* change$"" OR ((global OR future OR climate OR ocean) NEAR/1 (change$ OR warming)))OR(climat* NEAR/2 (mitigat* OR adapt* OR resilien*))OR(emission$ OR (carbon OR ""carbon-dioxide"" OR ""carbon dioxide"" OR CO2 OR carbonate OR carbonic) OR ""greenhouse gas*"" OR ""methane"" OR ""fossil fuel$"" OR ""net zero"" OR ""nitrous oxide$"" OR ""methane"" OR flurocarbon$ OR soot OR ""black carbon"" OR decarbon*)OR(efficien* OR sustainab* OR alternat* OR electric OR ""negative emission$"" OR decarboni?e OR ""carbon neutral"" OR (reduc* NEAR/1 ""carbon footprint""))OR(""climate hazard$"" OR (climate NEAR/2 variability) OR ""climate extreme$"" OR ""extreme weather"" OR ""extreme event$"" OR ""abrupt event$"" OR ""coast* erosion"" OR heat$stress OR ""thermal stress"" OR ""heat wave$"")OR(heatwave$ OR ""heat wave$"" OR warming OR (coral$ NEAR/1 bleaching) OR ((increas* OR ris*) NEAR/1 temperature$))OR(acidif* OR ""increas* acidity"" OR ""aragonite saturation"" OR pH)OR((ris* NEAR/1 ""sea level$"") OR ""coastal flood$"" OR ""coastal hazard$"" OR ((""sea water"" OR saltwater OR ""salt water"") NEAR/1 (incursion OR intrusion)) OR salini$ation OR aquifer$ OR (shore* NEAR/1 protect*)))) AND ((((option$ OR manage* OR measure$ OR action$ OR approach* OR pathway$ OR solution$ OR strateg* OR policies OR policy OR practi?e$ OR intervention$ OR technol* OR opportunit* OR ""geo engineering"" OR ""climate engineering"" OR ""eco engineering""))) NEAR/5 (((mitigat* OR adapt* OR resilien* OR cope OR coping OR ""climate proof*"" OR ""future proof"" OR overshoot* OR (reduc* NEAR/2 (vulnerab* OR risk$))))))) OR ((((""climat* change$"" OR ((global OR future OR climate OR ocean) NEAR/1 (change$ OR warming)))OR(climat* NEAR/2 (mitigat* OR adapt* OR resilien*))OR(emission$ OR (carbon OR ""carbon-dioxide"" OR ""carbon dioxide"" OR CO2 OR carbonate OR carbonic) OR ""greenhouse gas*"" OR ""methane"" OR ""fossil fuel$"" OR ""net zero"" OR ""nitrous oxide$"" OR ""methane"" OR flurocarbon$ OR soot OR ""black carbon"" OR decarbon*)OR(efficien* OR sustainab* OR alternat* OR electric OR ""negative emission$"" OR decarboni?e OR ""carbon neutral"" OR (reduc* NEAR/1 ""carbon footprint""))OR(""climate hazard$"" OR (climate NEAR/2 variability) OR ""climate extreme$"" OR ""extreme weather"" OR ""extreme event$"" OR ""abrupt event$"" OR ""coast* erosion"" OR heat$stress OR ""thermal stress"" OR ""heat wave$"")OR(heatwave$ OR ""heat wave$"" OR warming OR (coral$ NEAR/1 bleaching) OR ((increas* OR ris*) NEAR/1 temperature$))OR(acidif* OR ""increas* acidity"" OR ""aragonite saturation"" OR pH)OR((ris* NEAR/1 ""sea level$"") OR ""coastal flood$"" OR ""coastal hazard$"" OR ((""sea water"" OR saltwater OR ""salt water"") NEAR/1 (incursion OR intrusion)) OR salini$ation OR aquifer$ OR (shore* NEAR/1 protect*)))) AND ((((((clean OR renew*) NEAR/5 (fuel$ OR coal OR diesel OR hydrogen OR energ* OR power OR technolog*)) OR ""iron salt aerosol$"" OR ""methane oxidation"" OR biofuel$ OR energ*)OR(((efficien* OR sustainab* OR alternat*) NEAR/5 (transport OR ship* OR biotechnolog* OR feed$ OR aquafeed$ OR (supply NEAR/2 chain$) OR product$ OR production OR material$)) OR ""integrated multitrophic aquaculture"")OR((((carbon OR ""carbon-dioxide"" OR ""carbon dioxide"" OR CO2 OR carbonate OR carbonic)) NEAR/15 ((capture OR uptake OR remov* OR drawdown OR extract*) OR (storage OR store OR sequest* OR bury OR burial OR sink* OR export* OR precipitat* OR sedimen* OR soil OR seafloor OR deep-sea))) OR CCS OR DACCS OR ""secure seafloor container storage"" OR ""bio energy"" OR bioenergy OR (biomass NEAR/2 energy) OR biochar OR (bio* NEAR/2 charcoal) OR ((seaweed OR ""sea weed"" OR macroalga$ OR biomass OR crop$ OR log$) NEAR/2 (soil OR agriculture OR pyrolysis OR (storage OR store OR sequest* OR bury OR burial OR sink* OR export* OR precipitat* OR sedimen* OR soil OR seafloor OR deep-sea))))OR(((nutrient* OR *nutrient OR nitrogen or phosphor* OR iron) NEAR/2 (fertili$ation OR enrich* OR enhanc* OR nourishment)) OR ((artificial OR enhanc* OR increas*) NEAR/5 (upwelling OR ""biological carbon pump"" OR ""biological pump"" OR ""primary prod*"")))OR((""electrochemical*"" NEAR/10 ((carbon OR ""carbon-dioxide"" OR ""carbon dioxide"" OR CO2 OR carbonate OR carbonic))) OR weathering OR alkalini* OR electrochem* OR electrodialysis OR electroly* OR ""water split*"" OR ""bubble strip*"" OR carbonate OR silicate OR olivine OR liming)OR(""blue carbon"" OR ""ocean reforest*"" OR ((seaweed* OR ""sea weed*"" OR macroalga$ OR kelp OR vegetation OR coast* OR plant OR wetland$ OR mangrove$) NEAR/5 (*culture OR cultivat* OR farm* OR increase OR expand OR replant* OR reforest* OR afforest* OR rehabilitat* OR restor*))))) OR (((protect* OR conserv* OR monitor* OR ""climate refug*"" OR ""natural resource$"" OR ""natural capital"" OR ""no-regret"" OR ((""nature-based"" OR ""nature based"" OR ""ecosystem-based"" OR ""ecosystem based"" OR ""natural climate"") NEAR/2 (solution$ OR approach* OR action$ OR measure$ OR option$)) OR ((sustainable OR ""ecosystem-based"" OR adaptive OR spatial OR integrated OR ""natural resource"" OR integrated OR fishery OR fisheries) NEAR/1 management) OR (management NEAR/1 (estuar* OR ""saline wetland$"" OR coast* OR ""salt marsh*"" OR saltmarsh* OR ""tidal marsh*"" OR ""tidal wetland$"" OR ""tidal swamp$"" OR ""tidal scrub"" OR ""tidal shrub"" OR ""inter tidal"" OR ""sub tidal"" OR mangrove$ OR coral$ OR kelp OR macroalga$ OR seaweed OR ""sea weed"" OR ""canopy forming algae"" OR seagrass OR ""sea grass"" OR ""algal mat$"" OR ""coastal vegetation"" OR ""sand dune$"" OR reef$ OR mudflat$ OR ""mussel bed"" OR ""blue carbon"")) OR ""sustainable ocean economic zones"" OR ""marine protected area$"" OR MPA$ OR ((reduce OR minimize OR minimise OR decrease) AND (disturbance OR loss OR degradation OR overexploit*)))OR(((assisted OR artificial OR induced OR manage* OR restor* OR selective OR enhanc*) NEAR/5 (evolution OR adapt* OR migration OR ""transgenerational acclimatization"" OR breed* OR genetic OR tolerance OR resilien*)) OR ""ecosystem pushing"" OR ""habitat-forming species"" OR (species NEAR/10 (relocat* OR translocat*)) OR ((genetic OR population OR ecological) NEAR/5 connectivity) OR ""evolutionary rescue"" OR ""gene drive"" OR (restor* NEAR/1 demograph*) OR ((probiotic$ OR phage OR viral) NEAR/1 therap*) OR ""ex-situ spawn*"" OR ""pathogen control"")OR(((genetic$ OR phenotyp*) OR (natural NEAR/1 (capcit* OR pasticit*)) ) NEAR/10 (adapt* OR evol* OR mitigat*))OR(""environmental hardening"" OR ""adaptation services"" OR ""hybrid solution$"" OR ""living shoreline$"" OR ""nature based adaptation"" OR ""ecosystem based management"" OR ""natural climate buffer$"" OR ""natural climate solution$"" OR restor* OR translocat* OR recover* OR replant* OR rehabilitat* OR reforest* OR regener* OR ""blue carbon"" OR ""natural carbon sink$"" OR ""intervention ecology"" OR reclamation OR reclaim OR rehabilitat* OR reconstruct* OR revegetat* OR re-vegetat* OR ((carbon OR ""carbon-dioxide"" OR ""carbon dioxide"" OR CO2 OR carbonate OR carbonic) AND (soil OR sediment)) OR depolderisation OR ""eco engineering"" OR ""blue engineering"" OR ""beach nourish*"" OR ""shor* nourish*"" OR ((restor* OR recover*) AND (connectivity OR predator$ OR ""key* species"" OR tropic OR biodiversity OR ""functional diversity"" OR ""ecosystem function""))))) OR (((((social OR societ* OR human OR communit* OR resident$ OR coast* OR shore* OR people OR fisher$ OR island$) NEAR/5 (protect* OR adapt* OR resilien* OR cope OR coping OR ""climate proof*"" OR ""future proof"" OR surviv* OR ((standard$ OR quality) NEAR/1 (living OR life)) OR ((reduc* OR mitigat*) NEAR/2 (vulnerab* OR risk$ OR hazard$)))))) AND (((((infrastructure NEAR/2 (green OR natural OR blue OR ecological)) OR ""climate buffer$"" OR technolog* OR seawall$ OR ""sea wall$"" OR ((coast* OR sea OR hard) NEAR/1 defense$) OR breakwater OR ""rip?rap"" OR jetty OR jetties OR ""ground elev*"" OR reclaim OR reclamation OR ""land rais*"" OR (rain* NEAR/1 harvest*) OR (groundwater NEAR/1 pump*) OR desalinisation OR desalination OR ""storm surge gate$"" OR ""flood barrier$"" OR dyke$ OR dike$ OR engineering OR urbani$ation OR infrastructure OR development$ OR ""built structure$"" OR ""artificial structure$"" OR ""artificial reef$"" OR ""artificial island$"")OR(relocat* OR ""spatial planning"" OR (development NEAR/2 plan*) OR ""integrated coastal management"")OR((beach OR shore* OR coast*) NEAR/2 (nourish* OR protect*))OR(alert* OR warn* OR cris?s OR evacuat*)OR(forecast*)OR(monitor* system$))) OR ((((knowledge) NEAR/1 (divers* OR indigenous OR communit*))OR(policy OR policies OR practice$ OR practise$)OR(""climate change mainstream*"")OR((econom* OR finance OR commerc* OR livelihood* OR industr* OR fisher* OR aquaculture OR mariculture OR farm* OR touris* OR product* OR consumer* OR subsist* OR tradition* OR indig*) AND (diversif* OR sustainabl* OR relocat* OR retreat* OR migra* OR resettle* OR displace* OR protect* OR accomodat* OR adapt* resilie* OR ((reduc*) NEAR/2 (vulnerab* OR risk$ OR exposure))) OR ""offshore *culture"")OR(""managed retreat"" OR move OR migrate OR migration OR retreat OR resettle* OR displace*)OR(""economic policy instruments"" OR ""capital management"" OR ""market mechanism$"" OR ""carbon market$"" OR ""carbon credit$"" OR invest* OR incentiv*)OR((respond OR respons*) NEAR/1 (disaster OR risk$ OR extreme$ OR storm$ OR flood$ OR cyclone$ OR ""coastal flood$""))OR(legislat* OR law OR legal* OR rule$ OR regulat* OR litigat* OR govern* OR legislation OR institution*)OR(""transboundary agreement$"")))))))) AND NOT (((eutrophication OR oligotrophication OR (oligotrophic* NEAR/1 increas*) OR run-off OR runoff OR ""oil spill*"" OR ((bio-plastic$ OR bioplastic$ OR microplastic$ OR plastic$) NEAR/5 (pollut*)))OR(climat* NEAR/5 (""risk assess*"" OR ""vulnerab* assess*"" OR ""impact assess*""))OR(paleo* OR Holocene)))) AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 285694

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","85929","2024","2","Duarte, C.M.","247","Agricultural and Biological Sciences","61555","Article","208978","final","284146","Science Of The Total Environment","3266","Article","42693","Chinese Academy of Sciences","7083","National Natural Science Foundation of China","17220","United States","73625","Journal","220604","English","285694"
"Gold","34555","2023","1882","Anon","180","Arts and Humanities","2255","Conference Paper","51276","aip","1548","Marine Pollution Bulletin","2308","Climate Change","23743","CNRS Centre National de la Recherche Scientifique","5856","National Science Foundation","10630","China","36990","Conference Proceeding","44752","Spanish","273"
"Hybrid Gold","9297","2022","22858","Guerrero, J.M.","157","Biochemistry, Genetics and Molecular Biology","18265","Review","10583",,,"Plos One","2075","Nonhuman","21462","Ministry of Education China","3905","Natural Environment Research Council","3878","United Kingdom","26329","Book Series","8434","French","202"
"Bronze","20903","2021","22382","Middelburg, J.J.","138","Business, Management and Accounting","3360","Book Chapter","7586",,,"Iop Conference Series Earth And Environmental Science","2029","Priority Journal","17070","University of Chinese Academy of Sciences","2503","European Commission","3679","Germany","18333","Book","8210","Russian","124"
"Green","56000","2020","19888","Danovaro, R.","134","Chemical Engineering","12800","Conference Review","2133",,,"Frontiers In Marine Science","1797","Seawater","16805","National Oceanic and Atmospheric Administration","2503","National Key Research and Development Program of China","3532","Australia","16564","Trade Journal","3528","Portuguese","121"
,,"2019","18133","Feely, R.A.","132","Chemistry","19691","Note","1634",,,"Marine Ecology Progress Series","1614","Carbon Dioxide","16753","University of Washington","2251","Seventh Framework Programme","2868","Canada","15168","Report","26","German","76"
,,"2018","16445","Lovelock, C.E.","122","Computer Science","14099","Book","974",,,"Geochimica Et Cosmochimica Acta","1593","Controlled Study","16210","United States Geological Survey","2211","Natural Sciences and Engineering Research Council of Canada","2634","France","14990","Multi-volume Reference Works","1","Chinese","58"
,,"2017","14693","Pörtner, H.O.","122","Decision Sciences","2043","Letter","784",,,"Environmental Science And Technology","1520","Animals","15904","Consiglio Nazionale delle Ricerche","2114","Japan Society for the Promotion of Science","2633","Italy","13044","Undefined","139","Croatian","49"
,,"2016","13846","Riebesell, U.","117","Dentistry","117","Short Survey","707",,,"Estuarine Coastal And Shelf Science","1342","Human","14728","Sorbonne Université","1965","Deutsche Forschungsgemeinschaft","2486","Japan","12340",,,"Japanese","44"
,,"2015","12689","Cai, W.J.","110","Earth and Planetary Sciences","87394","Editorial","492",,,"Energies","1338","Animal","12651","Woods Hole Oceanographic Institution","1939","Chinese Academy of Sciences","2349","India","12275",,,"Italian","29"
,,"2014","12291","Jørgensen, B.B.","104","Economics, Econometrics and Finance","2957","Erratum","222",,,"Geophysical Research Letters","1281","Environmental Monitoring","12535","Russian Academy of Sciences","1937","National Oceanic and Atmospheric Administration","2331","Spain","11563",,,"Polish","26"
,,"2013","11724","Mumby, P.J.","104","Energy","39096","Data Paper","157",,,"Sustainability Switzerland","1273","Carbon","12305","Ocean University of China","1893","Horizon 2020 Framework Programme","2313","Netherlands","7268",,,"Turkish","24"
,,"2012","10655","Gattuso, J.P.","103","Engineering","64742","Retracted","79",,,"Proceedings Of The Annual Offshore Technology Conference","1227","Offshore Oil Well Production","10603","University of Hawaiʻi at Mānoa","1830","U.S. Department of Energy","2311","Norway","6863",,,"Slovenian","17"
,,"2011","9836","Millero, F.J.","103","Environmental Science","89104","Abstract Report","35",,,"Scientific Reports","1221","United States","10353","The University of Tokyo","1824","Fundamental Research Funds for the Central Universities","2221","South Korea","6389",,,"Persian","7"
,,"2010","8660","Soetaert, K.","103","Health Professions","540","Report","30",,,"Desalination","1177","Humans","10031","Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","1768","National Aeronautics and Space Administration","2210","Brazil","6328",,,"Serbian","7"
,,"2009","8083","Iglesias, G.","97","Immunology and Microbiology","7227","Business Article","18",,,"Applied Mechanics And Materials","1162","Sustainable Development","9687","Scripps Institution of Oceanography","1767","European Regional Development Fund","2186","Sweden","5091",,,"Czech","5"
,,"2008","7553","Levin, L.A.","95","Materials Science","17737","Undefined","6",,,"Renewable Energy","1161","Metabolism","9352","Oregon State University","1751","Australian Research Council","2131","Russian Federation","5050",,,"Estonian","5"
,,"2007","6455","Singh, B.","95","Mathematics","8740",,,,,"Journal Of Coastal Research","1126","Chemistry","8990","IFREMER Institut Francais de Recherche pour l'Exploitation de la Mer","1650","Conselho Nacional de Desenvolvimento Científico e Tecnológico","2094","Denmark","4936",,,"Finnish","5"
,,"2006","5670","Chen, C.T.A.","92","Medicine","15536",,,,,"Proceedings Of The International Conference On Offshore Mechanics And Arctic Engineering OMAE","1118","Atlantic Ocean","8897","University of California, San Diego","1629","Fundação para a Ciência e a Tecnologia","1817","Portugal","4465",,,"Lithuanian","5"
,,"2005","5536","Hinrichs, K.U.","91","Multidisciplinary","7643",,,,,"Proceedings Of SPIE The International Society For Optical Engineering","1106","Sediment","8743","The University of Queensland","1590","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","1543","Switzerland","3975",,,"Korean","4"
,,"2004","4754","Santos, I.R.","91","Neuroscience","1183",,,,,"Nature","1089","PH","8572","The University of British Columbia","1577","National Research Foundation of Korea","1451","Indonesia","3852",,,"Hungarian","3"
,,"2003","4086","Hoegh-Guldberg, O.","90","Nursing","634",,,,,"Ocean And Coastal Management","1080","China","8445","GEOMAR - Helmholtz-Zentrum für Ozeanforschung Kiel","1571","Norges Forskningsråd","1367","New Zealand","3833",,,"Moldavian","3"
,,"2002","3639","Peckmann, J.","89","Pharmacology, Toxicology and Pharmaceutics","3635",,,,,"Chemosphere","1065","Pacific Ocean","8005","Consejo Superior de Investigaciones Científicas","1543","China Postdoctoral Science Foundation","1246","Greece","3521",,,"Moldovan","3"
,,"2001","3240","Takai, K.","89","Physics and Astronomy","16470",,,,,"Environmental Monitoring And Assessment","1048","Marine Environment","7721","Universität Bremen","1478","Engineering and Physical Sciences Research Council","1241","Iran","3491",,,"Romanian","3"
,,"2000","3248","Sinninghe Damsté, J.S.","88","Psychology","254",,,,,"Energy","995","Sea Water","7716","IRD Institut de Recherche pour le Developpement","1467","Bundesministerium für Bildung und Forschung","1214","Malaysia","3457",,,"Bosnian","2"
,,"1999","3048","Byrne, R.H.","87","Social Sciences","15331",,,,,"Biogeosciences","984","Male","7619","Texas A&amp;M University","1420","Office of Naval Research","1068","Belgium","3413",,,"Bulgarian","2"
,,"1998","2933","Ikegami, Y.","87","Veterinary","1155",,,,,"Proceedings Of The International Offshore And Polar Engineering Conference","983","Organic Carbon","7510","James Cook University","1385","European Research Council","1037","Taiwan","3341",,,"Indonesian","2"
,,"1997","2657","Macreadie, P.I.","87","Undefined","32",,,,,"Marine Policy","976","Concentration (composition)","7343","University of Tasmania","1382","China Scholarship Council","1024","Turkey","3057",,,"Arabic","1"
,,"1996","2634","Wallmann, K.","87",,,,,,,"Environmental Science And Pollution Research","964","Female","7317","University of Southampton","1308","U.S. Geological Survey","975","Mexico","3018",,,"Esperanto","1"
,,"1995","2127","Achterberg, E.P.","86",,,,,,,"Environmental Pollution","963","Ecosystem","7312","The University of Western Australia","1301","Ministry of Education, Culture, Sports, Science and Technology","940","Saudi Arabia","2909",,,"Hebrew","1"
,,"1994","1891","Nicholls, R.J.","86",,,,,,,"Earth And Planetary Science Letters","962","Sediments","7074","Massachusetts Institute of Technology","1298","Ministerio de Economía y Competitividad","923","South Africa","2760",,,"Malay","1"
,,"1993","1862","Bianchi, T.S.","85",,,,,,,"Chemical Geology","960","Biodiversity","6922","ETH Zürich","1272","Agence Nationale de la Recherche","906","Egypt","2728",,,"Swedish","1"
,,"1992","1773","Boetius, A.","85",,,,,,,"Atmospheric Environment","956","Temperature","6892","Pilot National Laboratory for Marine Science and Technology","1252","National Institutes of Health","884","Poland","2589",,,"Ukrainian","1"
,,"1991","1700","Bouma, T.J.","82",,,,,,,"Marine Geology","947","Oceanography","6871","Universiteit Utrecht","1250","Horizon 2020","882","Israel","2156",,,,
,,"1990","1450","Graham, N.A.J.","82",,,,,,,"Journal Of Geophysical Research Oceans","923","Biomass","6803","Stanford University","1236","Russian Foundation for Basic Research","871","Finland","2147",,,,
,,"1989","1414","Hall-Spencer, J.M.","82",,,,,,,"Marine Chemistry","893","Wind Power","6799","Technical University of Denmark","1215","National Basic Research Program of China (973 Program)","854","Ireland","1965",,,,
,,"1988","1268","Widdicombe, S.","82",,,,,,,"Marine And Petroleum Geology","848","Physiology","6781","University of Miami","1197","Consejo Nacional de Ciencia y Tecnología","824","Hong Kong","1935",,,,
,,"1987","1197","Fallick, A.E.","81",,,,,,,"Limnology And Oceanography","847","Environmental Protection","6725","Universidade de São Paulo","1193","Natural Science Foundation of Shandong Province","772","Austria","1929",,,,
,,"1986","1180","Hobday, A.J.","80",,,,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","838","Ecosystems","6629","Norges Teknisk-Naturvitenskapelige Universitet","1190","Ministry of Science and Technology, Taiwan","739","Singapore","1855",,,,
,,"1985","1183","Leijon, M.","80",,,,,,,"Journal Of Climate","836","Energy Efficiency","6382","National Oceanography Centre Southampton","1187","Directorate for Geosciences","695","Chile","1830",,,,
,,"1984","1245","McClanahan, T.R.","80",,,,,,,"Deep Sea Research Part II Topical Studies In Oceanography","812","Water Quality","5934","The University of Texas at Austin","1171","U.S. Environmental Protection Agency","682","United Arab Emirates","1498",,,,
,,"1983","1021","Robertson, A.H.F.","80",,,,,,,"Ocean Engineering","812","Nitrogen","5925","Fisheries and Oceans Canada","1165","Ministerio de Ciencia e Innovación","677","Argentina","1297",,,,
,,"1982","883","Dittmar, T.","79",,,,,,,"Science","806","Adult","5872","Universidade de Lisboa","1160","Fundação de Amparo à Pesquisa do Estado de São Paulo","676","Thailand","1283",,,,
,,"1981","908","Glud, R.N.","79",,,,,,,"Hydrobiologia","794","Water Pollutants, Chemical","5787","Xiamen University","1137","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","647","Croatia","1197",,,,
,,"1980","738","Macdonald, R.W.","79",,,,,,,"Sedimentary Geology","785","Environmental Impact","5696","University of Cambridge","1128","Centre National de la Recherche Scientifique","640","Pakistan","1091",,,,
,,"1979","693","Wang, Z.L.","79",,,,,,,"Marine Biology","779","Unclassified Drug","5625","California Institute of Technology","1117","Department of Science and Technology, Ministry of Science and Technology, India","635","Viet Nam","1087",,,,
,,"1978","470","Bohrmann, G.","78",,,,,,,"Applied Energy","751","Procedures","5497","Japan Agency for Marine-Earth Science and Technology","1107","Office of Science","601","Czech Republic","1050",,,,
,,"1977","380","Dincer, I.","77",,,,,,,"Journal Of Experimental Marine Biology And Ecology","737","Global Warming","5429","Aarhus Universitet","1106","Nederlandse Organisatie voor Wetenschappelijk Onderzoek","585","Bangladesh","1049",,,,
,,"1976","354","Eyre, B.D.","77",,,,,,,"Remote Sensing","734","Algae","5397","University of California, Davis","1093","Ministry of Science and Technology of the People's Republic of China","572","Romania","947",,,,
,,"1975","372","Kaldellis, J.K.","77",,,,,,,"Global Change Biology","719","Fish","5313","University of Colorado Boulder","1091","Ministry of Education","559","Philippines","875",,,,
,,"1974","272","Bai, J.","75",,,,,,,"Renewable And Sustainable Energy Reviews","710","Oxygen","5292","Stockholms universitet","1071","Ministry of Science, ICT and Future Planning","558","Nigeria","847",,,,
,,"1973","291","Doney, S.C.","75",,,,,,,"Palaeogeography Palaeoclimatology Palaeoecology","707","Water","5252","Columbia University","1067","Ministry of Education of the People's Republic of China","554","Tunisia","758",,,,
,,"1972","206","Cooke, S.J.","74",,,,,,,"Energy Procedia","696","Sustainability","5226","University of California, Santa Cruz","1057","Ministero dell’Istruzione, dell’Università e della Ricerca","519","Colombia","739",,,,
,,"1971","172","Karl, D.M.","74",,,,,,,"Marine Environmental Research","692","Eurasia","5193","University of California, Santa Barbara","1055","Vetenskapsrådet","508","Morocco","705",,,,
