model,label name,F1,ROC AUC,precision,recall,accuracy,F1 macro,F1 micro,F1 weighted,ROC AUC macro,precision macro,recall macro,F1 - label,ROC AUC - label,precision - label,recall - label,accuracy - label,batch_size,weight_decay,learning_rate,num_epochs,class_weight
screen,,0.7021713122907419,0.9111640598446595,0.6635288097421288,0.7608587803948629,0.8688572840723984,,,,,,,,,,,,16,0.0,1e-05,4,-1
climate_mitigation,,0.8024773772437325,0.9381578232085258,0.7260988315106661,0.8973214285714285,0.8795553060094262,,,,,,,,,,,,16,0.0,1e-05,2,-1
Forecast,,0.5599507938338523,0.8491989519577157,0.4669642857142857,0.730503795721187,0.8639213804222697,,,,,,,,,,,,32,0.0,5e-05,4,"{0: 1, 1: 7.714285714285714}"
impact_ncp.Any,,0.4647139588100686,0.7837442760325356,0.5555555555555555,0.41437198067632847,0.865172944877839,,,,,,,,,,,,16,0.0,1e-05,4,-1
impact_nature,,0.4044650346983909,0.7461533301592221,0.2776124338624339,0.7851010101010102,0.6333947788397429,,,,,,,,,,,,32,0.0,5e-05,3,"{0: 1, 1: 5.279411764705882}"
blue_carbon,,0.8945613214897926,0.9881709089774784,0.9666666666666667,0.8349358974358975,0.980747307010399,,,,,,,,,,,,16,0.0,5e-05,4,-1
biodiversity_metric,,0.5350730925231694,0.8610254861119913,0.5088684463684464,0.6019607843137255,0.8818270122532029,,,,,,,,,,,,16,0.0,5e-05,4,-1
restoration,,0.6053732046632655,0.8863879014567392,0.6058922558922558,0.6186274509803922,0.938068819664235,,,,,,,,,,,,32,0.0,5e-05,4,-1
safe_fish,,0.8279088525912481,0.9525491855841991,0.873015873015873,0.7875,0.9596003637239393,,,,,,,,,,,,32,0.0,5e-05,2,"{0: 1, 1: 7.372549019607843}"
safe_space,,0.8341233435270133,0.9339266910576599,0.7688497882046269,0.9129251700680272,0.8732605397515482,,,,,,,,,,,,16,0.0,5e-05,2,"{0: 1, 1: 1.8657718120805369}"
societal_implemented,,0.6428571428571429,0.5839322632235919,0.5399274047186933,0.8529411764705883,0.5336617405582923,,,,,,,,,,,,16,0.0,5e-05,3,"{0: 1, 1: 0.9894736842105263}"
oro_branch,,,,,,,0.8277993950650595,0.8632535640175708,0.8585647387906071,0.9385776767912071,0.8510708229721629,0.8163771976772818,,,,,,16,0.0,1e-05,3,-1
oro_branch,Mitigation,,,,,,,,,,,,0.9329750248723343,0.9832070707070706,0.9114565004887586,0.955896686159844,0.9484352656080475,32,0.0,1e-05,4,"{0: 1.6855345911949686, 1: 3.5425531914893615, 2: 1.2592592592592593}"
oro_branch,Nature,,,,,,,,,,,,0.6756480754124116,0.9104444309408478,0.6701298701298701,0.6932773109243696,0.857169345279483,16,0.0,5e-05,3,-1
oro_branch,Societal,,,,,,,,,,,,0.897656857031857,0.9586984552441228,0.8706467661691542,0.9267185758989038,0.9064132309636559,32,0.0,1e-05,4,-1
oro_any_mitigation,,,,,,,0.8600509460240137,0.8825639573303125,0.8793751735781479,0.9419097442454823,0.8971969388636055,0.8426160259493592,,,,,,32,0.0,5e-05,4,-1
oro_any_mitigation,oro_any.M_Renewables,,,,,,,,,,,,0.9183829138062548,0.9716821020930366,0.9398148148148149,0.9015151515151515,0.9373308964503932,32,0.0,5e-05,4,-1
oro_any_mitigation,oro_any.M_Increase_efficiency,,,,,,,,,,,,0.7606428659060237,0.8706312206312207,0.8888888888888888,0.6761904761904761,0.9126440179899299,32,0.0,5e-05,4,-1
oro_any_mitigation,oro_any.M_CO2_removal_or_storage,,,,,,,,,,,,0.920971620971621,0.9874638543009026,0.8791144527986633,0.9680464778503993,0.9306832231360533,16,0.0,5e-05,3,-1
oro_any_nature,,,,,,,0.7936472654738909,0.8427817855643345,0.8391555447590142,0.2909610041517936,0.8361269334953546,0.8406382628809098,,,,,,16,0.0,5e-05,4,-1
oro_any_nature,oro_any.N_Human_assisted_evolution,,,,,,,,,,,,0.7777777777777778,1.0,0.7333333333333334,1.0,0.956989247311828,16,0.0,5e-05,4,-1
oro_any_nature,oro_any.N_Protection,,,,,,,,,,,,0.7553758689760811,0.7711532340208812,0.6263854425144747,0.9625,0.6503421309872923,16,0.0,5e-05,3,-1
oro_any_nature,oro_any.N_Restoration,,,,,,,,,,,,0.6745098039215686,0.8841241993873573,0.8752436647173489,0.6047619047619047,0.7274030628869338,16,0.0,5e-05,4,-1
oro_any_nature,oro_any.N_Conservation,,,,,,,,,,,,0.9888858016115587,0.20689655172413793,0.9781362007168459,1.0,0.9781362007168459,16,0.0,1e-05,2,-1
