model,label name,F1,precision,recall,n
screen,,0.7021713122907419,0.6635288097421288,0.7608587803948629,2752.0
climate_mitigation,,0.8024773772437325,0.7260988315106661,0.8973214285714285,305.0
Forecast,,0.5599507938338523,0.4669642857142857,0.730503795721187,127.0
impact_ncp.Any,,0.4647139588100686,0.5555555555555555,0.4143719806763284,134.0
impact_nature,,0.4044650346983909,0.2776124338624339,0.7851010101010102,228.0
blue_carbon,,0.8945613214897926,0.9666666666666668,0.8349358974358975,91.0
biodiversity_metric,,0.5350730925231694,0.5088684463684464,0.6019607843137255,167.0
restoration,,0.6053732046632655,0.6058922558922558,0.6186274509803922,103.0
safe_fish,,0.8279088525912481,0.873015873015873,0.7875,91.0
safe_space,,0.8341233435270133,0.7688497882046269,0.9129251700680272,246.0
oro_branch,,0.8277993950650595,0.8510708229721629,0.8163771976772818,949.0
oro_branch,Mitigation,0.9329750248723344,0.9114565004887586,0.955896686159844,428.0
oro_branch,Nature,0.6756480754124116,0.6701298701298701,0.6932773109243696,239.0
oro_branch,Societal,0.897656857031857,0.8706467661691542,0.9267185758989038,323.0
oro_any_mitigation,,0.8600509460240137,0.8971969388636055,0.8426160259493592,
oro_any_mitigation,oro_any.M_Renewables,0.9183829138062548,0.9398148148148148,0.9015151515151516,
oro_any_mitigation,oro_any.M_Increase_efficiency,0.7606428659060237,0.8888888888888888,0.6761904761904761,
oro_any_mitigation,oro_any.M_CO2_removal_or_storage,0.920971620971621,0.8791144527986633,0.9680464778503992,
oro_any_nature,,0.7936472654738909,0.8361269334953546,0.8406382628809098,
oro_any_nature,oro_any.N_Human_assisted_evolution,0.7777777777777778,0.7333333333333334,1.0,
oro_any_nature,oro_any.N_Protection,0.7553758689760811,0.6263854425144747,0.9625,
oro_any_nature,oro_any.N_Restoration,0.6745098039215686,0.8752436647173489,0.6047619047619047,
oro_any_nature,oro_any.N_Conservation,0.9888858016115588,0.978136200716846,1.0,
oro_any_societal,,0.7555304575600577,0.7210006828346832,0.8105643683278627,
oro_any_societal,oro_any.SA_Built_infrastructure_and_technology,0.6405399274047187,0.7685592185592185,0.6093704160065716,
oro_any_societal,oro_any.SA_Socioinstitutional,0.901424419071478,0.8418392969240426,0.9702614379084968,
data_type,,0.8333488635293693,0.8217081612245712,0.84588497387259,946.0
data_type,Primary,0.948088983262377,0.9328301542625284,0.9638720985470212,772.0
data_type,Secondary,0.7235268947116715,0.7014041514041515,0.7474074074074074,175.0
adapt_to_threat,,0.4709824315155446,0.5408748235545622,0.4944825496731995,421.0
adapt_to_threat,Human,0.7868762062310449,0.7467477203647417,0.8332209864060219,222.0
adapt_to_threat,Natural,0.4636636636636637,0.3715296198054818,0.6833333333333332,103.0
adapt_to_threat,Both,0.3359219434488252,0.4891067538126362,0.2687400318979265,100.0
adapt_to_threat_simplified,,0.638818525343348,0.6018033031313362,0.6899731060154434,
adapt_to_threat_simplified,adapt_to_threat.Human,0.8560111755856438,0.7911872716089583,0.9335820895522388,
adapt_to_threat_simplified,adapt_to_threat.Natural,0.6261701261701261,0.6106332138590204,0.6514887436456064,
adapt_to_threat_simplified,adapt_to_threat.Both,0.4342742742742742,0.4035894239260298,0.4848484848484848,
adapt_to_threat_simplified2,,0.7175443714228603,0.812196067510825,0.6753937285251302,
adapt_to_threat_simplified2,adapt_to_threat.Human,0.8503320647542156,0.7997876749989427,0.9081260364842456,
adapt_to_threat_simplified2,adapt_to_threat.Natural,0.6038532735054126,0.8132275132275133,0.4885984023238925,
climate_threat,,0.5423409417891183,0.5265517865403014,0.5969007106688267,522.0
climate_threat,Temperature,0.6313131313131312,0.5833333333333334,0.7999999999999999,73.0
climate_threat,Acidification,0.4666666666666666,0.4444444444444444,0.5,54.0
climate_threat,SLR,0.8075743348982786,0.7273330384785494,0.9090909090909092,198.0
climate_threat,Extreme_weather,0.6983870967741935,0.6163947163947164,0.8183451009537966,137.0
climate_threat,General_CC,0.6650752448935447,0.8457142857142858,0.5511599511599511,191.0
climate_threat,Other,0.0,0.0,0.0,35.0
ecosystem_type,,0.5838654174438488,0.6114197530864198,0.6415812582479249,312.0
ecosystem_type,Salt_marsh,0.375,0.5185185185185185,0.3492063492063492,41.0
ecosystem_type,Mangrove,0.9388781153487036,0.9743589743589745,0.9070189070189072,63.0
ecosystem_type,Coral_reef,0.8564102564102564,0.9444444444444444,0.7936507936507936,86.0
ecosystem_type,Macroalgae,0.5808080808080808,0.5111111111111111,0.9444444444444444,44.0
ecosystem_type,Seagrass,0.832010582010582,0.9166666666666666,0.8000000000000002,35.0
ecosystem_type,Other,0.314900153609831,0.3484848484848484,0.2954248366013072,92.0
ecosystem_type_simplified,,0.9098933020501648,0.9173789173789174,0.9150380483713816,
ecosystem_type_simplified,ecosystem_type.Mangrove,0.9388781153487036,0.9743589743589745,0.9070189070189072,
ecosystem_type_simplified,ecosystem_type.Coral_reef,0.8754578754578755,0.8611111111111112,0.9047619047619048,
ecosystem_type_simplified,ecosystem_type.Seagrass,0.9523809523809524,0.9166666666666666,1.0,
impact_ncp_nested,,0.5667833978178806,0.5255936558568137,0.6210826210826211,
impact_ncp_nested,impact_ncp.Regulating,0.8203065134099616,0.7702020202020202,0.8817663817663819,
